Web Search interest: ebola
Argentina; United States
Past 90 days

Interest over time
Day,Argentina,United States
2014-07-30,3,13
2014-07-31,3,16
2014-08-01,4,26
2014-08-02,7,31
2014-08-03,7,22
2014-08-04,7,21
2014-08-05,9,26
2014-08-06,7,20
2014-08-07,21,15
2014-08-08,35,15
2014-08-09,32,11
2014-08-10,22,8
2014-08-11,23,7
2014-08-12,25,6
2014-08-13,13,5
2014-08-14,8,5
2014-08-15,5,5
2014-08-16,5,4
2014-08-17,6,4
2014-08-18,6,5
2014-08-19,6,4
2014-08-20,5,7
2014-08-21,4,7
2014-08-22,3,5
2014-08-23,3,3
2014-08-24,3,3
2014-08-25,3,3
2014-08-26,2,3
2014-08-27,2,3
2014-08-28,2,3
2014-08-29,2,3
2014-08-30,1,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,3,3
2014-09-03,3,4
2014-09-04,2,3
2014-09-05,2,4
2014-09-06,2,3
2014-09-07,2,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,1,3
2014-09-11,1,3
2014-09-12,1,3
2014-09-13,1,2
2014-09-14,1,2
2014-09-15,1,3
2014-09-16,1,5
2014-09-17,1,4
2014-09-18,1,3
2014-09-19,1,4
2014-09-20,1,3
2014-09-21,1,2
2014-09-22,1,3
2014-09-23,1,4
2014-09-24,1,4
2014-09-25,1,4
2014-09-26,1,3
2014-09-27,3,3
2014-09-28,3,5
2014-09-29,2,4
2014-09-30,3,29
2014-10-01,4,53
2014-10-02,4,66
2014-10-03,4,63
2014-10-04,3,48
2014-10-05,4,41
2014-10-06,4,41
2014-10-07,11,34
2014-10-08,23,55
2014-10-09,30,56
2014-10-10,67,40
2014-10-11,38,28
2014-10-12,24,45
2014-10-13,24,51
2014-10-14,21,55
2014-10-15,20,91
2014-10-16,18,100
2014-10-17,15,82
2014-10-18,12,51
2014-10-19,11,37
2014-10-20,11,34
2014-10-21,10,34
2014-10-22,9,26
2014-10-23,7,22
2014-10-24,8,51
2014-10-25,6,23
2014-10-26,5,19
2014-10-27,5,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Argentina
Subregion,Argentina
Salta Province,100
Jujuy Province,98
La Rioja Province,88
Chubut Province,84
Tierra del Fuego Province,82
Corrientes Province,78
Río Negro Province,75
Misiones Province,73
Tucumán Province,71
Entre Ríos Province,69
La Pampa Province,69
Neuquén Province,68
San Luis Province,68
Santa Cruz Province,66
Chaco Province,65
Mendoza Province,59
Córdoba Province,56
Autonomous City of Buenos Aires,54
Buenos Aires Province,49
Santa Fe Province,49
Santiago del Estero Province,0
San Juan Province,0
Catamarca Province,0
Formosa Province,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Argentina
City,Argentina
Salta,100
San Salvador de Jujuy,100
Comodoro Rivadavia,91
San Carlos de Bariloche,79
Paraná,78
La Rioja,77
Corrientes,76
Neuquén,74
Resistencia,71
San Luis,69
Córdoba,68
Buenos Aires,68
Bahía Blanca,64
Posadas,63
Mendoza,63

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
