Web Search interest: ebola
Australia; United States
Past 90 days

Interest over time
Day,Australia,United States
2014-07-30,10,13
2014-07-31,15,16
2014-08-01,14,26
2014-08-02,16,31
2014-08-03,13,22
2014-08-04,9,21
2014-08-05,10,26
2014-08-06,8,20
2014-08-07,10,15
2014-08-08,10,15
2014-08-09,12,11
2014-08-10,8,8
2014-08-11,5,7
2014-08-12,6,6
2014-08-13,5,5
2014-08-14,4,5
2014-08-15,5,5
2014-08-16,4,4
2014-08-17,4,4
2014-08-18,5,5
2014-08-19,4,4
2014-08-20,4,7
2014-08-21,4,7
2014-08-22,4,5
2014-08-23,3,3
2014-08-24,3,3
2014-08-25,4,3
2014-08-26,4,3
2014-08-27,3,3
2014-08-28,2,3
2014-08-29,3,3
2014-08-30,3,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,2,3
2014-09-03,3,4
2014-09-04,3,3
2014-09-05,2,4
2014-09-06,2,3
2014-09-07,2,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,7,3
2014-09-11,18,3
2014-09-12,4,3
2014-09-13,3,2
2014-09-14,3,2
2014-09-15,3,3
2014-09-16,3,5
2014-09-17,6,4
2014-09-18,3,3
2014-09-19,3,4
2014-09-20,2,3
2014-09-21,4,2
2014-09-22,3,3
2014-09-23,6,4
2014-09-24,3,4
2014-09-25,3,4
2014-09-26,3,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,5,29
2014-10-01,11,53
2014-10-02,10,66
2014-10-03,12,63
2014-10-04,14,48
2014-10-05,20,41
2014-10-06,20,41
2014-10-07,19,34
2014-10-08,20,55
2014-10-09,54,56
2014-10-10,28,40
2014-10-11,17,28
2014-10-12,16,45
2014-10-13,18,51
2014-10-14,16,55
2014-10-15,23,91
2014-10-16,33,100
2014-10-17,28,82
2014-10-18,21,51
2014-10-19,17,37
2014-10-20,15,34
2014-10-21,16,34
2014-10-22,11,26
2014-10-23,10,22
2014-10-24,17,51
2014-10-25,11,23
2014-10-26,23,19
2014-10-27,17,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Australia
Subregion,Australia
Tasmania,100
Queensland,91
South Australia,87
Western Australia,87
Australian Capital Territory,85
New South Wales,82
Victoria,78
Northern Territory,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Australia
City,Australia
Gold Coast,100
Hobart,90
Brisbane,87
Sydney,84
Perth,83
Adelaide,79
Newcastle,78
Melbourne,78
Canberra,75

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Australia
virus ebola,100
ebola australia,40
ebola outbreak,35
ebola symptoms,30
ebola news,25
what is ebola,20
ebola 2014,15
ebola in australia,15
africa ebola,10
africa,10
ebola zombie,10
the ebola virus,10
ebola disease,10
symptoms of ebola,5
ebola spread,5
ebola virus symptoms,5
ebola map,5
ebola who,5
ebola virus australia,5
ebola cure,5
ebola us,5
ebola latest,5
brisbane ebola,5
ebola virus outbreak,5
ebola sydney,5
gold coast ebola,5
usa ebola,5
ebola outbreak 2014,5
ebola victim,5
cairns ebola,5
ebola update,5
ebola countries,5
ebola in africa,5
latest news ebola,5
ebola vaccine,5
ebola virus news,5
america ebola,5
ebola melbourne,5
ebola queensland,5
perth ebola,5
ebola airborne,5
latest news,5
ebola nurse,5
ebola patient,5
ebola australia 2014,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
