Web Search interest: ebola
Austria; United States
Past 90 days

Interest over time
Day,Austria,United States
2014-07-30,6,13
2014-07-31,12,16
2014-08-01,8,26
2014-08-02,11,31
2014-08-03,9,22
2014-08-04,10,21
2014-08-05,13,26
2014-08-06,11,20
2014-08-07,10,15
2014-08-08,13,15
2014-08-09,13,11
2014-08-10,11,8
2014-08-11,8,7
2014-08-12,10,6
2014-08-13,6,5
2014-08-14,6,5
2014-08-15,8,5
2014-08-16,6,4
2014-08-17,10,4
2014-08-18,13,5
2014-08-19,17,4
2014-08-20,11,7
2014-08-21,6,7
2014-08-22,5,5
2014-08-23,5,3
2014-08-24,3,3
2014-08-25,4,3
2014-08-26,4,3
2014-08-27,5,3
2014-08-28,4,3
2014-08-29,4,3
2014-08-30,4,3
2014-08-31,3,2
2014-09-01,3,2
2014-09-02,2,3
2014-09-03,8,4
2014-09-04,4,3
2014-09-05,4,4
2014-09-06,4,3
2014-09-07,3,2
2014-09-08,2,3
2014-09-09,3,3
2014-09-10,3,3
2014-09-11,2,3
2014-09-12,3,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,1,3
2014-09-16,4,5
2014-09-17,3,4
2014-09-18,2,3
2014-09-19,4,4
2014-09-20,2,3
2014-09-21,2,2
2014-09-22,2,3
2014-09-23,3,4
2014-09-24,2,4
2014-09-25,4,4
2014-09-26,2,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,2,29
2014-10-01,5,53
2014-10-02,6,66
2014-10-03,7,63
2014-10-04,4,48
2014-10-05,5,41
2014-10-06,12,41
2014-10-07,29,34
2014-10-08,21,55
2014-10-09,22,56
2014-10-10,19,40
2014-10-11,15,28
2014-10-12,16,45
2014-10-13,15,51
2014-10-14,15,55
2014-10-15,17,91
2014-10-16,18,100
2014-10-17,14,82
2014-10-18,13,51
2014-10-19,14,37
2014-10-20,10,34
2014-10-21,7,34
2014-10-22,5,26
2014-10-23,5,22
2014-10-24,8,51
2014-10-25,6,23
2014-10-26,6,19
2014-10-27,5,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Austria
Subregion,Austria
Salzburg,100
Tyrol,94
Vorarlberg,92
Vienna,91
Lower Austria,83
Carinthia,79
Styria,74
Upper Austria,72
Burgenland,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Austria
City,Austria
Wiener Neustadt,100
Salzburg,100
Vienna,96
Innsbruck,89
Dornbirn,83
Sankt Pölten,78
Graz,76
Linz,76
Klagenfurt,72

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Austria
ebola virus,100
symptome ebola,40
ebola österreich,30
ebola wien,15
ebola 2014,15
ebola news,15
übertragung ebola,10
salzburg ebola,10
ebola afrika,10
ebola europa,10

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Austria
ebola afrika,Breakout
ebola europa,Breakout
ebola news,Breakout
ebola wien,Breakout
ebola österreich,Breakout
salzburg ebola,Breakout
symptome ebola,Breakout
übertragung ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



