Web Search interest: ebola
Bangladesh; United States
Past 90 days

Interest over time
Day,Bangladesh,United States
2014-07-30,0,13
2014-07-31,0,16
2014-08-01,3,26
2014-08-02,3,31
2014-08-03,3,22
2014-08-04,3,21
2014-08-05,3,26
2014-08-06,3,20
2014-08-07,3,15
2014-08-08,6,15
2014-08-09,5,11
2014-08-10,7,8
2014-08-11,5,7
2014-08-12,4,6
2014-08-13,2,5
2014-08-14,6,5
2014-08-15,3,5
2014-08-16,3,4
2014-08-17,2,4
2014-08-18,2,5
2014-08-19,2,4
2014-08-20,2,7
2014-08-21,2,7
2014-08-22,2,5
2014-08-23,2,3
2014-08-24,3,3
2014-08-25,3,3
2014-08-26,3,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,2,3
2014-08-30,2,3
2014-08-31,2,2
2014-09-01,0,2
2014-09-02,0,3
2014-09-03,0,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,0,4
2014-09-20,0,3
2014-09-21,0,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,4,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,0,53
2014-10-02,0,66
2014-10-03,0,63
2014-10-04,0,48
2014-10-05,0,41
2014-10-06,3,41
2014-10-07,3,34
2014-10-08,3,55
2014-10-09,4,56
2014-10-10,6,40
2014-10-11,7,28
2014-10-12,4,45
2014-10-13,6,51
2014-10-14,6,55
2014-10-15,9,91
2014-10-16,11,100
2014-10-17,15,82
2014-10-18,14,51
2014-10-19,12,37
2014-10-20,11,34
2014-10-21,8,34
2014-10-22,6,26
2014-10-23,5,22
2014-10-24,8,51
2014-10-25,5,23
2014-10-26,4,19
2014-10-27,4,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Bangladesh
Subregion,Bangladesh
Dhaka Division,100
Barisal Division,0
Chittagong Division,0
Khulna Division,0
Rajshahi Division,0
Rangpur Division,0
Sylhet Division,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Bangladesh
City,Bangladesh
Dhaka,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Bangladesh
ebola virus,100

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Bangladesh
ebola virus,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



