Web Search interest: ebola
Bolivia; United States
Past 90 days

Interest over time
Day,Bolivia,United States
2014-07-30,9,13
2014-07-31,12,16
2014-08-01,13,26
2014-08-02,13,31
2014-08-03,11,22
2014-08-04,15,21
2014-08-05,17,26
2014-08-06,19,20
2014-08-07,22,15
2014-08-08,70,15
2014-08-09,31,11
2014-08-10,25,8
2014-08-11,23,7
2014-08-12,21,6
2014-08-13,20,5
2014-08-14,22,5
2014-08-15,16,5
2014-08-16,12,4
2014-08-17,13,4
2014-08-18,16,5
2014-08-19,16,4
2014-08-20,13,7
2014-08-21,12,7
2014-08-22,11,5
2014-08-23,8,3
2014-08-24,7,3
2014-08-25,7,3
2014-08-26,9,3
2014-08-27,8,3
2014-08-28,11,3
2014-08-29,11,3
2014-08-30,10,3
2014-08-31,8,2
2014-09-01,8,2
2014-09-02,7,3
2014-09-03,10,4
2014-09-04,8,3
2014-09-05,6,4
2014-09-06,6,3
2014-09-07,6,2
2014-09-08,5,3
2014-09-09,6,3
2014-09-10,7,3
2014-09-11,7,3
2014-09-12,5,3
2014-09-13,4,2
2014-09-14,4,2
2014-09-15,4,3
2014-09-16,5,5
2014-09-17,4,4
2014-09-18,4,3
2014-09-19,4,4
2014-09-20,4,3
2014-09-21,3,2
2014-09-22,3,3
2014-09-23,4,4
2014-09-24,3,4
2014-09-25,3,4
2014-09-26,2,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,3,29
2014-10-01,7,53
2014-10-02,6,66
2014-10-03,7,63
2014-10-04,6,48
2014-10-05,4,41
2014-10-06,5,41
2014-10-07,8,34
2014-10-08,14,55
2014-10-09,16,56
2014-10-10,27,40
2014-10-11,19,28
2014-10-12,13,45
2014-10-13,14,51
2014-10-14,13,55
2014-10-15,15,91
2014-10-16,16,100
2014-10-17,15,82
2014-10-18,12,51
2014-10-19,9,37
2014-10-20,11,34
2014-10-21,8,34
2014-10-22,9,26
2014-10-23,7,22
2014-10-24,8,51
2014-10-25,6,23
2014-10-26,6,19
2014-10-27,5,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Bolivia
Subregion,Bolivia
Cochabamba Department,100
Santa Cruz,95
La Paz Department,88
Chuquisaca Department,63
Beni Department,0
Pando Department,0
Oruro Department,0
Potosi Department,0
Tarija Department,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Bolivia
City,Bolivia
Santa Cruz de la Sierra,100
Cochabamba,93
El Alto,85
Sucre,74

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Bolivia
virus ebola,100
el ebola,35
que es ebola,25
nigeria ebola,25
la ebola,20
ebola in nigeria,20
what is ebola,15
ebola news,15
ebola disease,15
sintomas ebola,10
about ebola,10
ebola bolivia,10
enfermedad ebola,10
the ebola virus,10
ebola symptoms,10
ebola india,5
ebola 2014,5
ebola cure,5
news on ebola,5
ebola en bolivia,5
latest news,5
ebola latest news,5
ebola brasil,5
virus del ebola,5
virus de ebola,5
nigeria news,5
latest on ebola,5
sintomas del ebola,5
ebola virus news,5
noticias ebola,5
ebola in india,5
la enfermedad ebola,5
sintomas de ebola,5
