Web Search interest: ebola
Algeria; United States
Past 90 days

Interest over time
Day,Algeria,United States
2014-07-30,0,13
2014-07-31,0,16
2014-08-01,1,26
2014-08-02,2,31
2014-08-03,2,22
2014-08-04,2,21
2014-08-05,2,26
2014-08-06,2,20
2014-08-07,3,15
2014-08-08,3,15
2014-08-09,3,11
2014-08-10,2,8
2014-08-11,3,7
2014-08-12,4,6
2014-08-13,4,5
2014-08-14,2,5
2014-08-15,4,5
2014-08-16,1,4
2014-08-17,2,4
2014-08-18,1,5
2014-08-19,1,4
2014-08-20,1,7
2014-08-21,1,7
2014-08-22,1,5
2014-08-23,2,3
2014-08-24,0,3
2014-08-25,0,3
2014-08-26,0,3
2014-08-27,0,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,0,2
2014-09-01,1,2
2014-09-02,2,3
2014-09-03,0,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,2,3
2014-09-19,2,4
2014-09-20,2,3
2014-09-21,2,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,0,53
2014-10-02,0,66
2014-10-03,1,63
2014-10-04,2,48
2014-10-05,1,41
2014-10-06,1,41
2014-10-07,3,34
2014-10-08,3,55
2014-10-09,3,56
2014-10-10,3,40
2014-10-11,4,28
2014-10-12,3,45
2014-10-13,4,51
2014-10-14,3,55
2014-10-15,4,91
2014-10-16,3,100
2014-10-17,4,82
2014-10-18,4,51
2014-10-19,4,37
2014-10-20,3,34
2014-10-21,3,34
2014-10-22,3,26
2014-10-23,2,22
2014-10-24,4,51
2014-10-25,4,23
2014-10-26,5,19
2014-10-27,5,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Algeria
Subregion,Algeria
Algiers,100
Oran,72
Adrar,0
Chlef,0
Laghouat,0
Oum El Bouaghi,0
Batna,0
Béjaïa,0
Biskra,0
Béchar,0
Blida,0
Bouira,0
Tamanrasset,0
Tebessa,0
Tlemcen,0
Tiaret,0
Tizi Ouzou,0
Djelfa,0
Jijel,0
Setif,0
Saida Province,0
Skikda,0
Sidi-Bel-Abbes,0
Annaba,0
Guelma,0
Constantine,0
Medea,0
Mostaganem,0
M'Sila,0
Mascara,0
Ouargla,0
El Bayadh,0
Illizi,0
Bordj Bou Arreridj,0
Boumerdes,0
El Tarf,0
Tindouf,0
Tissemsilt,0
El Oued,0
Khenchela Province,0
Souk Ahras,0
Tipasa,0
Mila,0
Aïn Defla,0
Naâma Province,0
Aïn Témouchent Province,0
Ghardaïa Province,0
Relizane,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,89
New York,74
Louisiana,74
Wyoming,72
South Dakota,71
Delaware,69
Ohio,69
West Virginia,69
Connecticut,68
Mississippi,68
Georgia,68
Maryland,67
North Dakota,67
Arkansas,66
Kentucky,66
Alaska,66
Alabama,66
Rhode Island,65
Maine,64
New Jersey,64
Vermont,64
Tennessee,63
Illinois,62
Massachusetts,62
California,61
Pennsylvania,61
Montana,61
Virginia,61
North Carolina,61
Missouri,60
Hawaii,60
Nebraska,60
Florida,60
Minnesota,59
South Carolina,58
Michigan,58
New Mexico,58
Kansas,58
Arizona,57
New Hampshire,56
Colorado,56
Iowa,56
Washington,55
Wisconsin,55
Nevada,54
Indiana,53
Idaho,53
Utah,48
Oregon,34


Top cities for Algeria
City,Algeria
El Mouradia,100
Alger Centre,71
Oran,55
Setif,48
Constantine,41

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Algeria
ebola virus,100
ebola algerie,35

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Algeria
ebola algerie,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



