Web Search interest: ebola
Brazil; United States
Past 90 days

Interest over time
Day,Brazil,United States
2014-07-30,3,13
2014-07-31,6,16
2014-08-01,10,26
2014-08-02,15,31
2014-08-03,9,22
2014-08-04,12,21
2014-08-05,8,26
2014-08-06,9,20
2014-08-07,13,15
2014-08-08,14,15
2014-08-09,9,11
2014-08-10,6,8
2014-08-11,5,7
2014-08-12,9,6
2014-08-13,7,5
2014-08-14,5,5
2014-08-15,5,5
2014-08-16,5,4
2014-08-17,5,4
2014-08-18,7,5
2014-08-19,7,4
2014-08-20,8,7
2014-08-21,8,7
2014-08-22,6,5
2014-08-23,5,3
2014-08-24,4,3
2014-08-25,5,3
2014-08-26,4,3
2014-08-27,4,3
2014-08-28,4,3
2014-08-29,4,3
2014-08-30,3,3
2014-08-31,3,2
2014-09-01,3,2
2014-09-02,5,3
2014-09-03,4,4
2014-09-04,3,3
2014-09-05,3,4
2014-09-06,2,3
2014-09-07,2,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,2,3
2014-09-11,2,3
2014-09-12,2,3
2014-09-13,1,2
2014-09-14,1,2
2014-09-15,1,3
2014-09-16,2,5
2014-09-17,2,4
2014-09-18,2,3
2014-09-19,2,4
2014-09-20,2,3
2014-09-21,1,2
2014-09-22,3,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,2,4
2014-09-26,3,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,1,4
2014-09-30,3,29
2014-10-01,4,53
2014-10-02,6,66
2014-10-03,6,63
2014-10-04,5,48
2014-10-05,3,41
2014-10-06,3,41
2014-10-07,5,34
2014-10-08,8,55
2014-10-09,9,56
2014-10-10,93,40
2014-10-11,45,28
2014-10-12,17,45
2014-10-13,17,51
2014-10-14,12,55
2014-10-15,9,91
2014-10-16,12,100
2014-10-17,9,82
2014-10-18,7,51
2014-10-19,6,37
2014-10-20,6,34
2014-10-21,5,34
2014-10-22,5,26
2014-10-23,5,22
2014-10-24,7,51
2014-10-25,5,23
2014-10-26,3,19
2014-10-27,4,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Brazil
Subregion,Brazil
Amapá,100
Acre,84
Paraíba,78
Rio de Janeiro,74
Paraná,65
Amazonas,65
São Paulo,64
Tocantins,63
Pará,61
Maranhão,60
Rondônia,60
Federal District,60
Piauí,59
Santa Catarina,58
Ceará,58
Rio Grande do Sul,58
Espirito Santo,57
Mato Grosso do Sul,57
Minas Gerais,56
Sergipe,56
Rio Grande do Norte,52
Bahia,52
Goiás,51
Pernambuco,50
Mato Grosso,49
Alagoas,47
Roraima,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Brazil
City,Brazil
Santo André,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Brazil
virus,100
ebola virus,100
brasil ebola,100
ebola no brasil,80
o ebola,75
o que ebola,40
ebola sintomas,40
ebola doença,20
caso ebola,20
o virus ebola,20
sobre ebola,15
virus do ebola,15
caso de ebola,15
ebola 2014,15
vírus ebola,15
sintomas do ebola,15
caso ebola brasil,15
virus ebola brasil,10
africa ebola,10
ebola noticias,10
africa,10
sobre o ebola,10
ebola cura,10
virus da ebola,5
ebola epidemia,5
rio ebola,5
sintomas de ebola,5
epidemia,5
ebola fotos,5
a doença ebola,5
ebola globo,5
sintomas ebola virus,5
suspeita de ebola,5
sintomas da ebola,5
ebola g1,5
doença da ebola,5
ebola brasil 2014,5
doença de ebola,5
como surgiu ebola,5
casos de ebola,5
ebola na africa,5
ebola imagens,5
pessoas com ebola,5
filme ebola,5
ebola no rio,5
origem ebola,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Brazil
caso de ebola,Breakout
caso ebola brasil,Breakout
caso ebola,+1,100%
sintomas do ebola,+400%
sobre ebola,+300%
brasil ebola,+250%
ebola no brasil,+250%
ebola sintomas,+250%
o ebola,+100%
o que ebola,+80%

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



