Web Search interest: ebola
Burkina Faso; United States
Past 90 days

Interest over time
Day,Burkina Faso,United States
2014-07-30,0,9
2014-07-31,0,12
2014-08-01,37,19
2014-08-02,0,23
2014-08-03,0,17
2014-08-04,0,16
2014-08-05,0,20
2014-08-06,0,15
2014-08-07,0,11
2014-08-08,56,11
2014-08-09,50,8
2014-08-10,60,6
2014-08-11,57,5
2014-08-12,55,4
2014-08-13,71,4
2014-08-14,75,3
2014-08-15,96,3
2014-08-16,70,3
2014-08-17,51,3
2014-08-18,78,4
2014-08-19,66,3
2014-08-20,87,5
2014-08-21,62,5
2014-08-22,73,4
2014-08-23,63,2
2014-08-24,100,2
2014-08-25,57,2
2014-08-26,57,2
2014-08-27,43,2
2014-08-28,44,2
2014-08-29,64,3
2014-08-30,70,2
2014-08-31,66,2
2014-09-01,62,2
2014-09-02,51,2
2014-09-03,65,3
2014-09-04,55,3
2014-09-05,30,3
2014-09-06,46,3
2014-09-07,56,2
2014-09-08,47,2
2014-09-09,65,3
2014-09-10,40,2
2014-09-11,35,2
2014-09-12,35,2
2014-09-13,44,2
2014-09-14,47,2
2014-09-15,49,2
2014-09-16,33,3
2014-09-17,36,3
2014-09-18,36,3
2014-09-19,51,3
2014-09-20,66,2
2014-09-21,48,2
2014-09-22,31,2
2014-09-23,31,3
2014-09-24,34,3
2014-09-25,37,3
2014-09-26,40,3
2014-09-27,44,2
2014-09-28,47,4
2014-09-29,0,3
2014-09-30,0,22
2014-10-01,0,39
2014-10-02,0,49
2014-10-03,0,46
2014-10-04,0,35
2014-10-05,0,30
2014-10-06,46,30
2014-10-07,39,25
2014-10-08,45,40
2014-10-09,56,42
2014-10-10,43,30
2014-10-11,49,21
2014-10-12,67,34
2014-10-13,55,38
2014-10-14,55,41
2014-10-15,45,67
2014-10-16,56,74
2014-10-17,48,61
2014-10-18,36,38
2014-10-19,36,27
2014-10-20,36,25
2014-10-21,36,25
2014-10-22,35,19
2014-10-23,35,16
2014-10-24,72,38
2014-10-25,61,17
2014-10-26,0,14
2014-10-27,0,18
2014-10-28, , 
2014-10-29, , 


Top subregions for Burkina Faso
Subregion,Burkina Faso
Centre-Ouest,100
Centre,80
Boucle du Mouhoun,0
Cascades,0
Centre Est,0
Centre-Nord Region,0
Centre-Sud,0
Est,0
Hauts-Bassins,0
Nord,0
Plateau-Central Region,0
Sahel,0
Sud-Ouest,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Burkina Faso
City,Burkina Faso
Koudougou,100
Ouagadougou,95

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Burkina Faso
ebola virus,100
ebola burkina,40

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Burkina Faso
ebola burkina,Breakout
ebola virus,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



