Web Search interest: ebola
Cameroon; United States
Past 90 days

Interest over time
Day,Cameroon,United States
2014-07-30,9,6
2014-07-31,11,7
2014-08-01,12,12
2014-08-02,16,15
2014-08-03,15,10
2014-08-04,15,10
2014-08-05,20,12
2014-08-06,25,9
2014-08-07,29,7
2014-08-08,55,7
2014-08-09,100,5
2014-08-10,91,4
2014-08-11,67,3
2014-08-12,42,3
2014-08-13,37,2
2014-08-14,25,2
2014-08-15,22,2
2014-08-16,35,2
2014-08-17,34,2
2014-08-18,28,2
2014-08-19,14,2
2014-08-20,15,3
2014-08-21,23,3
2014-08-22,19,2
2014-08-23,17,2
2014-08-24,13,1
2014-08-25,15,1
2014-08-26,23,1
2014-08-27,13,1
2014-08-28,12,2
2014-08-29,23,2
2014-08-30,22,1
2014-08-31,18,1
2014-09-01,20,1
2014-09-02,18,1
2014-09-03,15,2
2014-09-04,17,2
2014-09-05,14,2
2014-09-06,21,2
2014-09-07,27,1
2014-09-08,13,1
2014-09-09,9,2
2014-09-10,13,1
2014-09-11,14,1
2014-09-12,15,1
2014-09-13,13,1
2014-09-14,14,1
2014-09-15,10,1
2014-09-16,10,2
2014-09-17,10,2
2014-09-18,11,2
2014-09-19,8,2
2014-09-20,11,1
2014-09-21,14,1
2014-09-22,10,1
2014-09-23,13,2
2014-09-24,9,2
2014-09-25,9,2
2014-09-26,9,2
2014-09-27,10,1
2014-09-28,11,3
2014-09-29,11,2
2014-09-30,11,14
2014-10-01,11,25
2014-10-02,10,31
2014-10-03,13,29
2014-10-04,12,22
2014-10-05,12,19
2014-10-06,10,19
2014-10-07,10,16
2014-10-08,10,26
2014-10-09,13,26
2014-10-10,11,19
2014-10-11,13,13
2014-10-12,16,21
2014-10-13,9,24
2014-10-14,11,26
2014-10-15,12,42
2014-10-16,14,47
2014-10-17,14,38
2014-10-18,12,24
2014-10-19,15,17
2014-10-20,9,16
2014-10-21,11,16
2014-10-22,9,12
2014-10-23,8,10
2014-10-24,18,24
2014-10-25,12,11
2014-10-26,10,9
2014-10-27,10,11
2014-10-28, , 
2014-10-29, , 


Top subregions for Cameroon
Subregion,Cameroon
Littoral,100
Central,91
Adamawa,0
Extreme North,0
East,0
North,0
Northwest,0
West,0
South,0
Southwest,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Cameroon
City,Cameroon
Douala,100
Yaounde,89

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Cameroon
ebola virus,100
ebola cameroun,25

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Cameroon
ebola cameroun,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



