Web Search interest: ebola
Canada; United States
Past 90 days

Interest over time
Day,Canada,United States
2014-07-30,13,13
2014-07-31,12,16
2014-08-01,15,26
2014-08-02,18,31
2014-08-03,14,22
2014-08-04,13,21
2014-08-05,14,26
2014-08-06,13,20
2014-08-07,12,15
2014-08-08,15,15
2014-08-09,26,11
2014-08-10,14,8
2014-08-11,8,7
2014-08-12,7,6
2014-08-13,6,5
2014-08-14,5,5
2014-08-15,6,5
2014-08-16,4,4
2014-08-17,5,4
2014-08-18,5,5
2014-08-19,4,4
2014-08-20,4,7
2014-08-21,5,7
2014-08-22,4,5
2014-08-23,4,3
2014-08-24,4,3
2014-08-25,3,3
2014-08-26,3,3
2014-08-27,4,3
2014-08-28,4,3
2014-08-29,5,3
2014-08-30,5,3
2014-08-31,3,2
2014-09-01,3,2
2014-09-02,3,3
2014-09-03,5,4
2014-09-04,5,3
2014-09-05,4,4
2014-09-06,4,3
2014-09-07,4,2
2014-09-08,5,3
2014-09-09,4,3
2014-09-10,4,3
2014-09-11,3,3
2014-09-12,3,3
2014-09-13,4,2
2014-09-14,3,2
2014-09-15,3,3
2014-09-16,5,5
2014-09-17,5,4
2014-09-18,4,3
2014-09-19,4,4
2014-09-20,3,3
2014-09-21,4,2
2014-09-22,4,3
2014-09-23,5,4
2014-09-24,6,4
2014-09-25,5,4
2014-09-26,6,3
2014-09-27,4,3
2014-09-28,4,5
2014-09-29,4,4
2014-09-30,13,29
2014-10-01,29,53
2014-10-02,30,66
2014-10-03,39,63
2014-10-04,30,48
2014-10-05,24,41
2014-10-06,23,41
2014-10-07,21,34
2014-10-08,25,55
2014-10-09,28,56
2014-10-10,25,40
2014-10-11,23,28
2014-10-12,30,45
2014-10-13,44,51
2014-10-14,43,55
2014-10-15,50,91
2014-10-16,49,100
2014-10-17,42,82
2014-10-18,31,51
2014-10-19,25,37
2014-10-20,22,34
2014-10-21,21,34
2014-10-22,15,26
2014-10-23,11,22
2014-10-24,22,51
2014-10-25,14,23
2014-10-26,13,19
2014-10-27,15,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Canada
Subregion,Canada
New Brunswick,100
Prince Edward Island,99
Newfoundland and Labrador,95
Ontario,95
Nova Scotia,92
Manitoba,91
Saskatchewan,89
Alberta,77
British Columbia,76
Quebec,60
Northwest Territories,0
Nunavut,0
Yukon Territory,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Canada
City,Canada
Thunder Bay,100
Kingston,97
Greater Sudbury,96
Peterborough,94
Oshawa,86
Fredericton,84
Kelowna,83
Newmarket,83
Kitchener,83
Burlington,82
St. Catharines,80
Lethbridge,80
Windsor,79
Moncton,78
Guelph,78

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Canada
ebola virus,100
ebola canada,65
ebola symptoms,45
ebola outbreak,40
ebola news,30
ebola in canada,25
what is ebola,25
ebola 2014,20
toronto ebola,20
ebola africa,15
africa,15
ebola us,15
texas ebola,10
symptoms of ebola,10
ebola spread,10
ebola cases,10
ebola usa,10
ontario ebola,10
ebola map,10
ottawa ebola,10
ebola death,10
ebola virus canada,10
ebola dallas,10
ebola who,5
zombie ebola,5
ebola patient,5
ebola disease,5
ebola cure,5
ebola update,5
ebola vaccine,5
ebola nurse,5
cbc ebola,5
isis,5
ebola virus symptoms,5
ebola in africa,5
new york ebola,5
cnn ebola,5
ebola airborne,5
vancouver ebola,5
ebola in toronto,5
cdc,5
ebola virus outbreak,5
ebola outbreak canada,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
