Web Search interest: ebola
Cape Verde; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,12
2014-07-31,15
2014-08-01,24
2014-08-02,30
2014-08-03,21
2014-08-04,20
2014-08-05,25
2014-08-06,19
2014-08-07,14
2014-08-08,14
2014-08-09,10
2014-08-10,8
2014-08-11,6
2014-08-12,6
2014-08-13,5
2014-08-14,4
2014-08-15,4
2014-08-16,4
2014-08-17,4
2014-08-18,5
2014-08-19,4
2014-08-20,6
2014-08-21,7
2014-08-22,5
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,3
2014-08-27,3
2014-08-28,3
2014-08-29,3
2014-08-30,2
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,3
2014-09-05,4
2014-09-06,3
2014-09-07,2
2014-09-08,3
2014-09-09,3
2014-09-10,3
2014-09-11,2
2014-09-12,2
2014-09-13,2
2014-09-14,2
2014-09-15,3
2014-09-16,4
2014-09-17,4
2014-09-18,3
2014-09-19,4
2014-09-20,3
2014-09-21,2
2014-09-22,3
2014-09-23,4
2014-09-24,4
2014-09-25,4
2014-09-26,3
2014-09-27,3
2014-09-28,5
2014-09-29,4
2014-09-30,28
2014-10-01,51
2014-10-02,63
2014-10-03,60
2014-10-04,46
2014-10-05,39
2014-10-06,39
2014-10-07,32
2014-10-08,52
2014-10-09,54
2014-10-10,39
2014-10-11,27
2014-10-12,44
2014-10-13,49
2014-10-14,52
2014-10-15,87
2014-10-16,96
2014-10-17,78
2014-10-18,49
2014-10-19,35
2014-10-20,33
2014-10-21,32
2014-10-22,25
2014-10-23,21
2014-10-24,49
2014-10-25,22
2014-10-26,19
2014-10-27,23
2014-10-28, 
2014-10-29, 


Top subregions for Cape Verde
Subregion,Cape Verde
Praia,100
Brava,0
Boa Vista,0
Santa Catarina,0
Santa Catarina do Fogo,0
Santa Cruz,0
Maio,0
Mosteiros,0
Paul,0
Porto Novo,0
Ribeira Brava,0
Ribeira Grande,0
Ribeira Grande de Santiago,0
Sao Domingos,0
Sao Filipe,0
Sal,0
Sao Miguel,0
Sao Lourenco dos Orgaos,0
Sao Salvador do Mundo,0
Sao Vicente,0
Tarrafal,0
Tarrafal de Sao Nicolau,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Cape Verde
City,Cape Verde
Praia,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



