Web Search interest: ebola
Cayman Islands; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,5
2014-07-31,7
2014-08-01,11
2014-08-02,13
2014-08-03,9
2014-08-04,9
2014-08-05,11
2014-08-06,8
2014-08-07,6
2014-08-08,6
2014-08-09,5
2014-08-10,4
2014-08-11,3
2014-08-12,3
2014-08-13,2
2014-08-14,2
2014-08-15,2
2014-08-16,2
2014-08-17,2
2014-08-18,2
2014-08-19,2
2014-08-20,3
2014-08-21,3
2014-08-22,2
2014-08-23,1
2014-08-24,1
2014-08-25,1
2014-08-26,1
2014-08-27,1
2014-08-28,1
2014-08-29,1
2014-08-30,1
2014-08-31,1
2014-09-01,1
2014-09-02,1
2014-09-03,2
2014-09-04,1
2014-09-05,2
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,1
2014-09-10,1
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,2
2014-09-17,2
2014-09-18,1
2014-09-19,2
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-23,2
2014-09-24,2
2014-09-25,2
2014-09-26,1
2014-09-27,1
2014-09-28,2
2014-09-29,2
2014-09-30,12
2014-10-01,22
2014-10-02,28
2014-10-03,27
2014-10-04,20
2014-10-05,17
2014-10-06,17
2014-10-07,14
2014-10-08,23
2014-10-09,24
2014-10-10,17
2014-10-11,12
2014-10-12,19
2014-10-13,22
2014-10-14,23
2014-10-15,38
2014-10-16,42
2014-10-17,35
2014-10-18,22
2014-10-19,15
2014-10-20,14
2014-10-21,14
2014-10-22,11
2014-10-23,9
2014-10-24,22
2014-10-25,10
2014-10-26,8
2014-10-27,10
2014-10-28, 
2014-10-29, 


Top cities for Cayman Islands
City,Cayman Islands
George Town,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



