Web Search interest: ebola
Chad; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,3
2014-07-31,4
2014-08-01,7
2014-08-02,8
2014-08-03,6
2014-08-04,6
2014-08-05,7
2014-08-06,5
2014-08-07,4
2014-08-08,4
2014-08-09,3
2014-08-10,2
2014-08-11,2
2014-08-12,2
2014-08-13,1
2014-08-14,1
2014-08-15,1
2014-08-16,1
2014-08-17,1
2014-08-18,1
2014-08-19,1
2014-08-20,2
2014-08-21,2
2014-08-22,1
2014-08-23,1
2014-08-24,1
2014-08-25,1
2014-08-26,1
2014-08-27,1
2014-08-28,1
2014-08-29,1
2014-08-30,1
2014-08-31,1
2014-09-01,1
2014-09-02,1
2014-09-03,1
2014-09-04,1
2014-09-05,1
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,1
2014-09-10,1
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,1
2014-09-17,1
2014-09-18,1
2014-09-19,1
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-23,1
2014-09-24,1
2014-09-25,1
2014-09-26,1
2014-09-27,1
2014-09-28,1
2014-09-29,1
2014-09-30,8
2014-10-01,14
2014-10-02,17
2014-10-03,17
2014-10-04,13
2014-10-05,11
2014-10-06,11
2014-10-07,9
2014-10-08,14
2014-10-09,15
2014-10-10,11
2014-10-11,7
2014-10-12,12
2014-10-13,14
2014-10-14,15
2014-10-15,24
2014-10-16,27
2014-10-17,22
2014-10-18,14
2014-10-19,10
2014-10-20,9
2014-10-21,9
2014-10-22,7
2014-10-23,6
2014-10-24,14
2014-10-25,6
2014-10-26,5
2014-10-27,6
2014-10-28, 
2014-10-29, 


Top subregions for Chad
Subregion,Chad
N'Djamena,100
Batha,0
Bahr El Gazel,0
Borkou,0
Chari-Baguirmi,0
Ennedi,0
Guera,0
Hadjer-Lamis,0
Kanem,0
Lac,0
Logone Occidental,0
Logone Oriental,0
Mandoul,0
Moyen-Chari,0
Mayo-Kebbi Est,0
Mayo-Kebbi Ouest,0
Ouaddai,0
سلمات,0
Sila,0
Tandjile,0
Tibesti,0
Wadi Fira,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Chad
City,Chad
N'Djamena,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



