Web Search interest: ebola
Chile; United States
Past 90 days

Interest over time
Day,Chile,United States
2014-07-30,4,8
2014-07-31,4,10
2014-08-01,6,16
2014-08-02,5,19
2014-08-03,8,14
2014-08-04,8,13
2014-08-05,6,16
2014-08-06,7,12
2014-08-07,8,9
2014-08-08,20,9
2014-08-09,13,7
2014-08-10,6,5
2014-08-11,5,4
2014-08-12,5,4
2014-08-13,4,3
2014-08-14,3,3
2014-08-15,2,3
2014-08-16,3,2
2014-08-17,5,3
2014-08-18,6,3
2014-08-19,3,3
2014-08-20,3,4
2014-08-21,4,4
2014-08-22,3,3
2014-08-23,2,2
2014-08-24,2,2
2014-08-25,2,2
2014-08-26,2,2
2014-08-27,1,2
2014-08-28,2,2
2014-08-29,2,2
2014-08-30,2,2
2014-08-31,1,1
2014-09-01,1,1
2014-09-02,2,2
2014-09-03,2,3
2014-09-04,1,2
2014-09-05,1,2
2014-09-06,1,2
2014-09-07,1,2
2014-09-08,1,2
2014-09-09,1,2
2014-09-10,1,2
2014-09-11,4,2
2014-09-12,15,2
2014-09-13,9,1
2014-09-14,4,1
2014-09-15,2,2
2014-09-16,2,3
2014-09-17,1,3
2014-09-18,2,2
2014-09-19,1,3
2014-09-20,1,2
2014-09-21,1,1
2014-09-22,2,2
2014-09-23,1,2
2014-09-24,1,2
2014-09-25,1,3
2014-09-26,1,2
2014-09-27,1,2
2014-09-28,1,3
2014-09-29,1,3
2014-09-30,2,18
2014-10-01,6,33
2014-10-02,5,41
2014-10-03,12,39
2014-10-04,9,30
2014-10-05,6,25
2014-10-06,5,26
2014-10-07,10,21
2014-10-08,21,34
2014-10-09,27,35
2014-10-10,47,25
2014-10-11,34,17
2014-10-12,100,28
2014-10-13,45,32
2014-10-14,19,34
2014-10-15,14,56
2014-10-16,11,62
2014-10-17,10,51
2014-10-18,9,32
2014-10-19,8,23
2014-10-20,6,21
2014-10-21,5,21
2014-10-22,4,16
2014-10-23,3,13
2014-10-24,4,32
2014-10-25,3,14
2014-10-26,3,12
2014-10-27,3,15
2014-10-28, , 
2014-10-29, , 


Top subregions for Chile
Subregion,Chile
O'Higgins Region,100
Antofagasta Region,98
Atacama Region,96
Magallanes and Antártica Chilena Region,92
Araucanía Region,91
Maule Region,91
Los Lagos Region,87
Biobío Region,85
Los Ríos Region,81
Santiago Metropolitan Region,80
Valparaíso Region,79
Coquimbo Region,76
Tarapacá Region,74
Arica and Parinacota Region,73
Aisén Region,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Chile
City,Chile
Antofagasta,100
Osorno,97
Santiago,97
San Pedro de la Paz,95
Talca,95
Rancagua,94
Calama,92
Curico,90
Temuco,90
Puerto Montt,88
Concepción,88
Punta Arenas,88
Viña del Mar,88
Copiapó,88
Valdivia,87

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Chile
chile ebola,100
el ebola,95
ebola en chile,75
virus,70
ebola virus,65
que es ebola,45
la ebola,40
sintomas ebola,40
ebola 2014,25
caso ebola,20
sintomas del ebola,15
caso ebola chile,15
virus de ebola,10
sintomas de ebola,10
enfermedad ebola,10
virus del ebola,10
africa,10
el virus ebola,10
zombie ebola,10
ebola africa,10
zombie,10
ebola noticias,10
ebola brasil,5
ebola contagio,5
ebola en africa,5
cura ebola,5
evola,5
ebola españa,5
casos de ebola,5
ebola en brasil,5
zombies ebola,5
ebola santiago,5
ebola wikipedia,5
ébola,5
contagio de ebola,5
enfermedad de ebola,5
virus ebola sintomas,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Chile
caso ebola,Breakout
caso ebola chile,Breakout
chile ebola,Breakout
ebola en chile,Breakout
enfermedad ebola,Breakout
sintomas de ebola,Breakout
sintomas del ebola,Breakout
sintomas ebola,Breakout
virus de ebola,Breakout
virus del ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



