Web Search interest: ebola
Colombia; United States
Past 90 days

Interest over time
Day,Colombia,United States
2014-07-30,2,13
2014-07-31,3,16
2014-08-01,6,26
2014-08-02,11,31
2014-08-03,14,22
2014-08-04,8,21
2014-08-05,11,26
2014-08-06,11,20
2014-08-07,16,15
2014-08-08,35,15
2014-08-09,25,11
2014-08-10,14,8
2014-08-11,9,7
2014-08-12,9,6
2014-08-13,10,5
2014-08-14,6,5
2014-08-15,4,5
2014-08-16,4,4
2014-08-17,5,4
2014-08-18,4,5
2014-08-19,4,4
2014-08-20,4,7
2014-08-21,4,7
2014-08-22,4,5
2014-08-23,3,3
2014-08-24,4,3
2014-08-25,3,3
2014-08-26,2,3
2014-08-27,2,3
2014-08-28,2,3
2014-08-29,2,3
2014-08-30,1,3
2014-08-31,1,2
2014-09-01,1,2
2014-09-02,2,3
2014-09-03,2,4
2014-09-04,1,3
2014-09-05,1,4
2014-09-06,1,3
2014-09-07,1,2
2014-09-08,2,3
2014-09-09,1,3
2014-09-10,2,3
2014-09-11,2,3
2014-09-12,1,3
2014-09-13,1,2
2014-09-14,1,2
2014-09-15,1,3
2014-09-16,2,5
2014-09-17,1,4
2014-09-18,2,3
2014-09-19,3,4
2014-09-20,3,3
2014-09-21,3,2
2014-09-22,3,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,2,4
2014-09-26,3,3
2014-09-27,1,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,3,29
2014-10-01,12,53
2014-10-02,11,66
2014-10-03,10,63
2014-10-04,11,48
2014-10-05,6,41
2014-10-06,7,41
2014-10-07,10,34
2014-10-08,21,55
2014-10-09,26,56
2014-10-10,33,40
2014-10-11,22,28
2014-10-12,24,45
2014-10-13,27,51
2014-10-14,29,55
2014-10-15,60,91
2014-10-16,40,100
2014-10-17,24,82
2014-10-18,21,51
2014-10-19,16,37
2014-10-20,14,34
2014-10-21,11,34
2014-10-22,9,26
2014-10-23,8,22
2014-10-24,9,51
2014-10-25,8,23
2014-10-26,7,19
2014-10-27,6,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Colombia
Subregion,Colombia
Quindio,100
Bolivar,97
Meta,94
Atlantico,90
Magdalena,89
Risaralda,87
North Santander,85
Huila,85
Cauca Department,83
Santander Department,80
Narino,78
Caldas,75
Bogota,73
Boyaca,73
Valle del Cauca,72
Tolima,71
Cordoba,69
Antioquia,68
Amazonas,0
Arauca,0
Caqueta,0
Casanare,0
Cesar,0
Choco,0
Cundinamarca,0
Guainia,0
Guaviare,0
La Guajira,0
Putumayo,0
Archipelago of San Andres Providencia and Santa Catalina,0
Sucre,0
Vaupes,0
Vichada,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
