Web Search interest: ebola
Andorra; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,8
2014-07-31,9
2014-08-01,15
2014-08-02,19
2014-08-03,13
2014-08-04,13
2014-08-05,16
2014-08-06,12
2014-08-07,9
2014-08-08,9
2014-08-09,6
2014-08-10,5
2014-08-11,4
2014-08-12,4
2014-08-13,3
2014-08-14,3
2014-08-15,3
2014-08-16,2
2014-08-17,3
2014-08-18,3
2014-08-19,3
2014-08-20,4
2014-08-21,4
2014-08-22,3
2014-08-23,2
2014-08-24,2
2014-08-25,2
2014-08-26,2
2014-08-27,2
2014-08-28,2
2014-08-29,2
2014-08-30,2
2014-08-31,1
2014-09-01,1
2014-09-02,2
2014-09-03,3
2014-09-04,2
2014-09-05,2
2014-09-06,2
2014-09-07,1
2014-09-08,2
2014-09-09,2
2014-09-10,2
2014-09-11,2
2014-09-12,2
2014-09-13,1
2014-09-14,1
2014-09-15,2
2014-09-16,3
2014-09-17,3
2014-09-18,2
2014-09-19,2
2014-09-20,2
2014-09-21,1
2014-09-22,2
2014-09-23,2
2014-09-24,2
2014-09-25,3
2014-09-26,2
2014-09-27,2
2014-09-28,3
2014-09-29,3
2014-09-30,18
2014-10-01,32
2014-10-02,40
2014-10-03,38
2014-10-04,29
2014-10-05,25
2014-10-06,25
2014-10-07,20
2014-10-08,33
2014-10-09,34
2014-10-10,24
2014-10-11,17
2014-10-12,27
2014-10-13,31
2014-10-14,33
2014-10-15,55
2014-10-16,60
2014-10-17,49
2014-10-18,31
2014-10-19,22
2014-10-20,21
2014-10-21,20
2014-10-22,16
2014-10-23,13
2014-10-24,31
2014-10-25,14
2014-10-26,12
2014-10-27,14
2014-10-28, 
2014-10-29, 


Top subregions for Andorra
Subregion,Andorra
Andorra la Vella,100
Canillo,0
Encamp,0
La Massana,0
Ordino,0
Sant Julià de Lòria,0
Escaldes-Engordany,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,89
New York,74
Louisiana,74
Wyoming,72
South Dakota,71
Delaware,69
Ohio,69
West Virginia,69
Connecticut,68
Mississippi,68
Georgia,68
Maryland,67
North Dakota,67
Arkansas,66
Kentucky,66
Alaska,66
Alabama,66
Rhode Island,65
Maine,64
New Jersey,64
Vermont,64
Tennessee,63
Illinois,62
Massachusetts,62
California,61
Pennsylvania,61
Montana,61
Virginia,61
North Carolina,61
Missouri,60
Hawaii,60
Nebraska,60
Florida,60
Minnesota,59
South Carolina,58
Michigan,58
New Mexico,58
Kansas,58
Arizona,57
New Hampshire,56
Colorado,56
Iowa,56
Washington,55
Wisconsin,55
Nevada,54
Indiana,53
Idaho,53
Utah,48
Oregon,34


Top cities for Andorra
City,Andorra
Andorra la Vella,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



