Web Search interest: ebola
Congo (DRC); United States
Past 90 days

Interest over time
Day,Congo (DRC),United States
2014-07-30,0,6
2014-07-31,0,8
2014-08-01,0,13
2014-08-02,0,16
2014-08-03,0,11
2014-08-04,0,11
2014-08-05,0,13
2014-08-06,0,10
2014-08-07,0,8
2014-08-08,0,8
2014-08-09,0,5
2014-08-10,0,4
2014-08-11,13,3
2014-08-12,33,3
2014-08-13,25,3
2014-08-14,14,2
2014-08-15,16,2
2014-08-16,17,2
2014-08-17,16,2
2014-08-18,18,3
2014-08-19,13,2
2014-08-20,20,3
2014-08-21,21,3
2014-08-22,37,2
2014-08-23,32,2
2014-08-24,37,1
2014-08-25,100,1
2014-08-26,78,1
2014-08-27,63,1
2014-08-28,47,2
2014-08-29,66,2
2014-08-30,40,1
2014-08-31,28,1
2014-09-01,48,1
2014-09-02,27,2
2014-09-03,36,2
2014-09-04,46,2
2014-09-05,29,2
2014-09-06,27,2
2014-09-07,38,1
2014-09-08,23,2
2014-09-09,26,2
2014-09-10,27,2
2014-09-11,32,1
2014-09-12,22,1
2014-09-13,27,1
2014-09-14,14,1
2014-09-15,20,1
2014-09-16,12,2
2014-09-17,15,2
2014-09-18,18,2
2014-09-19,21,2
2014-09-20,18,1
2014-09-21,24,1
2014-09-22,18,1
2014-09-23,12,2
2014-09-24,12,2
2014-09-25,13,2
2014-09-26,11,2
2014-09-27,11,1
2014-09-28,13,3
2014-09-29,15,2
2014-09-30,18,15
2014-10-01,20,27
2014-10-02,22,33
2014-10-03,16,32
2014-10-04,14,24
2014-10-05,14,21
2014-10-06,14,21
2014-10-07,18,17
2014-10-08,27,28
2014-10-09,17,29
2014-10-10,22,20
2014-10-11,22,14
2014-10-12,22,23
2014-10-13,19,26
2014-10-14,18,28
2014-10-15,17,46
2014-10-16,21,51
2014-10-17,17,42
2014-10-18,15,26
2014-10-19,16,19
2014-10-20,17,17
2014-10-21,15,17
2014-10-22,17,13
2014-10-23,18,11
2014-10-24,19,26
2014-10-25,15,12
2014-10-26,15,10
2014-10-27,21,12
2014-10-28, , 
2014-10-29, , 


Top subregions for Congo (DRC)
Subregion,Congo (DRC)
South-Kivu,100
Katanga,74
Kinshasa,45
Bas Congo,0
Bandundu,0
Equator,0
Kasai Oriental,0
Kasai Occidental,0
Maniema,0
North-Kivu,0
Orientale,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Congo (DRC)
City,Congo (DRC)
Bukavu,100
Lubumbashi,77
Kinshasa,50

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Congo (DRC)
virus ebola,100
ebola rdc,70
ebola en rdc,40

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Congo (DRC)
ebola en rdc,Breakout
ebola rdc,Breakout
virus ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



