Web Search interest: ebola
Côte d’Ivoire; United States
Past 90 days

Interest over time
Day,Côte d’Ivoire,United States
2014-07-30,0,8
2014-07-31,13,10
2014-08-01,12,17
2014-08-02,17,20
2014-08-03,11,15
2014-08-04,16,14
2014-08-05,18,17
2014-08-06,23,13
2014-08-07,20,10
2014-08-08,20,10
2014-08-09,38,7
2014-08-10,31,6
2014-08-11,100,4
2014-08-12,70,4
2014-08-13,58,3
2014-08-14,55,3
2014-08-15,56,3
2014-08-16,46,3
2014-08-17,47,3
2014-08-18,41,3
2014-08-19,48,3
2014-08-20,50,4
2014-08-21,61,5
2014-08-22,44,3
2014-08-23,41,2
2014-08-24,45,2
2014-08-25,38,2
2014-08-26,37,2
2014-08-27,29,2
2014-08-28,32,2
2014-08-29,52,2
2014-08-30,39,2
2014-08-31,32,1
2014-09-01,35,1
2014-09-02,35,2
2014-09-03,39,3
2014-09-04,35,2
2014-09-05,33,3
2014-09-06,26,2
2014-09-07,24,2
2014-09-08,20,2
2014-09-09,22,2
2014-09-10,20,2
2014-09-11,25,2
2014-09-12,15,2
2014-09-13,10,2
2014-09-14,13,1
2014-09-15,15,2
2014-09-16,15,3
2014-09-17,17,3
2014-09-18,23,2
2014-09-19,23,3
2014-09-20,20,2
2014-09-21,18,2
2014-09-22,8,2
2014-09-23,22,3
2014-09-24,13,3
2014-09-25,13,3
2014-09-26,12,2
2014-09-27,19,2
2014-09-28,12,4
2014-09-29,15,3
2014-09-30,15,19
2014-10-01,17,35
2014-10-02,17,43
2014-10-03,15,41
2014-10-04,16,31
2014-10-05,11,27
2014-10-06,17,27
2014-10-07,19,22
2014-10-08,18,36
2014-10-09,19,37
2014-10-10,13,26
2014-10-11,13,18
2014-10-12,15,30
2014-10-13,12,34
2014-10-14,19,36
2014-10-15,12,59
2014-10-16,19,66
2014-10-17,13,54
2014-10-18,18,34
2014-10-19,15,24
2014-10-20,14,22
2014-10-21,14,22
2014-10-22,16,17
2014-10-23,15,14
2014-10-24,36,34
2014-10-25,30,15
2014-10-26,17,13
2014-10-27,21,16
2014-10-28, , 
2014-10-29, , 


Top subregions for Côte d’Ivoire
Subregion,Côte d’Ivoire
Lagunes,100
Haut-Sassandra,0
Savanes,0
Vallee du Bandama,0
Moyen-Comoe,0
Dix-Huit Montagnes,0
Lacs,0
Zanzan,0
Bas-Sassandra,0
Denguele,0
Nzi-Comoe,0
Marahoue,0
Sud-Comoe,0
Worodougou,0
Sud-Bandama,0
Agnebi,0
Bafing,0
Fromager,0
Moyen-Cavally,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Côte d’Ivoire
City,Côte d’Ivoire
Abidjan,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Côte d’Ivoire
virus ebola,100
le virus ebola,35

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



