Web Search interest: ebola
Croatia; United States
Past 90 days

Interest over time
Day,Croatia,United States
2014-07-30,10,13
2014-07-31,10,16
2014-08-01,7,26
2014-08-02,23,31
2014-08-03,16,22
2014-08-04,10,21
2014-08-05,9,26
2014-08-06,5,20
2014-08-07,9,15
2014-08-08,14,15
2014-08-09,5,11
2014-08-10,3,8
2014-08-11,4,7
2014-08-12,7,6
2014-08-13,4,5
2014-08-14,2,5
2014-08-15,3,5
2014-08-16,3,4
2014-08-17,5,4
2014-08-18,9,5
2014-08-19,12,4
2014-08-20,13,7
2014-08-21,6,7
2014-08-22,2,5
2014-08-23,4,3
2014-08-24,2,3
2014-08-25,2,3
2014-08-26,2,3
2014-08-27,1,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,0,2
2014-09-01,0,2
2014-09-02,0,3
2014-09-03,1,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,2,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,0,4
2014-09-20,0,3
2014-09-21,0,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,2,53
2014-10-02,4,66
2014-10-03,4,63
2014-10-04,3,48
2014-10-05,2,41
2014-10-06,4,41
2014-10-07,9,34
2014-10-08,8,55
2014-10-09,16,56
2014-10-10,27,40
2014-10-11,14,28
2014-10-12,13,45
2014-10-13,10,51
2014-10-14,12,55
2014-10-15,12,91
2014-10-16,10,100
2014-10-17,6,82
2014-10-18,6,51
2014-10-19,5,37
2014-10-20,4,34
2014-10-21,3,34
2014-10-22,2,26
2014-10-23,2,22
2014-10-24,4,51
2014-10-25,3,23
2014-10-26,3,19
2014-10-27,2,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Croatia
Subregion,Croatia
Split-Dalmatia County,100
Primorje-Gorski Kotar County,97
City of Zagreb,78
Osijek-Baranja County,70
Zagreb County,0
Krapina-Zagorje County,0
Sisak-Moslavina County,0
Karlovac County,0
Varaždin County,0
Koprivnica-Križevci County,0
Bjelovar-Bilogora County,0
Lika-Senj County,0
Virovitica-Podravina County,0
Požega-Slavonia County,0
Brod-Posavina County,0
Zadar County,0
Šibenik-Knin County,0
Vukovar-Syrmia County,0
Istria County,0
Dubrovnik-Neretva County,0
Međimurje County,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Croatia
City,Croatia
Trsteno,100
Rijeka,81
Varaždin,74
Split,71
Zagreb,67
Osijek,53

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Croatia
ebola simptomi,100
ebola virus,95

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Croatia
ebola simptomi,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



