Web Search interest: ebola
Curaçao; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,12
2014-07-31,14
2014-08-01,23
2014-08-02,28
2014-08-03,20
2014-08-04,19
2014-08-05,24
2014-08-06,18
2014-08-07,14
2014-08-08,14
2014-08-09,10
2014-08-10,8
2014-08-11,6
2014-08-12,5
2014-08-13,5
2014-08-14,4
2014-08-15,4
2014-08-16,4
2014-08-17,4
2014-08-18,4
2014-08-19,4
2014-08-20,6
2014-08-21,6
2014-08-22,4
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,3
2014-08-27,2
2014-08-28,3
2014-08-29,3
2014-08-30,2
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,3
2014-09-05,4
2014-09-06,3
2014-09-07,2
2014-09-08,3
2014-09-09,3
2014-09-10,3
2014-09-11,2
2014-09-12,2
2014-09-13,2
2014-09-14,2
2014-09-15,2
2014-09-16,4
2014-09-17,4
2014-09-18,3
2014-09-19,4
2014-09-20,3
2014-09-21,2
2014-09-22,2
2014-09-23,4
2014-09-24,4
2014-09-25,4
2014-09-26,3
2014-09-27,3
2014-09-28,5
2014-09-29,4
2014-09-30,27
2014-10-01,48
2014-10-02,60
2014-10-03,57
2014-10-04,43
2014-10-05,37
2014-10-06,37
2014-10-07,31
2014-10-08,50
2014-10-09,51
2014-10-10,37
2014-10-11,25
2014-10-12,41
2014-10-13,46
2014-10-14,50
2014-10-15,82
2014-10-16,91
2014-10-17,74
2014-10-18,47
2014-10-19,33
2014-10-20,31
2014-10-21,31
2014-10-22,24
2014-10-23,20
2014-10-24,47
2014-10-25,21
2014-10-26,18
2014-10-27,22
2014-10-28, 
2014-10-29, 


Top cities for Curaçao
City,Curaçao
Willemstad,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



