Web Search interest: ebola
Angola; United States
Past 90 days

Interest over time
Day,Angola,United States
2014-07-30,0,12
2014-07-31,18,14
2014-08-01,17,23
2014-08-02,15,28
2014-08-03,21,20
2014-08-04,18,19
2014-08-05,18,24
2014-08-06,20,18
2014-08-07,19,14
2014-08-08,23,14
2014-08-09,23,10
2014-08-10,19,8
2014-08-11,28,6
2014-08-12,37,5
2014-08-13,31,5
2014-08-14,30,4
2014-08-15,20,4
2014-08-16,28,4
2014-08-17,31,4
2014-08-18,24,4
2014-08-19,19,4
2014-08-20,14,6
2014-08-21,28,6
2014-08-22,36,4
2014-08-23,33,3
2014-08-24,33,3
2014-08-25,56,3
2014-08-26,70,3
2014-08-27,100,2
2014-08-28,81,3
2014-08-29,70,3
2014-08-30,47,2
2014-08-31,29,2
2014-09-01,50,2
2014-09-02,39,3
2014-09-03,51,4
2014-09-04,59,3
2014-09-05,48,4
2014-09-06,51,3
2014-09-07,40,2
2014-09-08,45,3
2014-09-09,46,3
2014-09-10,26,3
2014-09-11,39,2
2014-09-12,27,2
2014-09-13,24,2
2014-09-14,23,2
2014-09-15,18,3
2014-09-16,36,4
2014-09-17,15,4
2014-09-18,18,3
2014-09-19,13,4
2014-09-20,22,3
2014-09-21,21,2
2014-09-22,21,3
2014-09-23,21,4
2014-09-24,20,4
2014-09-25,19,4
2014-09-26,21,3
2014-09-27,29,3
2014-09-28,14,5
2014-09-29,14,4
2014-09-30,14,27
2014-10-01,19,48
2014-10-02,19,60
2014-10-03,16,57
2014-10-04,27,44
2014-10-05,16,37
2014-10-06,13,37
2014-10-07,21,31
2014-10-08,28,50
2014-10-09,21,51
2014-10-10,36,37
2014-10-11,18,25
2014-10-12,29,41
2014-10-13,29,47
2014-10-14,27,50
2014-10-15,38,83
2014-10-16,63,91
2014-10-17,67,75
2014-10-18,51,47
2014-10-19,27,33
2014-10-20,34,31
2014-10-21,22,31
2014-10-22,21,24
2014-10-23,21,20
2014-10-24,32,47
2014-10-25,26,21
2014-10-26,20,18
2014-10-27,20,22
2014-10-28, , 
2014-10-29, , 


Top subregions for Angola
Subregion,Angola
Luanda,100
Bengo,0
Benguela,0
Bie,0
Cabinda,0
Cuando Cubango,0
Cunene,0
Cuanza Norte,0
Cuanza Sul,0
Huambo,0
Huila,0
Lunda Norte,0
Lunda Sul,0
Malanje,0
Moxico,0
Namibe,0
Uige,0
Zaire,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,89
New York,74
Louisiana,74
Wyoming,72
South Dakota,71
Delaware,69
Ohio,69
West Virginia,69
Connecticut,68
Mississippi,68
Georgia,68
Maryland,67
North Dakota,67
Arkansas,66
Kentucky,66
Alaska,66
Alabama,66
Rhode Island,65
Maine,64
New Jersey,64
Vermont,64
Tennessee,63
Illinois,62
Massachusetts,62
California,61
Pennsylvania,61
Montana,61
Virginia,61
North Carolina,61
Missouri,60
Hawaii,60
Nebraska,60
Florida,60
Minnesota,59
South Carolina,58
Michigan,58
New Mexico,58
Kansas,58
Arizona,57
New Hampshire,56
Colorado,56
Iowa,56
Washington,55
Wisconsin,55
Nevada,54
Indiana,53
Idaho,53
Utah,48
Oregon,34


Top cities for Angola
City,Angola
Luanda,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48



Top searches for Angola
ebola angola,100
virus ebola,65
a ebola,60
ebola em angola,55

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Angola
a ebola,Breakout
ebola angola,Breakout
ebola em angola,Breakout
virus ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+2,150%
ebola patient,+900%
texas ebola,+650%
ebola cases,+350%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+140%
cdc,+90%
ebola usa,+90%



