Web Search interest: ebola
Denmark; United States
Past 90 days

Interest over time
Day,Denmark,United States
2014-07-30,10,13
2014-07-31,9,16
2014-08-01,10,26
2014-08-02,9,31
2014-08-03,5,22
2014-08-04,6,21
2014-08-05,8,26
2014-08-06,9,20
2014-08-07,7,15
2014-08-08,12,15
2014-08-09,5,11
2014-08-10,4,8
2014-08-11,6,7
2014-08-12,8,6
2014-08-13,4,5
2014-08-14,4,5
2014-08-15,6,5
2014-08-16,4,4
2014-08-17,3,4
2014-08-18,3,5
2014-08-19,11,4
2014-08-20,7,7
2014-08-21,5,7
2014-08-22,5,5
2014-08-23,4,3
2014-08-24,4,3
2014-08-25,5,3
2014-08-26,2,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,2,3
2014-08-30,2,3
2014-08-31,2,2
2014-09-01,3,2
2014-09-02,1,3
2014-09-03,2,4
2014-09-04,3,3
2014-09-05,4,4
2014-09-06,2,3
2014-09-07,1,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,1,3
2014-09-11,2,3
2014-09-12,2,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,2,3
2014-09-16,2,5
2014-09-17,2,4
2014-09-18,2,3
2014-09-19,2,4
2014-09-20,2,3
2014-09-21,1,2
2014-09-22,2,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,2,4
2014-09-26,2,3
2014-09-27,3,3
2014-09-28,3,5
2014-09-29,2,4
2014-09-30,3,29
2014-10-01,5,53
2014-10-02,5,66
2014-10-03,8,63
2014-10-04,5,48
2014-10-05,4,41
2014-10-06,11,41
2014-10-07,18,34
2014-10-08,14,55
2014-10-09,16,56
2014-10-10,12,40
2014-10-11,8,28
2014-10-12,10,45
2014-10-13,9,51
2014-10-14,15,55
2014-10-15,19,91
2014-10-16,29,100
2014-10-17,18,82
2014-10-18,9,51
2014-10-19,8,37
2014-10-20,9,34
2014-10-21,9,34
2014-10-22,7,26
2014-10-23,4,22
2014-10-24,7,51
2014-10-25,5,23
2014-10-26,4,19
2014-10-27,6,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Denmark
Subregion,Denmark
Capital Region of Denmark,100
Region Zealand,91
North Denmark Region,86
Syddanmark,85
Central Denmark Region,76

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Denmark
City,Denmark
Sonderborg,100
Juelsminde,99
Frederiksberg,99
Lyngby,95
Copenhagen,94
Fanø,90
Odense,87
Kolding,86
Aalborg,86
Silkeborg,86
Samsø,84
Roskilde County,81

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Denmark
ebola virus,100
ebola symptomer,40
ebola danmark,25
hvad er ebola,25
ebola wiki,20
ebola 2014,15

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Denmark
ebola 2014,Breakout
ebola danmark,Breakout
ebola symptomer,Breakout
ebola wiki,Breakout
hvad er ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



