Web Search interest: ebola
Dominican Republic; United States
Past 90 days

Interest over time
Day,Dominican Republic,United States
2014-07-30,20,13
2014-07-31,22,16
2014-08-01,30,26
2014-08-02,35,31
2014-08-03,32,22
2014-08-04,23,21
2014-08-05,39,26
2014-08-06,44,20
2014-08-07,49,15
2014-08-08,55,15
2014-08-09,49,11
2014-08-10,30,8
2014-08-11,36,7
2014-08-12,40,6
2014-08-13,34,5
2014-08-14,26,5
2014-08-15,21,5
2014-08-16,15,4
2014-08-17,13,4
2014-08-18,14,5
2014-08-19,10,4
2014-08-20,8,7
2014-08-21,8,7
2014-08-22,9,5
2014-08-23,6,3
2014-08-24,7,3
2014-08-25,8,3
2014-08-26,6,3
2014-08-27,9,3
2014-08-28,7,3
2014-08-29,7,3
2014-08-30,4,3
2014-08-31,6,2
2014-09-01,8,2
2014-09-02,8,3
2014-09-03,8,4
2014-09-04,8,3
2014-09-05,5,4
2014-09-06,3,3
2014-09-07,5,2
2014-09-08,6,3
2014-09-09,6,3
2014-09-10,9,3
2014-09-11,5,3
2014-09-12,5,3
2014-09-13,4,2
2014-09-14,6,2
2014-09-15,5,3
2014-09-16,6,5
2014-09-17,6,4
2014-09-18,16,3
2014-09-19,16,4
2014-09-20,4,3
2014-09-21,5,2
2014-09-22,3,3
2014-09-23,4,4
2014-09-24,3,4
2014-09-25,5,4
2014-09-26,5,3
2014-09-27,4,3
2014-09-28,4,5
2014-09-29,3,4
2014-09-30,6,29
2014-10-01,16,53
2014-10-02,11,66
2014-10-03,23,63
2014-10-04,21,48
2014-10-05,15,41
2014-10-06,17,41
2014-10-07,21,34
2014-10-08,32,55
2014-10-09,38,56
2014-10-10,36,40
2014-10-11,26,28
2014-10-12,22,45
2014-10-13,28,51
2014-10-14,25,55
2014-10-15,29,91
2014-10-16,36,100
2014-10-17,33,82
2014-10-18,29,51
2014-10-19,18,37
2014-10-20,20,34
2014-10-21,17,34
2014-10-22,20,26
2014-10-23,16,22
2014-10-24,30,51
2014-10-25,17,23
2014-10-26,13,19
2014-10-27,11,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Dominican Republic
Subregion,Dominican Republic
La Romana,100
Santo Domingo Province,79
Santiago,78
Santo Domingo,77
Azua,0
Bahoruco,0
Barahona,0
Dajabon,0
Duarte,0
Elias Pina,0
El Seíbo,0
Espaillat,0
Independencia,0
La Altagracia,0
La Vega,0
Maria Trinidad Sanchez,0
Monte Cristi,0
Pedernales,0
Peravia,0
Puerto Plata,0
Hermanas Mirabal,0
Samana,0
San Cristobal,0
San Juan,0
San Pedro de Macoris,0
Sanchez Ramirez,0
Santiago Rodriguez,0
Valverde,0
Monseñor Nouel Province,0
Monte Plata,0
Hato Mayor,0
San Jose de Ocoa,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Dominican Republic
City,Dominican Republic
Santo Domingo,100
Santo Domingo Este,83
La Romana,80
Punta Cana,78
Santiago De Los Caballeros,73

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Dominican Republic
el ebola,100
que es ebola,45
la ebola,45
ebola virus,40
ebola republica dominicana,30
sintomas ebola,30
enfermedad ebola,20
ebola 2014,15
sintomas del ebola,10
virus del ebola,10
ebola africa,10
ebola en africa,10
virus el ebola,10
noticias ebola,10
noticias,10
ebola estados unidos,10

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Dominican Republic
ebola estados unidos,Breakout
noticias,Breakout
noticias ebola,Breakout
sintomas del ebola,Breakout
el ebola,+170%
que es ebola,+170%
la ebola,+70%

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



