Web Search interest: ebola
Ecuador; United States
Past 90 days

Interest over time
Day,Ecuador,United States
2014-07-30,3,13
2014-07-31,5,16
2014-08-01,7,26
2014-08-02,7,31
2014-08-03,9,22
2014-08-04,9,21
2014-08-05,12,26
2014-08-06,15,20
2014-08-07,19,15
2014-08-08,31,15
2014-08-09,30,11
2014-08-10,15,8
2014-08-11,17,7
2014-08-12,22,6
2014-08-13,16,5
2014-08-14,11,5
2014-08-15,10,5
2014-08-16,9,4
2014-08-17,7,4
2014-08-18,8,5
2014-08-19,8,4
2014-08-20,7,7
2014-08-21,6,7
2014-08-22,4,5
2014-08-23,4,3
2014-08-24,5,3
2014-08-25,5,3
2014-08-26,4,3
2014-08-27,2,3
2014-08-28,3,3
2014-08-29,3,3
2014-08-30,3,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,4,3
2014-09-03,8,4
2014-09-04,4,3
2014-09-05,3,4
2014-09-06,3,3
2014-09-07,2,2
2014-09-08,3,3
2014-09-09,2,3
2014-09-10,2,3
2014-09-11,3,3
2014-09-12,2,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,2,3
2014-09-16,3,5
2014-09-17,4,4
2014-09-18,4,3
2014-09-19,3,4
2014-09-20,3,3
2014-09-21,2,2
2014-09-22,2,3
2014-09-23,3,4
2014-09-24,3,4
2014-09-25,3,4
2014-09-26,4,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,4,29
2014-10-01,8,53
2014-10-02,8,66
2014-10-03,10,63
2014-10-04,6,48
2014-10-05,4,41
2014-10-06,9,41
2014-10-07,14,34
2014-10-08,21,55
2014-10-09,28,56
2014-10-10,32,40
2014-10-11,28,28
2014-10-12,24,45
2014-10-13,25,51
2014-10-14,21,55
2014-10-15,27,91
2014-10-16,27,100
2014-10-17,24,82
2014-10-18,21,51
2014-10-19,19,37
2014-10-20,14,34
2014-10-21,15,34
2014-10-22,12,26
2014-10-23,11,22
2014-10-24,9,51
2014-10-25,8,23
2014-10-26,7,19
2014-10-27,7,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Ecuador
Subregion,Ecuador
Manabi,100
El Oro,96
Loja,90
Guayas,83
Azuay,76
Santo Domingo de los Tsachilas,76
Tungurahua,74
Pichincha,66
Bolivar,0
Carchi,0
Orellana,0
Esmeraldas,0
Canar,0
Chimborazo,0
Imbabura,0
Napo,0
Los Ríos,0
Morona-Santiago,0
Santa Elena,0
Sucumbios,0
Galapagos,0
Cotopaxi,0
Pastaza,0
Zamora-Chinchipe,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Ecuador
City,Ecuador
Machala Canton,100
Samborondon,91
Manta,90
Portoviejo,88
Loja,86
Cuenca Canton,76
Quito Canton,72
Santo Domingo,72
Ambato,64

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Ecuador
el ebola,100
ebola que es,60
ebola virus,45
la ebola,40
sintomas ebola,25
ebola ecuador,20
virus del ebola,20
ebola 2014,15
enfermedad ebola,15
ebola en ecuador,15
virus de ebola,10
noticias ebola,10
sintomas del ebola,10
sintomas de ebola,5
la enfermedad ebola,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for Ecuador
ebola 2014,Breakout
ebola ecuador,Breakout
ebola en ecuador,Breakout
ebola que es,Breakout
enfermedad ebola,Breakout
noticias ebola,Breakout
sintomas de ebola,Breakout
sintomas del ebola,Breakout
sintomas ebola,Breakout
virus de ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



