Web Search interest: ebola
El Salvador; United States
Past 90 days

Interest over time
Day,El Salvador,United States
2014-07-30,0,13
2014-07-31,0,16
2014-08-01,14,26
2014-08-02,13,31
2014-08-03,13,22
2014-08-04,15,21
2014-08-05,27,26
2014-08-06,48,20
2014-08-07,43,15
2014-08-08,60,15
2014-08-09,39,11
2014-08-10,26,8
2014-08-11,20,7
2014-08-12,28,6
2014-08-13,20,5
2014-08-14,18,5
2014-08-15,18,5
2014-08-16,9,4
2014-08-17,13,4
2014-08-18,12,5
2014-08-19,10,4
2014-08-20,11,7
2014-08-21,9,7
2014-08-22,10,5
2014-08-23,6,3
2014-08-24,6,3
2014-08-25,7,3
2014-08-26,5,3
2014-08-27,6,3
2014-08-28,5,3
2014-08-29,7,3
2014-08-30,5,3
2014-08-31,5,2
2014-09-01,5,2
2014-09-02,6,3
2014-09-03,5,4
2014-09-04,5,3
2014-09-05,6,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,6,2
2014-09-14,6,2
2014-09-15,8,3
2014-09-16,10,5
2014-09-17,10,4
2014-09-18,10,3
2014-09-19,13,4
2014-09-20,12,3
2014-09-21,14,2
2014-09-22,15,3
2014-09-23,13,4
2014-09-24,13,4
2014-09-25,11,4
2014-09-26,16,3
2014-09-27,15,3
2014-09-28,9,5
2014-09-29,14,4
2014-09-30,31,29
2014-10-01,68,53
2014-10-02,69,66
2014-10-03,76,63
2014-10-04,63,48
2014-10-05,45,41
2014-10-06,44,41
2014-10-07,45,34
2014-10-08,60,55
2014-10-09,73,56
2014-10-10,66,40
2014-10-11,59,28
2014-10-12,36,45
2014-10-13,42,51
2014-10-14,33,55
2014-10-15,35,91
2014-10-16,41,100
2014-10-17,46,82
2014-10-18,37,51
2014-10-19,24,37
2014-10-20,24,34
2014-10-21,18,34
2014-10-22,17,26
2014-10-23,15,22
2014-10-24,18,51
2014-10-25,13,23
2014-10-26,10,19
2014-10-27,16,24
2014-10-28, , 
2014-10-29, , 


Top subregions for El Salvador
Subregion,El Salvador
San Miguel,100
Sonsonate,83
Santa Ana,71
San Salvador,68
Ahuachapan,0
Cabanas,0
Chalatenango,0
Cuscatlan,0
La Libertad,0
Morazan,0
La Paz,0
San Vicente,0
La Union,0
Usulutan,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for El Salvador
City,El Salvador
San Miguel,100
Usulutan,99
Sonsonate Department,86
San Salvador,83
Santa Ana,76

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for El Salvador
el ebola,100
que el ebola,35
que es ebola,35
la ebola,35
virus ebola,35
ebola el salvador,35
ebola sintomas,30
ebola enfermedad,20
virus del ebola,15
sintomas del ebola,15
chikungunya,10
virus de ebola,10
sintomas de ebola,10
noticias ebola,10

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5



Rising searches for El Salvador
chikungunya,Breakout
ebola el salvador,Breakout
ebola enfermedad,Breakout
ebola sintomas,Breakout
el ebola,Breakout
la ebola,Breakout
que el ebola,Breakout
que es ebola,Breakout
sintomas de ebola,Breakout
sintomas del ebola,Breakout

Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



