Web Search interest: ebola
Equatorial Guinea; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,2
2014-07-31,2
2014-08-01,4
2014-08-02,5
2014-08-03,3
2014-08-04,3
2014-08-05,4
2014-08-06,3
2014-08-07,2
2014-08-08,2
2014-08-09,2
2014-08-10,1
2014-08-11,1
2014-08-12,1
2014-08-13,1
2014-08-14,1
2014-08-15,1
2014-08-16,1
2014-08-17,1
2014-08-18,1
2014-08-19,1
2014-08-20,1
2014-08-21,1
2014-08-22,1
2014-08-23,0
2014-08-24,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,1
2014-09-04,1
2014-09-05,1
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,1
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,0
2014-09-16,1
2014-09-17,1
2014-09-18,1
2014-09-19,1
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,1
2014-09-24,1
2014-09-25,1
2014-09-26,1
2014-09-27,0
2014-09-28,1
2014-09-29,1
2014-09-30,4
2014-10-01,8
2014-10-02,10
2014-10-03,9
2014-10-04,7
2014-10-05,6
2014-10-06,6
2014-10-07,5
2014-10-08,8
2014-10-09,8
2014-10-10,6
2014-10-11,4
2014-10-12,7
2014-10-13,7
2014-10-14,8
2014-10-15,13
2014-10-16,15
2014-10-17,12
2014-10-18,7
2014-10-19,5
2014-10-20,5
2014-10-21,5
2014-10-22,4
2014-10-23,3
2014-10-24,8
2014-10-25,3
2014-10-26,3
2014-10-27,3
2014-10-28, 
2014-10-29, 


Top subregions for Equatorial Guinea
Subregion,Equatorial Guinea
Bioko Norte,100
Annobón,0
Bioko Sur,0
Centro Sur,0
Kie-Ntem,0
Litoral,0
Wele-Nzas,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,94
District of Columbia,91
South Dakota,75
New York,75
Louisiana,75
Wyoming,72
Delaware,72
Ohio,71
West Virginia,70
Mississippi,70
Georgia,69
Connecticut,69
Maryland,68
North Dakota,68
Kentucky,68
Arkansas,67
Vermont,66
Alabama,66
New Jersey,66
Rhode Island,65
Alaska,65
Maine,65
Massachusetts,64
Montana,63
Tennessee,63
Illinois,63
Virginia,62
Nebraska,62
Missouri,61
North Carolina,61
Florida,61
Pennsylvania,61
Kansas,60
Michigan,60
California,59
New Mexico,59
Hawaii,59
Minnesota,59
South Carolina,59
Iowa,58
New Hampshire,57
Arizona,57
Wisconsin,56
Washington,56
Colorado,56
Indiana,55
Nevada,55
Idaho,53
Utah,49
Oregon,34


Top cities for Equatorial Guinea
City,Equatorial Guinea
Bata,100
Malabo,78

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



