Web Search interest: ebola
Estonia; United States
Past 90 days

Interest over time
Day,Estonia,United States
2014-07-30,6,13
2014-07-31,7,16
2014-08-01,13,26
2014-08-02,14,31
2014-08-03,6,22
2014-08-04,6,21
2014-08-05,8,26
2014-08-06,9,20
2014-08-07,9,15
2014-08-08,10,15
2014-08-09,12,11
2014-08-10,14,8
2014-08-11,16,7
2014-08-12,18,6
2014-08-13,0,5
2014-08-14,0,5
2014-08-15,0,5
2014-08-16,0,4
2014-08-17,0,4
2014-08-18,0,5
2014-08-19,7,4
2014-08-20,7,7
2014-08-21,6,7
2014-08-22,0,5
2014-08-23,0,3
2014-08-24,0,3
2014-08-25,0,3
2014-08-26,0,3
2014-08-27,0,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,0,2
2014-09-01,0,2
2014-09-02,0,3
2014-09-03,0,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,5,4
2014-09-20,7,3
2014-09-21,5,2
2014-09-22,5,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,0,53
2014-10-02,10,66
2014-10-03,8,63
2014-10-04,10,48
2014-10-05,7,41
2014-10-06,7,41
2014-10-07,21,34
2014-10-08,23,55
2014-10-09,26,56
2014-10-10,16,40
2014-10-11,14,28
2014-10-12,13,45
2014-10-13,15,51
2014-10-14,19,55
2014-10-15,28,91
2014-10-16,25,100
2014-10-17,16,82
2014-10-18,11,51
2014-10-19,7,37
2014-10-20,12,34
2014-10-21,10,34
2014-10-22,10,26
2014-10-23,7,22
2014-10-24,9,51
2014-10-25,9,23
2014-10-26,7,19
2014-10-27,8,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Estonia
Subregion,Estonia
Tartu County,100
Harju County,57
Hiiumaa,0
Ida-Viru County,0
Jõgeva County,0
Järva County,0
Lääne County,0
Lääne-Viru County,0
Põlva County,0
Pärnu County,0
Rapla County,0
Saaremaa,0
Valga County,0
Viljandi County,0
Võru County,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,94
District of Columbia,91
South Dakota,75
New York,75
Louisiana,75
Wyoming,72
Delaware,72
Ohio,71
West Virginia,70
Mississippi,70
Georgia,69
Connecticut,69
Maryland,68
North Dakota,68
Kentucky,68
Arkansas,67
Vermont,66
Alabama,66
New Jersey,66
Rhode Island,65
Alaska,65
Maine,65
Massachusetts,64
Montana,63
Tennessee,63
Illinois,63
Virginia,62
Nebraska,62
Missouri,61
North Carolina,61
Florida,61
Pennsylvania,61
Kansas,60
Michigan,60
California,59
New Mexico,59
Hawaii,59
Minnesota,59
South Carolina,59
Iowa,58
New Hampshire,57
Arizona,57
Wisconsin,56
Washington,56
Colorado,56
Indiana,55
Nevada,55
Idaho,53
Utah,49
Oregon,34


Top cities for Estonia
City,Estonia
Tartu,100
Tallinn,63

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Estonia
ebola viirus,100
virus ebola,60

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Estonia
ebola viirus,Breakout
virus ebola,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+650%
ebola cases,+500%
ebola in us,+250%
ebola us,+150%
ebola usa,+110%
symptoms of ebola,+100%
cdc,+90%



