Web Search interest: ebola
Ethiopia; United States
Past 90 days

Interest over time
Day,Ethiopia,United States
2014-07-30,0,13
2014-07-31,15,16
2014-08-01,14,26
2014-08-02,32,31
2014-08-03,45,22
2014-08-04,25,21
2014-08-05,29,26
2014-08-06,32,20
2014-08-07,28,15
2014-08-08,28,15
2014-08-09,33,11
2014-08-10,28,8
2014-08-11,31,7
2014-08-12,25,6
2014-08-13,51,5
2014-08-14,68,5
2014-08-15,53,5
2014-08-16,36,4
2014-08-17,38,4
2014-08-18,47,5
2014-08-19,52,4
2014-08-20,25,7
2014-08-21,27,7
2014-08-22,35,5
2014-08-23,31,3
2014-08-24,25,3
2014-08-25,27,3
2014-08-26,25,3
2014-08-27,18,3
2014-08-28,25,3
2014-08-29,18,3
2014-08-30,18,3
2014-08-31,20,2
2014-09-01,21,2
2014-09-02,23,3
2014-09-03,24,4
2014-09-04,28,3
2014-09-05,18,4
2014-09-06,33,3
2014-09-07,21,2
2014-09-08,15,3
2014-09-09,14,3
2014-09-10,14,3
2014-09-11,18,3
2014-09-12,21,3
2014-09-13,18,2
2014-09-14,18,2
2014-09-15,18,3
2014-09-16,24,5
2014-09-17,23,4
2014-09-18,24,3
2014-09-19,28,4
2014-09-20,16,3
2014-09-21,19,2
2014-09-22,15,3
2014-09-23,23,4
2014-09-24,19,4
2014-09-25,16,4
2014-09-26,17,3
2014-09-27,18,3
2014-09-28,20,5
2014-09-29,21,4
2014-09-30,21,29
2014-10-01,21,53
2014-10-02,17,66
2014-10-03,22,63
2014-10-04,26,48
2014-10-05,20,41
2014-10-06,22,41
2014-10-07,27,34
2014-10-08,33,55
2014-10-09,44,56
2014-10-10,39,40
2014-10-11,30,28
2014-10-12,43,45
2014-10-13,74,51
2014-10-14,78,55
2014-10-15,66,91
2014-10-16,72,100
2014-10-17,60,82
2014-10-18,39,51
2014-10-19,61,37
2014-10-20,34,34
2014-10-21,41,34
2014-10-22,27,26
2014-10-23,26,22
2014-10-24,36,51
2014-10-25,49,23
2014-10-26,21,19
2014-10-27,21,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Ethiopia
Subregion,Ethiopia
Addis Ababa,100
Afar,0
Amhara,0
Benishangul-Gumuz Region,0
Dire Dawa,0
Gambella,0
Harari,0
Oromia,0
Southern Nations, Nationalities, and People's Region,0
Somali,0
Tigray,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,94
District of Columbia,91
South Dakota,75
New York,75
Louisiana,75
Wyoming,72
Delaware,72
Ohio,71
West Virginia,70
Mississippi,70
Georgia,69
Connecticut,69
Maryland,68
North Dakota,68
Kentucky,68
Arkansas,67
Vermont,66
Alabama,66
New Jersey,66
Rhode Island,65
Alaska,65
Maine,65
Massachusetts,64
Montana,63
Tennessee,63
Illinois,63
Virginia,62
Nebraska,62
Missouri,61
North Carolina,61
Florida,61
Pennsylvania,61
Kansas,60
Michigan,60
California,59
New Mexico,59
Hawaii,59
Minnesota,59
South Carolina,59
Iowa,58
New Hampshire,57
Arizona,57
Wisconsin,56
Washington,56
Colorado,56
Indiana,55
Nevada,55
Idaho,53
Utah,49
Oregon,34


Top cities for Ethiopia
City,Ethiopia
Addis Ababa,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Ethiopia
ebola virus,100
ebola ethiopia,55
ebola in ethiopia,50
ebola news,35

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Ethiopia
ebola ethiopia,Breakout
ebola in ethiopia,Breakout
ebola news,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+650%
ebola cases,+500%
ebola in us,+250%
ebola us,+150%
ebola usa,+110%
symptoms of ebola,+100%
cdc,+90%



