Web Search interest: ebola
Finland; United States
Past 90 days

Interest over time
Day,Finland,United States
2014-07-30,3,13
2014-07-31,4,16
2014-08-01,13,26
2014-08-02,6,31
2014-08-03,10,22
2014-08-04,6,21
2014-08-05,8,26
2014-08-06,5,20
2014-08-07,6,15
2014-08-08,11,15
2014-08-09,7,11
2014-08-10,4,8
2014-08-11,3,7
2014-08-12,7,6
2014-08-13,3,5
2014-08-14,3,5
2014-08-15,3,5
2014-08-16,2,4
2014-08-17,8,4
2014-08-18,5,5
2014-08-19,20,4
2014-08-20,7,7
2014-08-21,3,7
2014-08-22,4,5
2014-08-23,3,3
2014-08-24,4,3
2014-08-25,2,3
2014-08-26,4,3
2014-08-27,4,3
2014-08-28,2,3
2014-08-29,2,3
2014-08-30,2,3
2014-08-31,5,2
2014-09-01,4,2
2014-09-02,2,3
2014-09-03,4,4
2014-09-04,2,3
2014-09-05,2,4
2014-09-06,2,3
2014-09-07,2,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,2,3
2014-09-11,1,3
2014-09-12,2,3
2014-09-13,3,2
2014-09-14,2,2
2014-09-15,1,3
2014-09-16,2,5
2014-09-17,2,4
2014-09-18,3,3
2014-09-19,2,4
2014-09-20,1,3
2014-09-21,2,2
2014-09-22,1,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,2,4
2014-09-26,1,3
2014-09-27,1,3
2014-09-28,2,5
2014-09-29,1,4
2014-09-30,3,29
2014-10-01,5,53
2014-10-02,5,66
2014-10-03,7,63
2014-10-04,6,48
2014-10-05,9,41
2014-10-06,20,41
2014-10-07,17,34
2014-10-08,14,55
2014-10-09,23,56
2014-10-10,18,40
2014-10-11,12,28
2014-10-12,20,45
2014-10-13,21,51
2014-10-14,15,55
2014-10-15,26,91
2014-10-16,24,100
2014-10-17,22,82
2014-10-18,17,51
2014-10-19,19,37
2014-10-20,16,34
2014-10-21,8,34
2014-10-22,8,26
2014-10-23,6,22
2014-10-24,10,51
2014-10-25,9,23
2014-10-26,6,19
2014-10-27,4,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Finland
Subregion,Finland
Tavastia Proper,100
Ostrobothnia,92
Päijänne Tavastia,80
Central Finland,79
Pirkanmaa,79
Northern Savonia,72
Northern Ostrobothnia,72
Uusimaa,71
Finland Proper,63
South Karelia,0
Southern Ostrobothnia,0
Southern Savonia,0
Kainuu,0
Central Ostrobothnia,0
Kymenlaakso,0
Lapland,0
North Karelia,0
Satakunta,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,94
District of Columbia,91
South Dakota,75
New York,75
Louisiana,75
Wyoming,72
Delaware,72
Ohio,71
West Virginia,70
Mississippi,70
Georgia,69
Connecticut,69
Maryland,68
North Dakota,68
Kentucky,68
Arkansas,67
Vermont,66
Alabama,66
New Jersey,66
Rhode Island,65
Alaska,65
Maine,65
Massachusetts,64
Montana,63
Tennessee,63
Illinois,63
Virginia,62
Nebraska,62
Missouri,61
North Carolina,61
Florida,61
Pennsylvania,61
Kansas,60
Michigan,60
California,59
New Mexico,59
Hawaii,59
Minnesota,59
South Carolina,59
Iowa,58
New Hampshire,57
Arizona,57
Wisconsin,56
Washington,56
Colorado,56
Indiana,55
Nevada,55
Idaho,53
Utah,49
Oregon,34


Top cities for Finland
City,Finland
Helsinki,100
Jyväskylä sub-region,99
Tampere,95
Vaasa,92
Oulu,91
Vantaa,89
Espoo,84
Kuopio,82
Lahti,78
Turku,72

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Finland
ebola virus,100
ebola suomessa,65
ebola iltalehti,50
ebola oireet,50
ebola 2014,45

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Finland
ebola 2014,Breakout
ebola iltalehti,Breakout
ebola oireet,Breakout
ebola suomessa,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



