Web Search interest: ebola
France; United States
Past 90 days

Interest over time
Day,France,United States
2014-07-30,6,13
2014-07-31,8,16
2014-08-01,6,26
2014-08-02,5,31
2014-08-03,6,22
2014-08-04,5,21
2014-08-05,6,26
2014-08-06,7,20
2014-08-07,7,15
2014-08-08,11,15
2014-08-09,7,11
2014-08-10,5,8
2014-08-11,6,7
2014-08-12,9,6
2014-08-13,5,5
2014-08-14,4,5
2014-08-15,4,5
2014-08-16,4,4
2014-08-17,4,4
2014-08-18,3,5
2014-08-19,4,4
2014-08-20,4,7
2014-08-21,4,7
2014-08-22,4,5
2014-08-23,3,3
2014-08-24,3,3
2014-08-25,3,3
2014-08-26,2,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,4,3
2014-08-30,3,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,4,3
2014-09-03,4,4
2014-09-04,3,3
2014-09-05,3,4
2014-09-06,3,3
2014-09-07,4,2
2014-09-08,2,3
2014-09-09,3,3
2014-09-10,4,3
2014-09-11,3,3
2014-09-12,2,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,2,3
2014-09-16,2,5
2014-09-17,3,4
2014-09-18,6,3
2014-09-19,5,4
2014-09-20,3,3
2014-09-21,2,2
2014-09-22,3,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,4,4
2014-09-26,2,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,2,29
2014-10-01,4,53
2014-10-02,4,66
2014-10-03,4,63
2014-10-04,3,48
2014-10-05,3,41
2014-10-06,11,41
2014-10-07,17,34
2014-10-08,14,55
2014-10-09,20,56
2014-10-10,23,40
2014-10-11,12,28
2014-10-12,10,45
2014-10-13,10,51
2014-10-14,9,55
2014-10-15,12,91
2014-10-16,19,100
2014-10-17,14,82
2014-10-18,10,51
2014-10-19,8,37
2014-10-20,8,34
2014-10-21,6,34
2014-10-22,5,26
2014-10-23,4,22
2014-10-24,7,51
2014-10-25,5,23
2014-10-26,4,19
2014-10-27,3,24
2014-10-28, , 
2014-10-29, , 


