Web Search interest: ebola
Gabon; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,8
2014-07-31,10
2014-08-01,16
2014-08-02,19
2014-08-03,14
2014-08-04,13
2014-08-05,16
2014-08-06,12
2014-08-07,9
2014-08-08,9
2014-08-09,7
2014-08-10,5
2014-08-11,4
2014-08-12,4
2014-08-13,3
2014-08-14,3
2014-08-15,3
2014-08-16,2
2014-08-17,3
2014-08-18,3
2014-08-19,3
2014-08-20,4
2014-08-21,4
2014-08-22,3
2014-08-23,2
2014-08-24,2
2014-08-25,2
2014-08-26,2
2014-08-27,2
2014-08-28,2
2014-08-29,2
2014-08-30,2
2014-08-31,1
2014-09-01,1
2014-09-02,2
2014-09-03,3
2014-09-04,2
2014-09-05,2
2014-09-06,2
2014-09-07,2
2014-09-08,2
2014-09-09,2
2014-09-10,2
2014-09-11,2
2014-09-12,2
2014-09-13,1
2014-09-14,1
2014-09-15,2
2014-09-16,3
2014-09-17,3
2014-09-18,2
2014-09-19,3
2014-09-20,2
2014-09-21,1
2014-09-22,2
2014-09-23,2
2014-09-24,2
2014-09-25,3
2014-09-26,2
2014-09-27,2
2014-09-28,3
2014-09-29,3
2014-09-30,18
2014-10-01,32
2014-10-02,40
2014-10-03,38
2014-10-04,29
2014-10-05,25
2014-10-06,25
2014-10-07,21
2014-10-08,33
2014-10-09,35
2014-10-10,25
2014-10-11,17
2014-10-12,28
2014-10-13,31
2014-10-14,34
2014-10-15,56
2014-10-16,61
2014-10-17,50
2014-10-18,31
2014-10-19,22
2014-10-20,21
2014-10-21,21
2014-10-22,16
2014-10-23,13
2014-10-24,32
2014-10-25,14
2014-10-26,12
2014-10-27,15
2014-10-28, 
2014-10-29, 


Top subregions for Gabon
Subregion,Gabon
Estuaire,100
Haut-Ogooue,0
Moyen-Ogooue,0
Ngounie,0
Nyanga,0
Ogooue-Ivindo,0
Ogooue-Lolo,0
Ogooue-Maritime,0
Woleu-Ntem,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,94
District of Columbia,91
South Dakota,75
New York,75
Louisiana,75
Wyoming,72
Delaware,72
Ohio,71
West Virginia,70
Mississippi,70
Georgia,69
Connecticut,69
Maryland,68
North Dakota,68
Kentucky,68
Arkansas,67
Vermont,66
Alabama,66
New Jersey,66
Rhode Island,65
Alaska,65
Maine,65
Massachusetts,64
Montana,63
Tennessee,63
Illinois,63
Virginia,62
Nebraska,62
Missouri,61
North Carolina,61
Florida,61
Pennsylvania,61
Kansas,60
Michigan,60
California,59
New Mexico,59
Hawaii,59
Minnesota,59
South Carolina,59
Iowa,58
New Hampshire,57
Arizona,57
Wisconsin,56
Washington,56
Colorado,56
Indiana,55
Nevada,55
Idaho,53
Utah,49
Oregon,34


Top cities for Gabon
City,Gabon
Libreville,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5




Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



