Web Search interest: ebola
Germany; United States
Past 90 days

Interest over time
Day,Germany,United States
2014-07-30,5,13
2014-07-31,7,16
2014-08-01,9,26
2014-08-02,9,31
2014-08-03,7,22
2014-08-04,7,21
2014-08-05,8,26
2014-08-06,7,20
2014-08-07,8,15
2014-08-08,13,15
2014-08-09,9,11
2014-08-10,10,8
2014-08-11,8,7
2014-08-12,8,6
2014-08-13,5,5
2014-08-14,4,5
2014-08-15,5,5
2014-08-16,4,4
2014-08-17,8,4
2014-08-18,6,5
2014-08-19,21,4
2014-08-20,8,7
2014-08-21,5,7
2014-08-22,4,5
2014-08-23,3,3
2014-08-24,4,3
2014-08-25,4,3
2014-08-26,4,3
2014-08-27,8,3
2014-08-28,5,3
2014-08-29,4,3
2014-08-30,3,3
2014-08-31,4,2
2014-09-01,3,2
2014-09-02,4,3
2014-09-03,4,4
2014-09-04,4,3
2014-09-05,4,4
2014-09-06,3,3
2014-09-07,3,2
2014-09-08,3,3
2014-09-09,3,3
2014-09-10,3,3
2014-09-11,3,3
2014-09-12,3,3
2014-09-13,3,2
2014-09-14,2,2
2014-09-15,2,3
2014-09-16,3,5
2014-09-17,4,4
2014-09-18,3,3
2014-09-19,4,4
2014-09-20,3,3
2014-09-21,4,2
2014-09-22,5,3
2014-09-23,5,4
2014-09-24,4,4
2014-09-25,4,4
2014-09-26,3,3
2014-09-27,3,3
2014-09-28,4,5
2014-09-29,3,4
2014-09-30,3,29
2014-10-01,10,53
2014-10-02,10,66
2014-10-03,13,63
2014-10-04,7,48
2014-10-05,7,41
2014-10-06,11,41
2014-10-07,19,34
2014-10-08,16,55
2014-10-09,18,56
2014-10-10,17,40
2014-10-11,13,28
2014-10-12,18,45
2014-10-13,17,51
2014-10-14,19,55
2014-10-15,19,91
2014-10-16,20,100
2014-10-17,15,82
2014-10-18,13,51
2014-10-19,11,37
2014-10-20,11,34
2014-10-21,8,34
2014-10-22,8,26
2014-10-23,9,22
2014-10-24,12,51
2014-10-25,8,23
2014-10-26,7,19
2014-10-27,7,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Germany
Subregion,Germany
Berlin,100
Saxony,99
Bremen,95
Rhineland-Palatinate,93
Hamburg,92
Saarland,91
Hesse,89
Bavaria,88
Thuringia,87
North Rhine-Westphalia,84
Baden-Wurttemberg,84
Saxony-Anhalt,83
Brandenburg,81
Lower Saxony,80
Mecklenburg-Vorpommern,79
Schleswig-Holstein,77
Canton of Schaffhausen,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Germany
City,Germany
Soltau,100
Leipzig,100
Berlin,98
Mainz,94
Frankfurt,91
Munich,90
Neuhausen ob Eck,90
Chemnitz,89
Hamburg,89
Wiesbaden,89
Bonn,87
Cologne,85
Ludwigshafen,85
Bremen,85
Würzburg,85

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Germany
ebola virus,100
symptome ebola,50
symptome,50
ebola deutschland,35
ebola 2014,20
news ebola,20
ebola berlin,15
ebola afrika,15
afrika,15
ebola in deutschland,15
ebola hamburg,10
was ist ebola,10
ebola usa,10
übertragung ebola,10
ebola virus symptome,10
ebola anzeichen,5
ebula,5
ebola aktuell,5
nigeria,5
ebola nigeria,5
ebola patient,5
nachrichten ebola,5
who ebola,5
leipzig ebola,5
ebola wiki,5
ebola ansteckung,5
who,5
ebola karte,5
ebola frankfurt,5
ebola spanien,5
krankheit ebola,5
ebola europa,5
ebola zombie,5
ebola inkubationszeit,5
ebola münchen,5
liberia ebola,5
rki,5
impfung ebola,5
ghana,5
liberia,5
ebola wikipedia,5

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
