Web Search interest: ebola
Ghana; United States
Past 90 days

Interest over time
Day,Ghana,United States
2014-07-30,63,8
2014-07-31,92,9
2014-08-01,83,15
2014-08-02,65,19
2014-08-03,68,13
2014-08-04,64,13
2014-08-05,61,16
2014-08-06,59,12
2014-08-07,61,9
2014-08-08,74,9
2014-08-09,77,6
2014-08-10,100,5
2014-08-11,93,4
2014-08-12,61,4
2014-08-13,56,3
2014-08-14,55,3
2014-08-15,55,3
2014-08-16,56,2
2014-08-17,54,3
2014-08-18,58,3
2014-08-19,40,3
2014-08-20,33,4
2014-08-21,39,4
2014-08-22,25,3
2014-08-23,32,2
2014-08-24,34,2
2014-08-25,32,2
2014-08-26,28,2
2014-08-27,21,2
2014-08-28,19,2
2014-08-29,27,2
2014-08-30,18,2
2014-08-31,20,1
2014-09-01,20,1
2014-09-02,19,2
2014-09-03,22,3
2014-09-04,16,2
2014-09-05,20,2
2014-09-06,14,2
2014-09-07,27,1
2014-09-08,20,2
2014-09-09,22,2
2014-09-10,15,2
2014-09-11,13,2
2014-09-12,15,2
2014-09-13,18,1
2014-09-14,16,1
2014-09-15,17,2
2014-09-16,16,3
2014-09-17,17,3
2014-09-18,15,2
2014-09-19,11,2
2014-09-20,13,2
2014-09-21,14,1
2014-09-22,13,2
2014-09-23,16,2
2014-09-24,18,2
2014-09-25,15,3
2014-09-26,16,2
2014-09-27,12,2
2014-09-28,14,3
2014-09-29,12,3
2014-09-30,13,18
2014-10-01,22,32
2014-10-02,19,39
2014-10-03,17,37
2014-10-04,13,28
2014-10-05,12,24
2014-10-06,16,24
2014-10-07,19,20
2014-10-08,27,33
2014-10-09,26,34
2014-10-10,21,24
2014-10-11,26,17
2014-10-12,27,27
2014-10-13,28,30
2014-10-14,33,33
2014-10-15,35,54
2014-10-16,33,60
2014-10-17,40,49
2014-10-18,33,31
2014-10-19,24,22
2014-10-20,28,20
2014-10-21,23,20
2014-10-22,22,15
2014-10-23,18,13
2014-10-24,22,31
2014-10-25,19,14
2014-10-26,19,12
2014-10-27,16,14
2014-10-28, , 
2014-10-29, , 


Top subregions for Ghana
Subregion,Ghana
Greater Accra,100
Ashanti,0
Brong Ahafo,0
Central,0
Eastern,0
Northern,0
Volta,0
Upper East,0
Upper West,0
Western,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Ghana
City,Ghana
Accra,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Ghana
ebola virus,100
ghana ebola,75
ebola in ghana,55
ebola news,30
what is ebola,25
ebola disease,20
ebola symptoms,20
nigeria ebola,20
ebola in nigeria,10
the ebola virus,10
about ebola,10
symptoms of ebola,10
ebola pictures,10
ebola outbreak,10
ebola cure,10

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Ghana
about ebola,Breakout
ebola cure,Breakout
ebola in nigeria,Breakout
ebola news,Breakout
ebola pictures,Breakout
what is ebola,+140%
nigeria ebola,+70%
ebola in ghana,+60%
ghana ebola,+60%

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



