Web Search interest: ebola
Greece; United States
Past 90 days

Interest over time
Day,Greece,United States
2014-07-30,2,13
2014-07-31,3,16
2014-08-01,3,26
2014-08-02,3,31
2014-08-03,3,22
2014-08-04,2,21
2014-08-05,2,26
2014-08-06,3,20
2014-08-07,3,15
2014-08-08,7,15
2014-08-09,3,11
2014-08-10,3,8
2014-08-11,2,7
2014-08-12,2,6
2014-08-13,2,5
2014-08-14,1,5
2014-08-15,2,5
2014-08-16,1,4
2014-08-17,1,4
2014-08-18,1,5
2014-08-19,1,4
2014-08-20,2,7
2014-08-21,1,7
2014-08-22,1,5
2014-08-23,1,3
2014-08-24,1,3
2014-08-25,1,3
2014-08-26,0,3
2014-08-27,0,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,1,2
2014-09-01,1,2
2014-09-02,1,3
2014-09-03,1,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,1,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,0,4
2014-09-20,0,3
2014-09-21,0,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,1,53
2014-10-02,2,66
2014-10-03,2,63
2014-10-04,1,48
2014-10-05,1,41
2014-10-06,2,41
2014-10-07,3,34
2014-10-08,4,55
2014-10-09,6,56
2014-10-10,7,40
2014-10-11,6,28
2014-10-12,5,45
2014-10-13,5,51
2014-10-14,4,55
2014-10-15,5,91
2014-10-16,5,100
2014-10-17,5,82
2014-10-18,5,51
2014-10-19,5,37
2014-10-20,3,34
2014-10-21,3,34
2014-10-22,2,26
2014-10-23,1,22
2014-10-24,3,51
2014-10-25,1,23
2014-10-26,1,19
2014-10-27,2,24
2014-10-28, , 
2014-10-29, , 


Top cities for Greece
City,Greece
Thessaloniki,100
Athens,100

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Greece
ebola virus,100

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5




Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



