Web Search interest: ebola
Guatemala; United States
Past 90 days

Interest over time
Day,Guatemala,United States
2014-07-30,3,13
2014-07-31,8,16
2014-08-01,12,26
2014-08-02,13,31
2014-08-03,14,22
2014-08-04,12,21
2014-08-05,17,26
2014-08-06,20,20
2014-08-07,26,15
2014-08-08,33,15
2014-08-09,27,11
2014-08-10,22,8
2014-08-11,19,7
2014-08-12,14,6
2014-08-13,19,5
2014-08-14,11,5
2014-08-15,10,5
2014-08-16,11,4
2014-08-17,8,4
2014-08-18,10,5
2014-08-19,11,4
2014-08-20,8,7
2014-08-21,8,7
2014-08-22,7,5
2014-08-23,6,3
2014-08-24,3,3
2014-08-25,3,3
2014-08-26,3,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,6,3
2014-08-30,3,3
2014-08-31,3,2
2014-09-01,3,2
2014-09-02,3,3
2014-09-03,5,4
2014-09-04,4,3
2014-09-05,3,4
2014-09-06,3,3
2014-09-07,3,2
2014-09-08,4,3
2014-09-09,3,3
2014-09-10,3,3
2014-09-11,3,3
2014-09-12,3,3
2014-09-13,3,2
2014-09-14,3,2
2014-09-15,4,3
2014-09-16,4,5
2014-09-17,5,4
2014-09-18,4,3
2014-09-19,3,4
2014-09-20,3,3
2014-09-21,3,2
2014-09-22,4,3
2014-09-23,4,4
2014-09-24,4,4
2014-09-25,6,4
2014-09-26,3,3
2014-09-27,3,3
2014-09-28,4,5
2014-09-29,4,4
2014-09-30,7,29
2014-10-01,16,53
2014-10-02,17,66
2014-10-03,31,63
2014-10-04,25,48
2014-10-05,19,41
2014-10-06,21,41
2014-10-07,33,34
2014-10-08,47,55
2014-10-09,49,56
2014-10-10,60,40
2014-10-11,66,28
2014-10-12,45,45
2014-10-13,52,51
2014-10-14,47,55
2014-10-15,61,91
2014-10-16,53,100
2014-10-17,56,82
2014-10-18,49,51
2014-10-19,32,37
2014-10-20,31,34
2014-10-21,24,34
2014-10-22,23,26
2014-10-23,19,22
2014-10-24,21,51
2014-10-25,18,23
2014-10-26,9,19
2014-10-27,14,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Guatemala
Subregion,Guatemala
Quetzaltenango,100
Guatemala,89
Alta Verapaz,0
Baja Verapaz,0
Chimaltenango,0
Chiquimula,0
Escuintla,0
Huehuetenango,0
Izabal,0
Jalapa,0
Jutiapa,0
Peten,0
El Progreso,0
Quiche,0
Retalhuleu,0
Sacatepequez,0
San Marcos Department,0
Solola,0
Santa Rosa,0
Suchitepequez,0
Totonicapan,0
Zacapa,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Guatemala
City,Guatemala
Guatemala City,100
Quetzaltenango,91

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Guatemala
el ebola,100
ebola virus,55
ebola que es,55
ebola sintomas,45
la ebola,40
ebola guatemala,25
ebola enfermedad,25
virus del ebola,20
sintomas del ebola,20
ebola en guatemala,15
sintomas de ebola,15
ebola 2014,15
noticias ebola,10
virus de ebola,10

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Guatemala
ebola 2014,Breakout
ebola en guatemala,Breakout
ebola enfermedad,Breakout
ebola guatemala,Breakout
ebola sintomas,Breakout
el ebola,Breakout
la ebola,Breakout
noticias ebola,Breakout
sintomas de ebola,Breakout
sintomas del ebola,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



