Web Search interest: ebola
Guinea; United States
Past 90 days

Interest over time
Day,Guinea,United States
2014-07-30,0,8
2014-07-31,0,10
2014-08-01,29,16
2014-08-02,44,20
2014-08-03,35,14
2014-08-04,41,13
2014-08-05,40,17
2014-08-06,59,12
2014-08-07,45,9
2014-08-08,45,9
2014-08-09,53,7
2014-08-10,60,5
2014-08-11,58,4
2014-08-12,49,4
2014-08-13,80,3
2014-08-14,53,3
2014-08-15,67,3
2014-08-16,53,2
2014-08-17,54,3
2014-08-18,52,3
2014-08-19,63,3
2014-08-20,73,4
2014-08-21,72,4
2014-08-22,60,3
2014-08-23,71,2
2014-08-24,54,2
2014-08-25,62,2
2014-08-26,45,2
2014-08-27,54,2
2014-08-28,37,2
2014-08-29,88,2
2014-08-30,72,2
2014-08-31,60,1
2014-09-01,48,1
2014-09-02,78,2
2014-09-03,71,3
2014-09-04,80,2
2014-09-05,57,3
2014-09-06,64,2
2014-09-07,51,2
2014-09-08,56,2
2014-09-09,67,2
2014-09-10,54,2
2014-09-11,70,2
2014-09-12,100,2
2014-09-13,64,1
2014-09-14,68,1
2014-09-15,78,2
2014-09-16,64,3
2014-09-17,65,3
2014-09-18,100,2
2014-09-19,79,3
2014-09-20,72,2
2014-09-21,48,1
2014-09-22,63,2
2014-09-23,54,3
2014-09-24,59,2
2014-09-25,41,3
2014-09-26,57,2
2014-09-27,45,2
2014-09-28,48,3
2014-09-29,59,3
2014-09-30,38,19
2014-10-01,42,33
2014-10-02,41,41
2014-10-03,37,40
2014-10-04,49,30
2014-10-05,37,26
2014-10-06,55,26
2014-10-07,43,21
2014-10-08,54,34
2014-10-09,78,36
2014-10-10,85,25
2014-10-11,60,18
2014-10-12,61,29
2014-10-13,56,32
2014-10-14,88,35
2014-10-15,71,57
2014-10-16,83,63
2014-10-17,74,52
2014-10-18,81,32
2014-10-19,72,23
2014-10-20,79,21
2014-10-21,45,21
2014-10-22,48,16
2014-10-23,56,14
2014-10-24,45,32
2014-10-25,46,14
2014-10-26,34,12
2014-10-27,49,15
2014-10-28, , 
2014-10-29, , 


Top subregions for Guinea
Subregion,Guinea
Conakry,100
Boké,0
Kindia,0
Faranah,0
Kankan,0
Labé,0
Mamou,0
Nzérékoré,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Guinea
City,Guinea
Conakry,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Guinea
ebola guinee,100
virus ebola,70
ebola en guinee,50

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5




Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



