Web Search interest: ebola
Guyana; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,4
2014-07-31,5
2014-08-01,9
2014-08-02,11
2014-08-03,8
2014-08-04,7
2014-08-05,9
2014-08-06,7
2014-08-07,5
2014-08-08,5
2014-08-09,4
2014-08-10,3
2014-08-11,2
2014-08-12,2
2014-08-13,2
2014-08-14,2
2014-08-15,2
2014-08-16,1
2014-08-17,2
2014-08-18,2
2014-08-19,2
2014-08-20,2
2014-08-21,2
2014-08-22,2
2014-08-23,1
2014-08-24,1
2014-08-25,1
2014-08-26,1
2014-08-27,1
2014-08-28,1
2014-08-29,1
2014-08-30,1
2014-08-31,1
2014-09-01,1
2014-09-02,1
2014-09-03,1
2014-09-04,1
2014-09-05,1
2014-09-06,1
2014-09-07,1
2014-09-08,1
2014-09-09,1
2014-09-10,1
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,1
2014-09-15,1
2014-09-16,2
2014-09-17,1
2014-09-18,1
2014-09-19,1
2014-09-20,1
2014-09-21,1
2014-09-22,1
2014-09-23,1
2014-09-24,1
2014-09-25,1
2014-09-26,1
2014-09-27,1
2014-09-28,2
2014-09-29,1
2014-09-30,10
2014-10-01,18
2014-10-02,22
2014-10-03,21
2014-10-04,16
2014-10-05,14
2014-10-06,14
2014-10-07,11
2014-10-08,19
2014-10-09,19
2014-10-10,14
2014-10-11,9
2014-10-12,15
2014-10-13,17
2014-10-14,19
2014-10-15,31
2014-10-16,34
2014-10-17,28
2014-10-18,17
2014-10-19,12
2014-10-20,12
2014-10-21,12
2014-10-22,9
2014-10-23,7
2014-10-24,17
2014-10-25,8
2014-10-26,7
2014-10-27,8
2014-10-28, 
2014-10-29, 


Top subregions for Guyana
Subregion,Guyana
Demerara-Mahaica,100
Barima-Waini,0
Cuyuni-Mazaruni,0
East Berbice-Corentyne,0
Essequibo Islands-West Demerara,0
Mahaica-Berbice,0
Pomeroon-Supenaam,0
Potaro-Siparuni,0
Upper Demerara-Berbice,0
Upper Takutu-Upper Essequibo,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Guyana
City,Guyana
Georgetown,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Guyana
ebola virus,100

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Guyana
ebola virus,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



