Web Search interest: ebola
Haiti; United States
Past 90 days

Interest over time
Day,Haiti,United States
2014-07-30,40,6
2014-07-31,46,8
2014-08-01,78,12
2014-08-02,48,15
2014-08-03,70,11
2014-08-04,48,10
2014-08-05,100,13
2014-08-06,62,10
2014-08-07,63,7
2014-08-08,47,7
2014-08-09,44,5
2014-08-10,33,4
2014-08-11,18,3
2014-08-12,28,3
2014-08-13,22,3
2014-08-14,27,2
2014-08-15,18,2
2014-08-16,18,2
2014-08-17,18,2
2014-08-18,18,2
2014-08-19,15,2
2014-08-20,15,3
2014-08-21,15,3
2014-08-22,15,2
2014-08-23,0,2
2014-08-24,0,1
2014-08-25,0,1
2014-08-26,0,1
2014-08-27,0,1
2014-08-28,0,2
2014-08-29,0,2
2014-08-30,19,1
2014-08-31,47,1
2014-09-01,31,1
2014-09-02,23,2
2014-09-03,32,2
2014-09-04,52,2
2014-09-05,58,2
2014-09-06,41,2
2014-09-07,25,1
2014-09-08,14,1
2014-09-09,15,2
2014-09-10,16,1
2014-09-11,15,1
2014-09-12,24,1
2014-09-13,16,1
2014-09-14,19,1
2014-09-15,21,1
2014-09-16,24,2
2014-09-17,0,2
2014-09-18,0,2
2014-09-19,0,2
2014-09-20,0,1
2014-09-21,0,1
2014-09-22,0,1
2014-09-23,0,2
2014-09-24,0,2
2014-09-25,0,2
2014-09-26,0,2
2014-09-27,0,1
2014-09-28,0,3
2014-09-29,0,2
2014-09-30,0,14
2014-10-01,14,26
2014-10-02,18,32
2014-10-03,18,31
2014-10-04,26,23
2014-10-05,30,20
2014-10-06,23,20
2014-10-07,27,16
2014-10-08,31,27
2014-10-09,31,27
2014-10-10,52,20
2014-10-11,37,14
2014-10-12,36,22
2014-10-13,32,25
2014-10-14,40,27
2014-10-15,34,44
2014-10-16,58,49
2014-10-17,50,40
2014-10-18,41,25
2014-10-19,36,18
2014-10-20,60,17
2014-10-21,47,16
2014-10-22,58,13
2014-10-23,46,11
2014-10-24,36,25
2014-10-25,37,11
2014-10-26,40,9
2014-10-27,23,12
2014-10-28, , 
2014-10-29, , 


Top subregions for Haiti
Subregion,Haiti
Ouest,100
Artibonite,0
Centre,0
Grand'Anse,0
Nord,0
Nord-Est,0
Nippes,0
Nord-Ouest,0
Sud,0
Sud-Est,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Haiti
City,Haiti
Port-au-Prince,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Haiti
ebola virus,100
haiti ebola,80
fievre ebola,45
ebola maladie,40

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Haiti
ebola maladie,Breakout
haiti ebola,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



