Web Search interest: ebola
Honduras; United States
Past 90 days

Interest over time
Day,Honduras,United States
2014-07-30,0,13
2014-07-31,0,16
2014-08-01,10,26
2014-08-02,15,31
2014-08-03,13,22
2014-08-04,18,21
2014-08-05,30,26
2014-08-06,25,20
2014-08-07,25,15
2014-08-08,44,15
2014-08-09,43,11
2014-08-10,21,8
2014-08-11,15,7
2014-08-12,12,6
2014-08-13,14,5
2014-08-14,10,5
2014-08-15,16,5
2014-08-16,9,4
2014-08-17,17,4
2014-08-18,8,5
2014-08-19,8,4
2014-08-20,8,7
2014-08-21,8,7
2014-08-22,9,5
2014-08-23,0,3
2014-08-24,0,3
2014-08-25,0,3
2014-08-26,0,3
2014-08-27,0,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,0,2
2014-09-01,0,2
2014-09-02,0,3
2014-09-03,0,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,0,4
2014-09-20,0,3
2014-09-21,0,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,7,29
2014-10-01,15,53
2014-10-02,16,66
2014-10-03,23,63
2014-10-04,16,48
2014-10-05,15,41
2014-10-06,14,41
2014-10-07,19,34
2014-10-08,37,55
2014-10-09,64,56
2014-10-10,45,40
2014-10-11,59,28
2014-10-12,38,45
2014-10-13,42,51
2014-10-14,46,55
2014-10-15,46,91
2014-10-16,46,100
2014-10-17,75,82
2014-10-18,79,51
2014-10-19,42,37
2014-10-20,28,34
2014-10-21,24,34
2014-10-22,18,26
2014-10-23,16,22
2014-10-24,16,51
2014-10-25,17,23
2014-10-26,15,19
2014-10-27,16,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Honduras
Subregion,Honduras
Francisco Morazan,100
Cortés,82
Atlantida,0
Choluteca,0
Colon,0
Comayagua,0
Copan,0
El Paraiso,0
Gracias a Dios,0
Bay Islands,0
Intibuca,0
Lempira,0
La Paz,0
Ocotepeque,0
Olancho,0
Santa Barbara,0
Valle,0
Yoro,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34


Top cities for Honduras
City,Honduras
Comayaguela,100
San Pedro Sula,81

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Honduras
el ebola,100
ebola virus,75
que es ebola,45
ebola sintomas,35
virus del ebola,20
sintomas del ebola,20

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Honduras
ebola sintomas,Breakout
ebola virus,Breakout
el ebola,Breakout
que es ebola,Breakout
sintomas del ebola,Breakout
virus del ebola,Breakout

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



