Web Search interest: ebola
Hong Kong; United States
Past 90 days

Interest over time
Day,Hong Kong,United States
2014-07-30,14,13
2014-07-31,17,16
2014-08-01,12,26
2014-08-02,10,31
2014-08-03,8,22
2014-08-04,4,21
2014-08-05,6,26
2014-08-06,4,20
2014-08-07,6,15
2014-08-08,8,15
2014-08-09,6,11
2014-08-10,16,8
2014-08-11,8,7
2014-08-12,5,6
2014-08-13,5,5
2014-08-14,4,5
2014-08-15,4,5
2014-08-16,3,4
2014-08-17,3,4
2014-08-18,3,5
2014-08-19,4,4
2014-08-20,4,7
2014-08-21,3,7
2014-08-22,3,5
2014-08-23,2,3
2014-08-24,2,3
2014-08-25,2,3
2014-08-26,2,3
2014-08-27,2,3
2014-08-28,3,3
2014-08-29,2,3
2014-08-30,2,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,2,3
2014-09-03,2,4
2014-09-04,2,3
2014-09-05,2,4
2014-09-06,3,3
2014-09-07,2,2
2014-09-08,2,3
2014-09-09,2,3
2014-09-10,1,3
2014-09-11,1,3
2014-09-12,2,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,2,3
2014-09-16,1,5
2014-09-17,1,4
2014-09-18,2,3
2014-09-19,1,4
2014-09-20,1,3
2014-09-21,1,2
2014-09-22,1,3
2014-09-23,2,4
2014-09-24,2,4
2014-09-25,2,4
2014-09-26,2,3
2014-09-27,2,3
2014-09-28,2,5
2014-09-29,2,4
2014-09-30,3,29
2014-10-01,4,53
2014-10-02,4,66
2014-10-03,3,63
2014-10-04,2,48
2014-10-05,3,41
2014-10-06,2,41
2014-10-07,3,34
2014-10-08,3,55
2014-10-09,5,56
2014-10-10,5,40
2014-10-11,2,28
2014-10-12,5,45
2014-10-13,5,51
2014-10-14,6,55
2014-10-15,6,91
2014-10-16,8,100
2014-10-17,7,82
2014-10-18,5,51
2014-10-19,4,37
2014-10-20,4,34
2014-10-21,3,34
2014-10-22,3,26
2014-10-23,3,22
2014-10-24,6,51
2014-10-25,4,23
2014-10-26,3,19
2014-10-27,5,24
2014-10-28, , 
2014-10-29, , 



Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47



Top searches for Hong Kong
virus ebola,100
hong kong ebola,65
ebola outbreak,35
ebola news,25

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5



Rising searches for Hong Kong
ebola news,Breakout
hong kong ebola,+50%

Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%



