Web Search interest: ebola
Afghanistan; United States
Past 90 days

Interest over time
Day,United States
2014-07-30,13
2014-07-31,16
2014-08-01,26
2014-08-02,31
2014-08-03,22
2014-08-04,21
2014-08-05,26
2014-08-06,20
2014-08-07,15
2014-08-08,15
2014-08-09,11
2014-08-10,8
2014-08-11,7
2014-08-12,6
2014-08-13,5
2014-08-14,5
2014-08-15,5
2014-08-16,4
2014-08-17,4
2014-08-18,5
2014-08-19,4
2014-08-20,7
2014-08-21,7
2014-08-22,5
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,3
2014-08-27,3
2014-08-28,3
2014-08-29,3
2014-08-30,3
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,3
2014-09-05,4
2014-09-06,3
2014-09-07,2
2014-09-08,3
2014-09-09,3
2014-09-10,3
2014-09-11,3
2014-09-12,3
2014-09-13,2
2014-09-14,2
2014-09-15,3
2014-09-16,5
2014-09-17,4
2014-09-18,3
2014-09-19,4
2014-09-20,3
2014-09-21,2
2014-09-22,3
2014-09-23,4
2014-09-24,4
2014-09-25,4
2014-09-26,3
2014-09-27,3
2014-09-28,5
2014-09-29,4
2014-09-30,29
2014-10-01,53
2014-10-02,66
2014-10-03,63
2014-10-04,48
2014-10-05,41
2014-10-06,41
2014-10-07,34
2014-10-08,55
2014-10-09,56
2014-10-10,40
2014-10-11,28
2014-10-12,45
2014-10-13,51
2014-10-14,55
2014-10-15,91
2014-10-16,100
2014-10-17,82
2014-10-18,51
2014-10-19,37
2014-10-20,34
2014-10-21,34
2014-10-22,26
2014-10-23,22
2014-10-24,51
2014-10-25,23
2014-10-26,19
2014-10-27,24
2014-10-28, 
2014-10-29, 


Top subregions for Afghanistan
Subregion,Afghanistan
Kabul,100
Balkh,0
Bamiyan,0
Badghis,0
Badakhshan,0
Baghlan,0
Daykundi,0
Farah,0
Faryab,0
Ghazni,0
Ghor,0
Helmand,0
Herat,0
Jowzjan,0
Kandahar,0
Kapisa,0
Kunduz,0
Khost,0
Kunar,0
Laghman,0
Logar,0
Nangarhar,0
Nimruz,0
Nurestan,0
Panjshir,0
Parvan,0
Paktia,0
Paktika,0
Samangan,0
Sare Pol,0
Takhar,0
Oruzgan,0
Wardak,0
Zabul,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,89
New York,74
Louisiana,74
Wyoming,72
South Dakota,71
Delaware,69
Ohio,69
West Virginia,69
Connecticut,68
Mississippi,68
Georgia,68
Maryland,67
North Dakota,67
Arkansas,66
Kentucky,66
Alaska,66
Alabama,66
Rhode Island,65
Maine,64
New Jersey,64
Vermont,64
Tennessee,63
Illinois,62
Massachusetts,62
California,61
Pennsylvania,61
Montana,61
Virginia,61
North Carolina,61
Missouri,60
Hawaii,60
Nebraska,60
Florida,60
Minnesota,59
South Carolina,58
Michigan,58
New Mexico,58
Kansas,58
Arizona,57
New Hampshire,56
Colorado,56
Iowa,56
Washington,55
Wisconsin,55
Nevada,54
Indiana,53
Idaho,53
Utah,48
Oregon,34


Top cities for Afghanistan
City,Afghanistan
Kabul,100

Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Atlanta,48
Chicago,48




Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
ebola dallas,20
ebola texas,15
ebola 2014,15
symptoms of ebola,15
ebola patient,15
ebola cdc,10
cdc,10
africa,10
africa ebola,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
ebola nurse,10
new york ebola,10
who ebola,5
airborne ebola,5
ebola zombie,5
ebola disease,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
nyc ebola,5
ebola in dallas,5
ebola vaccine,5
us ebola cases,5
where is ebola,5
ebola virus outbreak,5
ebola outbreak 2014,5
ebola united states,5
ebola victim,5
duncan ebola,5
ebola ny,5
obama ebola,5




Rising searches for United States
ebola nurse,Breakout
ebola dallas,+1,900%
ebola patient,+750%
new york ebola,+700%
ebola texas,+600%
ebola cases,+400%
ebola in us,+250%
ebola us,+180%
ebola usa,+100%
symptoms of ebola,+100%



