Web Search interest: ebola
United States; Kenya
Past 90 days

Interest over time
Day,United States,Kenya
2014-07-30,13,19
2014-07-31,16,30
2014-08-01,26,19
2014-08-02,31,16
2014-08-03,22,13
2014-08-04,21,17
2014-08-05,26,13
2014-08-06,20,13
2014-08-07,15,14
2014-08-08,15,27
2014-08-09,11,29
2014-08-10,8,18
2014-08-11,7,19
2014-08-12,6,24
2014-08-13,5,38
2014-08-14,5,54
2014-08-15,5,47
2014-08-16,4,43
2014-08-17,4,32
2014-08-18,5,26
2014-08-19,4,24
2014-08-20,7,29
2014-08-21,7,25
2014-08-22,5,19
2014-08-23,3,14
2014-08-24,3,12
2014-08-25,3,16
2014-08-26,3,10
2014-08-27,3,8
2014-08-28,3,9
2014-08-29,3,12
2014-08-30,3,8
2014-08-31,2,5
2014-09-01,2,7
2014-09-02,3,7
2014-09-03,4,12
2014-09-04,3,28
2014-09-05,4,15
2014-09-06,3,15
2014-09-07,2,11
2014-09-08,3,8
2014-09-09,3,10
2014-09-10,3,8
2014-09-11,3,5
2014-09-12,3,5
2014-09-13,2,5
2014-09-14,2,5
2014-09-15,3,5
2014-09-16,5,7
2014-09-17,4,7
2014-09-18,3,7
2014-09-19,4,4
2014-09-20,3,4
2014-09-21,2,4
2014-09-22,3,5
2014-09-23,4,6
2014-09-24,4,5
2014-09-25,4,9
2014-09-26,3,6
2014-09-27,3,6
2014-09-28,5,9
2014-09-29,4,5
2014-09-30,29,5
2014-10-01,53,10
2014-10-02,66,8
2014-10-03,63,11
2014-10-04,48,8
2014-10-05,41,12
2014-10-06,41,9
2014-10-07,34,10
2014-10-08,55,10
2014-10-09,56,14
2014-10-10,40,15
2014-10-11,28,18
2014-10-12,45,36
2014-10-13,51,35
2014-10-14,55,29
2014-10-15,91,31
2014-10-16,100,38
2014-10-17,82,31
2014-10-18,51,22
2014-10-19,37,17
2014-10-20,34,23
2014-10-21,34,15
2014-10-22,26,20
2014-10-23,22,15
2014-10-24,51,21
2014-10-25,23,13
2014-10-26,19,12
2014-10-27,24,16
2014-10-28, , 
2014-10-29, , 


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Kenya
City,Kenya
Nairobi,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Kenya
kenya ebola,100
virus ebola,75
ebola in kenya,55
ebola news,50
ebola symptoms,40
ebola outbreak,35
what is ebola,20



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Kenya
ebola in kenya,Breakout
ebola news,Breakout
kenya ebola,Breakout
what is ebola,Breakout



