Web Search interest: ebola
United States; Latvia
Past 90 days

Interest over time
Day,United States
2014-07-30,13
2014-07-31,16
2014-08-01,26
2014-08-02,31
2014-08-03,22
2014-08-04,21
2014-08-05,26
2014-08-06,20
2014-08-07,15
2014-08-08,15
2014-08-09,11
2014-08-10,8
2014-08-11,7
2014-08-12,6
2014-08-13,5
2014-08-14,5
2014-08-15,5
2014-08-16,4
2014-08-17,4
2014-08-18,5
2014-08-19,4
2014-08-20,7
2014-08-21,7
2014-08-22,5
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,3
2014-08-27,3
2014-08-28,3
2014-08-29,3
2014-08-30,3
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,3
2014-09-05,4
2014-09-06,3
2014-09-07,2
2014-09-08,3
2014-09-09,3
2014-09-10,3
2014-09-11,3
2014-09-12,3
2014-09-13,2
2014-09-14,2
2014-09-15,3
2014-09-16,5
2014-09-17,4
2014-09-18,3
2014-09-19,4
2014-09-20,3
2014-09-21,2
2014-09-22,3
2014-09-23,4
2014-09-24,4
2014-09-25,4
2014-09-26,3
2014-09-27,3
2014-09-28,5
2014-09-29,4
2014-09-30,29
2014-10-01,53
2014-10-02,66
2014-10-03,63
2014-10-04,48
2014-10-05,41
2014-10-06,41
2014-10-07,34
2014-10-08,55
2014-10-09,56
2014-10-10,40
2014-10-11,28
2014-10-12,45
2014-10-13,51
2014-10-14,55
2014-10-15,91
2014-10-16,100
2014-10-17,82
2014-10-18,51
2014-10-19,37
2014-10-20,34
2014-10-21,34
2014-10-22,26
2014-10-23,22
2014-10-24,51
2014-10-25,23
2014-10-26,19
2014-10-27,24
2014-10-28, 
2014-10-29, 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Latvia
Subregion,Latvia
Riga galvaspilseta,100
Aglona municipality,0
Aizkraukle municipality,0
Aizpute municipality,0
Aknīste municipality,0
Aloja municipality,0
Alsunga municipality,0
Alūksnes novads,0
Amata municipality,0
Apes novads,0
Auces novads,0
Ādaži Municipality,0
Babīte municipality,0
Baldones novads,0
Baltinavas novads,0
Balvi municipality,0
Bauskas novads,0
Beverīna municipality,0
Brocēnu novads,0
Burtnieku novads,0
Carnikavas novads,0
Cesvaines novads,0
Cesis novads,0
Cibla municipality,0
Dagdas novads,0
Daugavpils municipality,0
Dobeles novads,0
Dundaga municipality,0
Durbes novads,0
Engure municipality,0
Ērgļi municipality,0
Garkalne municipality,0
Grobiņas novads,0
Gulbenes novads,0
Iecavas novads,0
Ikškiles novads,0
Ilūkstes novads,0
Incukalns novads,0
Jaunjelgavas novads,0
Jaunpiebalga municipality,0
Jaunpils municipality,0
Jelgava municipality,0
Jēkabpils municipality,0
Kandava municipality,0
Kārsava municipality,0
Kocēni municipality,0
Kokneses novads,0
Krāslavas novads,0
Krimulda municipality,0
Krustpils municipality,0
Kuldīgas novads,0
Ķegums municipality,0
Ķekava municipality,0
Lielvārde municipality,0
Limbaži municipality,0
Līgatnes novads,0
Līvāni municipality,0
Lubāna municipality,0
Ludza municipality,0
Madona municipality,0
Mazsalaca municipality,0
Mālpils municipality,0
Mārupe municipality,0
Mersragas novads,0
Naukšēni municipality,0
Nereta municipality,0
Nīca municipality,0
Ogres novads,0
Olaines novads,0
Ozolnieki municipality,0
Pārgauja municipality,0
Pāvilosta municipality,0
Pļaviņas municipality,0
Preiļi municipality,0
Priekules novads,0
Priekuļu novads,0
Rauna municipality,0
Rēzekne municipality,0
Riebiņi municipality,0
Roja municipality,0
Ropaži municipality,0
Rucava municipality,0
Rugāji municipality,0
Rundāle municipality,0
Rūjiena municipality,0
Sala municipality,0
Salacgrīvas novads,0
Salaspils novads,0
Saldus municipality,0
Saulkrasti municipality,0
Sēja municipality,0
Sigulda municipality,0
Skrīveri municipality,0
Skrunda municipality,0
Smiltene municipality,0
Stopiņi municipality,0
Strenči municipality,0
Talsi municipality,0
Tērvete municipality,0
Tukums municipality,0
Vaiņode municipality,0
Valkas novads,0
Varakļāni municipality,0
Vārkava municipality,0
Vecpiebalga municipality,0
Vecumnieki municipality,0
Ventspils municipality,0
Viesīte municipality,0
Viļaka municipality,0
Viļāni municipality,0
Zilupe municipality,0
Daugavpils pilsēta,0
