Web Search interest: ebola
United States; Liberia
Past 90 days

Interest over time
Day,United States,Liberia
2014-07-30,1,87
2014-07-31,2,100
2014-08-01,3,92
2014-08-02,3,72
2014-08-03,2,72
2014-08-04,2,65
2014-08-05,3,63
2014-08-06,2,57
2014-08-07,2,70
2014-08-08,2,62
2014-08-09,1,75
2014-08-10,1,56
2014-08-11,1,70
2014-08-12,1,58
2014-08-13,1,49
2014-08-14,0,54
2014-08-15,0,53
2014-08-16,0,44
2014-08-17,0,45
2014-08-18,1,51
2014-08-19,0,52
2014-08-20,1,57
2014-08-21,1,55
2014-08-22,0,54
2014-08-23,0,40
2014-08-24,0,28
2014-08-25,0,38
2014-08-26,0,38
2014-08-27,0,43
2014-08-28,0,41
2014-08-29,0,35
2014-08-30,0,28
2014-08-31,0,28
2014-09-01,0,24
2014-09-02,0,28
2014-09-03,0,36
2014-09-04,0,38
2014-09-05,0,31
2014-09-06,0,41
2014-09-07,0,38
2014-09-08,0,39
2014-09-09,0,30
2014-09-10,0,35
2014-09-11,0,36
2014-09-12,0,36
2014-09-13,0,33
2014-09-14,0,32
2014-09-15,0,31
2014-09-16,0,32
2014-09-17,0,34
2014-09-18,0,33
2014-09-19,0,26
2014-09-20,0,25
2014-09-21,0,27
2014-09-22,0,41
2014-09-23,0,28
2014-09-24,0,22
2014-09-25,0,29
2014-09-26,0,28
2014-09-27,0,28
2014-09-28,1,31
2014-09-29,0,29
2014-09-30,3,23
2014-10-01,5,32
2014-10-02,7,34
2014-10-03,6,41
2014-10-04,5,21
2014-10-05,4,18
2014-10-06,4,40
2014-10-07,3,22
2014-10-08,6,44
2014-10-09,6,41
2014-10-10,4,42
2014-10-11,3,27
2014-10-12,5,33
2014-10-13,5,20
2014-10-14,6,29
2014-10-15,9,30
2014-10-16,10,28
2014-10-17,8,21
2014-10-18,5,25
2014-10-19,4,33
2014-10-20,3,34
2014-10-21,3,27
2014-10-22,3,28
2014-10-23,2,29
2014-10-24,5,27
2014-10-25,2,18
2014-10-26,2,25
2014-10-27,2,31
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Liberia
Subregion,Liberia
Montserrado,100
Bong,0
Bomi,0
Grand Cape Mount,0
Grand Bassa,0
Grand Gedeh,0
Grand Kru,0
Gbarpolu,0
Lofa,0
Margibi,0
Maryland,0
Nimba,0
River Gee,0
River Cess,0
Sinoe,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Liberia
City,Liberia
Monrovia,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Liberia
liberia,100
ebola liberia,100
ebola in liberia,70
ebola news,50
ebola virus,35
liberia news ebola,30
ebola update,20
ebola outbreak,20
what is ebola,15
latest ebola news,15
liberia ebola update,15
news on ebola,10
facebook,10



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Liberia
ebola in africa,Breakout
facebook,Breakout
latest ebola news,Breakout
news on ebola,Breakout
ebola update,+140%
liberia news ebola,+90%
liberia ebola update,+70%
ebola news,+40%



