Web Search interest: ebola
United States; Indonesia
Past 90 days

Interest over time
Day,United States,Indonesia
2014-07-30,13,1
2014-07-31,16,2
2014-08-01,26,2
2014-08-02,31,3
2014-08-03,22,3
2014-08-04,21,2
2014-08-05,26,3
2014-08-06,20,3
2014-08-07,15,6
2014-08-08,15,6
2014-08-09,11,8
2014-08-10,8,5
2014-08-11,7,6
2014-08-12,6,10
2014-08-13,5,7
2014-08-14,5,5
2014-08-15,5,3
2014-08-16,4,2
2014-08-17,4,2
2014-08-18,5,2
2014-08-19,4,5
2014-08-20,7,3
2014-08-21,7,1
2014-08-22,5,2
2014-08-23,3,1
2014-08-24,3,1
2014-08-25,3,2
2014-08-26,3,1
2014-08-27,3,2
2014-08-28,3,1
2014-08-29,3,2
2014-08-30,3,1
2014-08-31,2,1
2014-09-01,2,2
2014-09-02,3,1
2014-09-03,4,1
2014-09-04,3,1
2014-09-05,4,1
2014-09-06,3,1
2014-09-07,2,2
2014-09-08,3,1
2014-09-09,3,2
2014-09-10,3,2
2014-09-11,3,2
2014-09-12,3,1
2014-09-13,2,1
2014-09-14,2,1
2014-09-15,3,1
2014-09-16,5,1
2014-09-17,4,1
2014-09-18,3,1
2014-09-19,4,1
2014-09-20,3,1
2014-09-21,2,1
2014-09-22,3,1
2014-09-23,4,1
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,1
2014-09-28,5,1
2014-09-29,4,1
2014-09-30,29,2
2014-10-01,53,2
2014-10-02,66,2
2014-10-03,63,3
2014-10-04,48,2
2014-10-05,41,2
2014-10-06,41,3
2014-10-07,34,3
2014-10-08,55,3
2014-10-09,56,5
2014-10-10,40,4
2014-10-11,28,4
2014-10-12,45,4
2014-10-13,51,4
2014-10-14,55,4
2014-10-15,91,5
2014-10-16,100,6
2014-10-17,82,6
2014-10-18,51,4
2014-10-19,37,4
2014-10-20,34,3
2014-10-21,34,3
2014-10-22,26,3
2014-10-23,22,2
2014-10-24,51,3
2014-10-25,23,4
2014-10-26,19,3
2014-10-27,24,2
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Indonesia
Subregion,Indonesia
Bali,100
Banten,62
South Kalimantan,61
Jakarta,60
West Kalimantan,59
East Kalimantan,56
Yogyakarta,55
West Java,50
East Java,47
Central Java,47
Riau,44
North Sumatra,44
South Sulawesi,43
Lampung,41
Aceh,0
Bangka Belitung Islands,0
Bengkulu,0
Gorontalo,0
Jambi,0
Riau Islands,0
Central Kalimantan,0
Maluku,0
North Maluku,0
West Nusa Tenggara,0
East Nusa Tenggara,0
Papua,0
West Papua,0
North Sulawesi,0
West Sumatra,0
South East Sulawesi,0
West Sulawesi,0
