Web Search interest: ebola
United States; Mali
Past 90 days

Interest over time
Day,United States,Mali
2014-07-30,3,0
2014-07-31,4,0
2014-08-01,7,0
2014-08-02,8,0
2014-08-03,6,0
2014-08-04,6,0
2014-08-05,7,0
2014-08-06,5,0
2014-08-07,4,0
2014-08-08,4,8
2014-08-09,3,9
2014-08-10,2,9
2014-08-11,2,10
2014-08-12,2,9
2014-08-13,1,9
2014-08-14,1,9
2014-08-15,1,9
2014-08-16,1,8
2014-08-17,1,8
2014-08-18,1,8
2014-08-19,1,9
2014-08-20,2,9
2014-08-21,2,10
2014-08-22,1,10
2014-08-23,1,9
2014-08-24,1,10
2014-08-25,1,10
2014-08-26,1,11
2014-08-27,1,9
2014-08-28,1,11
2014-08-29,1,13
2014-08-30,1,10
2014-08-31,1,9
2014-09-01,1,10
2014-09-02,1,8
2014-09-03,1,13
2014-09-04,1,0
2014-09-05,1,0
2014-09-06,1,0
2014-09-07,1,0
2014-09-08,1,0
2014-09-09,1,0
2014-09-10,1,8
2014-09-11,1,0
2014-09-12,1,0
2014-09-13,1,0
2014-09-14,1,0
2014-09-15,1,0
2014-09-16,1,0
2014-09-17,1,0
2014-09-18,1,0
2014-09-19,1,0
2014-09-20,1,0
2014-09-21,1,0
2014-09-22,1,0
2014-09-23,1,0
2014-09-24,1,0
2014-09-25,1,0
2014-09-26,1,0
2014-09-27,1,0
2014-09-28,1,0
2014-09-29,1,0
2014-09-30,8,0
2014-10-01,14,0
2014-10-02,18,0
2014-10-03,17,0
2014-10-04,13,0
2014-10-05,11,0
2014-10-06,11,17
2014-10-07,9,11
2014-10-08,15,11
2014-10-09,15,11
2014-10-10,11,10
2014-10-11,7,12
2014-10-12,12,14
2014-10-13,14,10
2014-10-14,15,11
2014-10-15,24,13
2014-10-16,27,0
2014-10-17,22,0
2014-10-18,14,0
2014-10-19,10,0
2014-10-20,9,0
2014-10-21,9,0
2014-10-22,7,0
2014-10-23,6,34
2014-10-24,14,100
2014-10-25,6,79
2014-10-26,5,67
2014-10-27,6,56
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Mali
Subregion,Mali
Bamako,100
Kayes,0
Koulikoro,0
Sikasso,0
Segou,0
Mopti,0
Tombouctou,0
Gao,0
Kidal,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Mali
City,Mali
Bamako,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Mali
ebola mali,100
virus ebola,55
ebola au mali,50



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Mali
ebola au mali,Breakout
ebola mali,Breakout



