Web Search interest: ebola
United States; Mexico
Past 90 days

Interest over time
Day,United States,Mexico
2014-07-30,13,2
2014-07-31,16,4
2014-08-01,26,11
2014-08-02,31,12
2014-08-03,22,19
2014-08-04,21,13
2014-08-05,26,20
2014-08-06,20,26
2014-08-07,15,31
2014-08-08,15,39
2014-08-09,11,39
2014-08-10,8,27
2014-08-11,7,14
2014-08-12,6,14
2014-08-13,5,10
2014-08-14,5,8
2014-08-15,5,7
2014-08-16,4,8
2014-08-17,4,6
2014-08-18,5,8
2014-08-19,4,6
2014-08-20,7,8
2014-08-21,7,6
2014-08-22,5,8
2014-08-23,3,4
2014-08-24,3,4
2014-08-25,3,4
2014-08-26,3,4
2014-08-27,3,4
2014-08-28,3,4
2014-08-29,3,4
2014-08-30,3,3
2014-08-31,2,3
2014-09-01,2,3
2014-09-02,3,4
2014-09-03,4,5
2014-09-04,3,4
2014-09-05,4,3
2014-09-06,3,2
2014-09-07,2,3
2014-09-08,3,2
2014-09-09,3,3
2014-09-10,3,3
2014-09-11,3,2
2014-09-12,3,2
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,3,2
2014-09-16,5,2
2014-09-17,4,3
2014-09-18,3,2
2014-09-19,4,2
2014-09-20,3,2
2014-09-21,2,2
2014-09-22,3,2
2014-09-23,4,3
2014-09-24,4,3
2014-09-25,4,2
2014-09-26,3,2
2014-09-27,3,2
2014-09-28,5,2
2014-09-29,4,2
2014-09-30,29,4
2014-10-01,53,17
2014-10-02,66,14
2014-10-03,63,18
2014-10-04,48,20
2014-10-05,41,10
2014-10-06,41,19
2014-10-07,34,20
2014-10-08,55,32
2014-10-09,56,32
2014-10-10,40,30
2014-10-11,28,28
2014-10-12,45,23
2014-10-13,51,28
2014-10-14,55,29
2014-10-15,91,35
2014-10-16,100,40
2014-10-17,82,33
2014-10-18,51,34
2014-10-19,37,21
2014-10-20,34,19
2014-10-21,34,17
2014-10-22,26,13
2014-10-23,22,11
2014-10-24,51,12
2014-10-25,23,10
2014-10-26,19,8
2014-10-27,24,8
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Mexico
Subregion,Mexico
Campeche,100
Tamaulipas,94
Yucatan,92
Tabasco,90
Nuevo Leon,87
Quintana Roo,87
Baja California Sur,87
Durango,86
Nayarit,86
Veracruz,84
Chiapas,82
Tlaxcala,81
Guerrero,80
Morelos,79
San Luis Potosi,78
Colima,77
Coahuila,77
Chihuahua,77
Oaxaca,76
Hidalgo,74
Aguascalientes,73
Puebla,73
Federal District,71
Querétaro,70
Zacatecas,70
Baja California,69
Sinaloa,67
Jalisco,67
Sonora,66
Guanajuato,63
Mexico,62
Michoacán,60


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Mexico
City,Mexico
Matamoros,100
Nuevo Laredo,85
Monterrey,84
Totolapan,83
Altamira,82
Heroica Veracruz,82
Ciudad Victoria,82
Ciudad del Carmen,81
Merida,80
Acapulco,76
Xalapa,76
Río Blanco,76
Villahermosa,76
Puerto Vallarta,74
Chihuahua Municipality,72



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Mexico
el ebola,100
que ebola,85
que es,75
ebola que es,70
ebola virus,55
virus,55
que el ebola,55
la ebola,50
ebola mexico,40
ebola sintomas,40
ebola en mexico,30
ebola 2014,20
enfermedad,20
enfermedad ebola,20
sintomas del ebola,20
virus del ebola,15
ebola noticias,15
africa,10
ebola africa,10
sintomas de ebola,10
virus de ebola,10
ebola en africa,10
la enfermedad ebola,5
ebola imagenes,5
enfermedad de ebola,5
caso de ebola,5
ebola estados unidos,5
evola,5
ebola cura,5
imagenes de ebola,5
enfermedad del ebola,5
noticias de ebola,5
el ebola noticias,5
ébola,5
casos de ebola,5
ebola mexico 2014,5
videos de ebola,5
noticias del ebola,5
caso ebola mexico,5
el ebola 2014,5
texas ebola,5
ebola pdf,5
ebola wikipedia,5
ebola virus sintomas,5
ebola fotos,5
ebola virus 2014,5
ebola chihuahua,5
epidemia ebola,5
pelicula ebola,5



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Mexico
sintomas del ebola,Breakout
ebola en mexico,+600%
ebola mexico,+500%
ebola sintomas,+200%
que el ebola,+200%
la ebola,+190%
que ebola,+190%
el ebola,+180%
que es,+180%
ebola que es,+150%



