Web Search interest: ebola
United States; Netherlands
Past 90 days

Interest over time
Day,United States,Netherlands
2014-07-30,13,11
2014-07-31,16,10
2014-08-01,26,12
2014-08-02,31,10
2014-08-03,22,9
2014-08-04,21,9
2014-08-05,26,11
2014-08-06,20,14
2014-08-07,15,14
2014-08-08,15,27
2014-08-09,11,15
2014-08-10,8,10
2014-08-11,7,8
2014-08-12,6,10
2014-08-13,5,8
2014-08-14,5,8
2014-08-15,5,7
2014-08-16,4,7
2014-08-17,4,7
2014-08-18,5,7
2014-08-19,4,10
2014-08-20,7,9
2014-08-21,7,7
2014-08-22,5,5
2014-08-23,3,5
2014-08-24,3,5
2014-08-25,3,5
2014-08-26,3,8
2014-08-27,3,7
2014-08-28,3,7
2014-08-29,3,7
2014-08-30,3,5
2014-08-31,2,4
2014-09-01,2,4
2014-09-02,3,5
2014-09-03,4,5
2014-09-04,3,4
2014-09-05,4,4
2014-09-06,3,3
2014-09-07,2,3
2014-09-08,3,3
2014-09-09,3,3
2014-09-10,3,3
2014-09-11,3,3
2014-09-12,3,9
2014-09-13,2,4
2014-09-14,2,6
2014-09-15,3,5
2014-09-16,5,5
2014-09-17,4,5
2014-09-18,3,3
2014-09-19,4,5
2014-09-20,3,4
2014-09-21,2,6
2014-09-22,3,8
2014-09-23,4,6
2014-09-24,4,5
2014-09-25,4,4
2014-09-26,3,4
2014-09-27,3,3
2014-09-28,5,3
2014-09-29,4,3
2014-09-30,29,3
2014-10-01,53,5
2014-10-02,66,5
2014-10-03,63,7
2014-10-04,48,9
2014-10-05,41,13
2014-10-06,41,10
2014-10-07,34,11
2014-10-08,55,12
2014-10-09,56,12
2014-10-10,40,13
2014-10-11,28,11
2014-10-12,45,12
2014-10-13,51,10
2014-10-14,55,13
2014-10-15,91,16
2014-10-16,100,17
2014-10-17,82,14
2014-10-18,51,11
2014-10-19,37,12
2014-10-20,34,13
2014-10-21,34,9
2014-10-22,26,8
2014-10-23,22,7
2014-10-24,51,11
2014-10-25,23,8
2014-10-26,19,7
2014-10-27,24,8
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Netherlands
Subregion,Netherlands
North Holland,100
Flevoland,67
Groningen,63
Zeeland,61
South Holland,59
Friesland,57
Utrecht,54
Limburg,53
Drenthe,51
Gelderland,51
Overijssel,48
North Brabant,46


Top cities for United States
City,United States
Goldsby,100
