Web Search interest: ebola
United States; Ireland
Past 90 days

Interest over time
Day,United States,Ireland
2014-07-30,13,18
2014-07-31,16,12
2014-08-01,26,11
2014-08-02,31,12
2014-08-03,22,11
2014-08-04,21,12
2014-08-05,26,10
2014-08-06,20,12
2014-08-07,15,11
2014-08-08,15,14
2014-08-09,11,10
2014-08-10,8,8
2014-08-11,7,6
2014-08-12,6,7
2014-08-13,5,5
2014-08-14,5,4
2014-08-15,5,18
2014-08-16,4,9
2014-08-17,4,7
2014-08-18,5,6
2014-08-19,4,6
2014-08-20,7,4
2014-08-21,7,24
2014-08-22,5,24
2014-08-23,3,6
2014-08-24,3,7
2014-08-25,3,4
2014-08-26,3,3
2014-08-27,3,2
2014-08-28,3,3
2014-08-29,3,4
2014-08-30,3,3
2014-08-31,2,3
2014-09-01,2,3
2014-09-02,3,4
2014-09-03,4,3
2014-09-04,3,4
2014-09-05,4,3
2014-09-06,3,2
2014-09-07,2,2
2014-09-08,3,2
2014-09-09,3,2
2014-09-10,3,3
2014-09-11,3,3
2014-09-12,3,3
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,3,2
2014-09-16,5,2
2014-09-17,4,4
2014-09-18,3,3
2014-09-19,4,2
2014-09-20,3,1
2014-09-21,2,2
2014-09-22,3,2
2014-09-23,4,2
2014-09-24,4,2
2014-09-25,4,3
2014-09-26,3,3
2014-09-27,3,3
2014-09-28,5,2
2014-09-29,4,2
2014-09-30,29,3
2014-10-01,53,7
2014-10-02,66,9
2014-10-03,63,9
2014-10-04,48,9
2014-10-05,41,13
2014-10-06,41,18
2014-10-07,34,25
2014-10-08,55,34
2014-10-09,56,45
2014-10-10,40,44
2014-10-11,28,27
2014-10-12,45,27
2014-10-13,51,27
2014-10-14,55,24
2014-10-15,91,31
2014-10-16,100,39
2014-10-17,82,26
2014-10-18,51,20
2014-10-19,37,16
2014-10-20,34,28
2014-10-21,34,16
2014-10-22,26,10
2014-10-23,22,9
2014-10-24,51,14
2014-10-25,23,9
2014-10-26,19,8
2014-10-27,24,8
2014-10-28, , 
2014-10-29, , 


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Ireland
City,Ireland
Kilcock,100
Lucan,93
Sligo,83
Letterkenny,83
Cork,74
Limerick,71
Dublin,59



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Ireland
virus ebola,100
ebola ireland,50
ebola symptoms,40
news ebola,30
ebola outbreak,25
what is ebola,20
symptoms of ebola,15
ebola in ireland,15
ebola dublin,10
ebola virus ireland,10
ebola cure,10
ebola spread,10
the ebola virus,10
nigeria ebola,10
who ebola,5
ebola uk,5
ebola disease,5



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Ireland
ebola cure,Breakout
ebola dublin,Breakout
ebola in ireland,Breakout
ebola ireland,Breakout
ebola spread,Breakout
ebola virus ireland,Breakout
symptoms of ebola,Breakout
the ebola virus,Breakout
what is ebola,Breakout
ebola symptoms,+200%



