Web Search interest: ebola
United States; Nigeria
Past 90 days

Interest over time
Day,United States,Nigeria
2014-07-30,2,20
2014-07-31,2,22
2014-08-01,3,21
2014-08-02,4,19
2014-08-03,3,16
2014-08-04,2,22
2014-08-05,3,27
2014-08-06,2,31
2014-08-07,2,32
2014-08-08,2,100
2014-08-09,1,36
2014-08-10,1,26
2014-08-11,1,23
2014-08-12,1,22
2014-08-13,1,20
2014-08-14,1,26
2014-08-15,1,23
2014-08-16,0,17
2014-08-17,1,19
2014-08-18,1,16
2014-08-19,1,13
2014-08-20,1,13
2014-08-21,1,12
2014-08-22,1,10
2014-08-23,0,7
2014-08-24,0,8
2014-08-25,0,7
2014-08-26,0,8
2014-08-27,0,8
2014-08-28,0,13
2014-08-29,0,13
2014-08-30,0,10
2014-08-31,0,11
2014-09-01,0,10
2014-09-02,0,10
2014-09-03,0,12
2014-09-04,0,9
2014-09-05,0,8
2014-09-06,0,8
2014-09-07,0,7
2014-09-08,0,6
2014-09-09,0,8
2014-09-10,0,7
2014-09-11,0,8
2014-09-12,0,6
2014-09-13,0,5
2014-09-14,0,5
2014-09-15,0,4
2014-09-16,1,5
2014-09-17,0,6
2014-09-18,0,5
2014-09-19,0,5
2014-09-20,0,4
2014-09-21,0,4
2014-09-22,0,4
2014-09-23,0,4
2014-09-24,0,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,1,3
2014-09-29,1,3
2014-09-30,3,3
2014-10-01,6,3
2014-10-02,8,4
2014-10-03,7,4
2014-10-04,6,3
2014-10-05,5,2
2014-10-06,5,3
2014-10-07,4,3
2014-10-08,6,4
2014-10-09,7,4
2014-10-10,5,4
2014-10-11,3,3
2014-10-12,5,4
2014-10-13,6,3
2014-10-14,6,3
2014-10-15,11,3
2014-10-16,12,4
2014-10-17,10,3
2014-10-18,6,3
2014-10-19,4,3
2014-10-20,4,4
2014-10-21,4,3
2014-10-22,3,2
2014-10-23,3,2
2014-10-24,6,3
2014-10-25,3,2
2014-10-26,2,2
2014-10-27,3,2
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Nigeria
Subregion,Nigeria
Rivers,100
Abuja Capital Territory,94
Oyo,68
Lagos,63
Cross River,34
Delta,33
Abia,0
Adamawa,0
Akwa Ibom,0
Anambra,0
Bauchi,0
Benue,0
Borno,0
Bayelsa,0
Ebonyi,0
Edo,0
Ekiti,0
Enugu,0
Gombe,0
Imo,0
Jigawa,0
Kaduna,0
Kebbi,0
Kano,0
Kogi,0
Katsina,0
Kwara,0
Nasarawa,0
Niger,0
Ogun State,0
Ondo,0
Osun,0
Plateau,0
Sokoto,0
Taraba,0
Yobe,0
Zamfara,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Nigeria
City,Nigeria
Abuja,100
Port Harcourt,84
Lagos,75
Ibadan,54
Calabar,35
Warri,33



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Nigeria
virus ebola,100
virus,100
ebola nigeria,55
nigeria,55
ebola in nigeria,40
what ebola,25
news,25
ebola news,25
what is ebola,20
ebola virus nigeria,20
ebola disease,15
ebola latest,15
ebola cure,15
about ebola,15
ebola news nigeria,10
the ebola virus,10
ebola latest news,10
nigeria news,10
latest news,10
ebola symptoms,10
news on ebola,10
latest on ebola,10
ebola lagos,10
who,5
who ebola,5
ebola virus news,5
symptoms of ebola,5
ebola outbreak,5
ebola update,5
ebola in lagos,5
ebola salt,5
cure for ebola,5
ebola virus disease,5
ebola pictures,5
ebola history,5
ebola virus cure,5
about ebola virus,5
ebola virus symptoms,5
ebola picture,5
ebola causes,5
ebola and nigeria,5
ebola doctor,5
news about ebola,5
ebola victims,5
ebola update nigeria,5
causes of ebola,5
liberia ebola,5
meaning of ebola,5
history of ebola,5
ebola prevention,5



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Nigeria
ebola latest news,+800%
latest news,+550%
ebola latest,+500%
news on ebola,+400%
ebola news,+350%
ebola news nigeria,+300%
news,+300%
nigeria news,+300%
ebola cure,+200%
ebola nigeria,+120%



