Web Search interest: ebola
United States; Pakistan
Past 90 days

Interest over time
Day,United States,Pakistan
2014-07-30,13,1
2014-07-31,16,1
2014-08-01,26,1
2014-08-02,31,1
2014-08-03,22,1
2014-08-04,21,1
2014-08-05,26,1
2014-08-06,20,2
2014-08-07,15,2
2014-08-08,15,2
2014-08-09,11,2
2014-08-10,8,1
2014-08-11,7,1
2014-08-12,6,1
2014-08-13,5,1
2014-08-14,5,1
2014-08-15,5,1
2014-08-16,4,1
2014-08-17,4,1
2014-08-18,5,1
2014-08-19,4,1
2014-08-20,7,1
2014-08-21,7,1
2014-08-22,5,1
2014-08-23,3,1
2014-08-24,3,1
2014-08-25,3,1
2014-08-26,3,1
2014-08-27,3,1
2014-08-28,3,1
2014-08-29,3,0
2014-08-30,3,0
2014-08-31,2,0
2014-09-01,2,0
2014-09-02,3,0
2014-09-03,4,0
2014-09-04,3,0
2014-09-05,4,0
2014-09-06,3,0
2014-09-07,2,0
2014-09-08,3,0
2014-09-09,3,0
2014-09-10,3,0
2014-09-11,3,0
2014-09-12,3,1
2014-09-13,2,0
2014-09-14,2,0
2014-09-15,3,0
2014-09-16,5,0
2014-09-17,4,0
2014-09-18,3,1
2014-09-19,4,0
2014-09-20,3,0
2014-09-21,2,0
2014-09-22,3,0
2014-09-23,4,0
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,1
2014-09-28,5,1
2014-09-29,4,1
2014-09-30,29,1
2014-10-01,53,1
2014-10-02,66,2
2014-10-03,63,3
2014-10-04,48,2
2014-10-05,41,2
2014-10-06,41,2
2014-10-07,34,2
2014-10-08,55,3
2014-10-09,56,4
2014-10-10,40,3
2014-10-11,28,3
2014-10-12,45,3
2014-10-13,51,3
2014-10-14,55,5
2014-10-15,91,11
2014-10-16,100,15
2014-10-17,82,13
2014-10-18,51,7
2014-10-19,37,5
2014-10-20,34,6
2014-10-21,34,9
2014-10-22,26,6
2014-10-23,22,3
2014-10-24,51,4
2014-10-25,23,4
2014-10-26,19,4
2014-10-27,24,4
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Pakistan
Subregion,Pakistan
Sindh,100
Islamabad Capital Territory,90
Punjab,65
Khyber Pakhtunkhwa,48
Balochistan,0
Gilgit-Baltistan,0
Azad Jammu and Kashmir,0
Federally Administered Tribal Areas,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Pakistan
City,Pakistan
Karachi,100
Islamabad,91
Lahore,70
Peshawar,64
Faisalabad,50



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Pakistan
ebola virus,100
what is ebola,20
ebola symptoms,15
ebola pakistan,15
ebola virus symptoms,10
ebola in pakistan,10



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Pakistan
ebola in pakistan,Breakout
ebola pakistan,Breakout
ebola symptoms,Breakout
ebola virus symptoms,Breakout
what is ebola,Breakout
ebola virus,+140%



