Web Search interest: ebola
United States; Peru
Past 90 days

Interest over time
Day,United States,Peru
2014-07-30,13,2
2014-07-31,16,2
2014-08-01,26,3
2014-08-02,31,6
2014-08-03,22,6
2014-08-04,21,4
2014-08-05,26,7
2014-08-06,20,6
2014-08-07,15,11
2014-08-08,15,21
2014-08-09,11,24
2014-08-10,8,14
2014-08-11,7,10
2014-08-12,6,13
2014-08-13,5,13
2014-08-14,5,9
2014-08-15,5,7
2014-08-16,4,6
2014-08-17,4,5
2014-08-18,5,6
2014-08-19,4,5
2014-08-20,7,4
2014-08-21,7,5
2014-08-22,5,4
2014-08-23,3,3
2014-08-24,3,4
2014-08-25,3,3
2014-08-26,3,3
2014-08-27,3,2
2014-08-28,3,2
2014-08-29,3,2
2014-08-30,3,1
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,3,3
2014-09-03,4,2
2014-09-04,3,2
2014-09-05,4,2
2014-09-06,3,2
2014-09-07,2,1
2014-09-08,3,2
2014-09-09,3,1
2014-09-10,3,2
2014-09-11,3,2
2014-09-12,3,2
2014-09-13,2,2
2014-09-14,2,1
2014-09-15,3,1
2014-09-16,5,2
2014-09-17,4,2
2014-09-18,3,1
2014-09-19,4,4
2014-09-20,3,5
2014-09-21,2,3
2014-09-22,3,2
2014-09-23,4,2
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,1
2014-09-28,5,1
2014-09-29,4,2
2014-09-30,29,2
2014-10-01,53,4
2014-10-02,66,3
2014-10-03,63,4
2014-10-04,48,4
2014-10-05,41,3
2014-10-06,41,4
2014-10-07,34,6
2014-10-08,55,16
2014-10-09,56,21
2014-10-10,40,30
2014-10-11,28,39
2014-10-12,45,23
2014-10-13,51,49
2014-10-14,55,34
2014-10-15,91,26
2014-10-16,100,19
2014-10-17,82,16
2014-10-18,51,14
2014-10-19,37,15
2014-10-20,34,12
2014-10-21,34,9
2014-10-22,26,9
2014-10-23,22,9
2014-10-24,51,7
2014-10-25,23,5
2014-10-26,19,7
2014-10-27,24,7
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Peru
Subregion,Peru
Callao,100
Ica Region,88
Piura Region,83
Lambayeque Region,80
La Libertad Region,79
Ancash Region,77
Arequipa Region,77
Cuzco,75
Junín,61
Amazonas Region,0
Apurímac Region,0
Ayacucho Region,0
Cajamarca Region,0
Huanuco,0
Huancavelica Region,0
Lima Region,0
Loreto Region,0
Madre de Dios,0
Moquegua Region,0
Pasco Region,0
Puno Region,0
San Martin,0
Tacna Region,0
Tumbes Region,0
Ucayali Region,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Peru
City,Peru
Lima,100
Ica,58
Pueblo Libre,56
San Isidro District,55
Piura,50
Santiago de Surco,50
Miraflores District,49
Chiclayo,49
Callao,49
Arequipa,47
Los Olivos,47
San Martin de Porres,45
Breña,45
Cajamarca,45
Trujillo,44



Top searches for United States
ebola virus,100
ebola symptoms,45
ebola outbreak,40
us ebola,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,10
ebola cdc,10
africa,10
cdc,10
africa ebola,10
ebola cases,10
ebola spread,10
the ebola virus,10
usa ebola,10
ebola nurse,10
airborne ebola,5
ebola zombie,5
ebola new york,5
who ebola,5
ebola disease,5
ebola map,5
ebola cure,5
cnn,5
cnn ebola,5
ebola in texas,5
ebola virus symptoms,5
ebola update,5
ebola patients,5
ebola in africa,5
ebola death,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
ebola in usa,5
ebola virus outbreak,5
us ebola cases,5
where is ebola,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
obama ebola,5
liberia ebola,5

Top searches for Peru
el ebola,100
la ebola,50
ebola que es,45
ebola virus,40
virus,40
sintomas ebola,30
ebola peru,30
ebola en peru,20
ebola enfermedad,15
virus del ebola,15
ebola 2014,15
sintomas del ebola,15
virus de ebola,10
el virus ebola,10
ebola noticias,10
la enfermedad ebola,10
ebola causas,10
ebola africa,10
sintomas de ebola,10
enfermedad de ebola,5
enfermedad del ebola,5
ébola,5



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,050%
texas ebola,+850%
ebola cases,+400%
ebola in us,+250%
us ebola,+160%
symptoms of ebola,+90%
cdc,+80%
ebola cdc,+70%

Rising searches for Peru
ebola 2014,Breakout
ebola en peru,Breakout
ebola enfermedad,Breakout
ebola peru,Breakout
ebola que es,Breakout
el virus ebola,Breakout
la ebola,Breakout
sintomas del ebola,Breakout
sintomas ebola,Breakout
virus de ebola,Breakout



