Web Search interest: ebola
United States; Poland
Past 90 days

Interest over time
Day,United States,Poland
2014-07-30,13,3
2014-07-31,16,5
2014-08-01,26,5
2014-08-02,31,7
2014-08-03,22,7
2014-08-04,21,4
2014-08-05,26,4
2014-08-06,20,5
2014-08-07,15,5
2014-08-08,15,6
2014-08-09,11,5
2014-08-10,8,4
2014-08-11,7,3
2014-08-12,6,5
2014-08-13,5,11
2014-08-14,5,5
2014-08-15,5,3
2014-08-16,4,2
2014-08-17,4,3
2014-08-18,5,3
2014-08-19,4,9
2014-08-20,7,5
2014-08-21,7,18
2014-08-22,5,11
2014-08-23,3,6
2014-08-24,3,7
2014-08-25,3,3
2014-08-26,3,2
2014-08-27,3,1
2014-08-28,3,1
2014-08-29,3,1
2014-08-30,3,1
2014-08-31,2,1
2014-09-01,2,1
2014-09-02,3,1
2014-09-03,4,1
2014-09-04,3,1
2014-09-05,4,2
2014-09-06,3,2
2014-09-07,2,1
2014-09-08,3,1
2014-09-09,3,1
2014-09-10,3,1
2014-09-11,3,1
2014-09-12,3,1
2014-09-13,2,1
2014-09-14,2,1
2014-09-15,3,0
2014-09-16,5,1
2014-09-17,4,1
2014-09-18,3,1
2014-09-19,4,1
2014-09-20,3,1
2014-09-21,2,1
2014-09-22,3,0
2014-09-23,4,1
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,1
2014-09-28,5,1
2014-09-29,4,1
2014-09-30,29,0
2014-10-01,53,1
2014-10-02,66,1
2014-10-03,63,2
2014-10-04,48,2
2014-10-05,41,1
2014-10-06,41,3
2014-10-07,34,6
2014-10-08,55,7
2014-10-09,56,6
2014-10-10,40,13
2014-10-11,28,10
2014-10-12,45,7
2014-10-13,51,13
2014-10-14,55,11
2014-10-15,91,5
2014-10-16,100,6
2014-10-17,82,6
2014-10-18,51,5
2014-10-19,37,4
2014-10-20,34,4
2014-10-21,34,3
2014-10-22,26,3
2014-10-23,22,2
2014-10-24,51,3
2014-10-25,23,2
2014-10-26,19,2
2014-10-27,24,2
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Poland
Subregion,Poland
Lubusz Voivodeship,100
Silesian Voivodeship,92
Opole Voivodeship,92
Pomeranian Voivodeship,90
Łódź Voivodeship,88
Kuyavian-Pomeranian Voivodeship,87
Lesser Poland Voivodeship,87
Lower Silesian Voivodeship,86
Swietokrzyskie,85
West Pomeranian Voivodeship,85
Masovian Voivodeship,84
Warmian-Masurian Voivodeship,83
Greater Poland Voivodeship,82
Podkarpackie Voivodeship,80
Podlaskie Voivodeship,79
Lublin Voivodeship,75


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Poland
City,Poland
Tarnow,100
Gdynia,90
Czestochowa,81
Bielsko-Biala,77
Bydgoszcz,77
Rzeszow,75
Gdansk,75
Warsaw,75
Katowice,74
Krakow,74
Lodz,72
Bialystok,72
Wroclaw,71
Szczecin,71
Torun,70



Top searches for United States
ebola virus,100
ebola symptoms,45
ebola outbreak,40
us ebola,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,10
ebola cdc,10
africa,10
cdc,10
africa ebola,10
ebola cases,10
ebola spread,10
the ebola virus,10
usa ebola,10
ebola nurse,10
airborne ebola,5
ebola zombie,5
ebola new york,5
who ebola,5
ebola disease,5
ebola map,5
ebola cure,5
cnn,5
cnn ebola,5
ebola in texas,5
ebola virus symptoms,5
ebola update,5
ebola patients,5
ebola in africa,5
ebola death,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
ebola in usa,5
ebola virus outbreak,5
us ebola cases,5
where is ebola,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
obama ebola,5
liberia ebola,5

Top searches for Poland
ebola wirus,100
wirus,100
objawy ebola,45
ebola w polsce,30
ebola 2014,15
ebola w katowicach,15
ebola wirus objawy,10
ebola virus,5
katowice ebola,5
ebola polska,5
wirus ebola 2014,5
co to ebola,5
ebola mapa,5
ebola w poznaniu,5
ebola w europie,5
ebola afryka,5
afryka,5
ebola w afryce,5
epidemia ebola,5
ebola wiadomości,5
ebola wiki,5
ebola choroba,5



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,050%
texas ebola,+850%
ebola cases,+400%
ebola in us,+250%
us ebola,+170%
symptoms of ebola,+90%
cdc,+80%
ebola cdc,+80%

Rising searches for Poland
co to ebola,Breakout
ebola polska,Breakout
ebola w katowicach,Breakout
ebola wirus objawy,Breakout
katowice ebola,Breakout
wirus ebola 2014,Breakout
ebola w polsce,+550%
objawy ebola,+250%
ebola wirus,+80%
ebola 2014,+70%



