Web Search interest: ebola
United States; Puerto Rico
Past 90 days

Interest over time
Day,United States,Puerto Rico
2014-07-30,13,8
2014-07-31,16,14
2014-08-01,26,11
2014-08-02,31,38
2014-08-03,22,28
2014-08-04,21,25
2014-08-05,26,32
2014-08-06,20,23
2014-08-07,15,27
2014-08-08,15,23
2014-08-09,11,30
2014-08-10,8,11
2014-08-11,7,9
2014-08-12,6,19
2014-08-13,5,9
2014-08-14,5,9
2014-08-15,5,6
2014-08-16,4,7
2014-08-17,4,8
2014-08-18,5,8
2014-08-19,4,7
2014-08-20,7,5
2014-08-21,7,6
2014-08-22,5,6
2014-08-23,3,4
2014-08-24,3,4
2014-08-25,3,5
2014-08-26,3,5
2014-08-27,3,5
2014-08-28,3,4
2014-08-29,3,4
2014-08-30,3,4
2014-08-31,2,4
2014-09-01,2,4
2014-09-02,3,4
2014-09-03,4,5
2014-09-04,3,5
2014-09-05,4,6
2014-09-06,3,6
2014-09-07,2,7
2014-09-08,3,7
2014-09-09,3,7
2014-09-10,3,11
2014-09-11,3,17
2014-09-12,3,5
2014-09-13,2,5
2014-09-14,2,5
2014-09-15,3,4
2014-09-16,5,5
2014-09-17,4,6
2014-09-18,3,6
2014-09-19,4,6
2014-09-20,3,5
2014-09-21,2,5
2014-09-22,3,5
2014-09-23,4,5
2014-09-24,4,5
2014-09-25,4,6
2014-09-26,3,12
2014-09-27,3,18
2014-09-28,5,24
2014-09-29,4,30
2014-09-30,29,36
2014-10-01,53,59
2014-10-02,66,78
2014-10-03,63,60
2014-10-04,48,37
2014-10-05,41,27
2014-10-06,41,34
2014-10-07,34,40
2014-10-08,55,58
2014-10-09,56,58
2014-10-10,40,37
2014-10-11,28,35
2014-10-12,45,32
2014-10-13,51,36
2014-10-14,55,35
2014-10-15,91,52
2014-10-16,100,56
2014-10-17,82,50
2014-10-18,51,34
2014-10-19,37,22
2014-10-20,34,23
2014-10-21,34,23
2014-10-22,26,23
2014-10-23,22,22
2014-10-24,51,41
2014-10-25,23,29
2014-10-26,19,20
2014-10-27,24,21
2014-10-28, , 
2014-10-29, , 


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Puerto Rico
City,Puerto Rico
San Juan,100
Ponce,98
Caguas,93
Arecibo,90
Mayagüez,88
Bayamón,84
Guaynabo,83



Top searches for United States
ebola virus,100
ebola symptoms,45
ebola outbreak,40
us ebola,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,10
ebola cdc,10
africa,10
cdc,10
africa ebola,10
ebola cases,10
ebola spread,10
the ebola virus,10
usa ebola,10
ebola nurse,10
airborne ebola,5
ebola zombie,5
ebola new york,5
who ebola,5
ebola disease,5
ebola map,5
ebola cure,5
cnn,5
cnn ebola,5
ebola in texas,5
ebola virus symptoms,5
ebola update,5
ebola patients,5
ebola in africa,5
ebola death,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
ebola in usa,5
ebola virus outbreak,5
us ebola cases,5
where is ebola,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
obama ebola,5
liberia ebola,5

Top searches for Puerto Rico
ebola virus,100
el ebola,80
sintomas ebola,40
ebola puerto rico,40
que es ebola,25
virus del ebola,20
sintomas del ebola,20
chikungunya,15
ebola 2014,15
virus de ebola,15



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,050%
texas ebola,+850%
ebola cases,+400%
ebola in us,+250%
us ebola,+170%
symptoms of ebola,+90%
cdc,+80%
ebola cdc,+80%

Rising searches for Puerto Rico
chikungunya,Breakout
ebola puerto rico,Breakout
el ebola,Breakout
que es ebola,Breakout
sintomas del ebola,Breakout
sintomas ebola,Breakout
virus de ebola,Breakout
virus del ebola,Breakout



