Web Search interest: ebola
United States; Russia
Past 90 days

Interest over time
Day,United States,Russia
2014-07-30,13,0
2014-07-31,16,0
2014-08-01,26,0
2014-08-02,31,0
2014-08-03,22,0
2014-08-04,21,0
2014-08-05,26,0
2014-08-06,20,0
2014-08-07,15,0
2014-08-08,15,0
2014-08-09,11,0
2014-08-10,8,0
2014-08-11,7,0
2014-08-12,6,0
2014-08-13,5,0
2014-08-14,5,0
2014-08-15,5,0
2014-08-16,4,0
2014-08-17,4,0
2014-08-18,5,0
2014-08-19,4,0
2014-08-20,7,0
2014-08-21,7,0
2014-08-22,5,0
2014-08-23,3,0
2014-08-24,3,0
2014-08-25,3,0
2014-08-26,3,0
2014-08-27,3,0
2014-08-28,3,0
2014-08-29,3,0
2014-08-30,3,0
2014-08-31,2,0
2014-09-01,2,0
2014-09-02,3,0
2014-09-03,4,0
2014-09-04,3,0
2014-09-05,4,0
2014-09-06,3,0
2014-09-07,2,0
2014-09-08,3,0
2014-09-09,3,0
2014-09-10,3,0
2014-09-11,3,0
2014-09-12,3,0
2014-09-13,2,0
2014-09-14,2,0
2014-09-15,3,0
2014-09-16,5,0
2014-09-17,4,0
2014-09-18,3,0
2014-09-19,4,0
2014-09-20,3,0
2014-09-21,2,0
2014-09-22,3,0
2014-09-23,4,0
2014-09-24,4,0
2014-09-25,4,0
2014-09-26,3,0
2014-09-27,3,0
2014-09-28,5,0
2014-09-29,4,0
2014-09-30,29,0
2014-10-01,53,0
2014-10-02,66,0
2014-10-03,63,1
2014-10-04,48,0
2014-10-05,41,0
2014-10-06,41,0
2014-10-07,34,0
2014-10-08,55,0
2014-10-09,56,0
2014-10-10,40,1
2014-10-11,28,0
2014-10-12,45,0
2014-10-13,51,0
2014-10-14,55,0
2014-10-15,91,0
2014-10-16,100,1
2014-10-17,82,0
2014-10-18,51,0
2014-10-19,37,0
2014-10-20,34,0
2014-10-21,34,0
2014-10-22,26,0
2014-10-23,22,0
2014-10-24,51,0
2014-10-25,23,0
2014-10-26,19,0
2014-10-27,24,0
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Russia
Subregion,Russia
Moscow,100
Saint Petersburg,56
Adygea,0
Altai Republic,0
Altai Krai,0
Amur Oblast,0
Arkhangelsk Oblast,0
Astrakhan Oblast,0
Republic of Bashkortostan,0
Belgorod Oblast,0
Bryansk Oblast,0
Buryatia,0
Chechnya,0
Chelyabinsk Oblast,0
Chukotka Autonomous Okrug,0
Chuvashia,0
Dagestan,0
Ingushetia,0
Irkutsk Oblast,0
Ivanovo Oblast,0
Kamchatka Krai,0
Kabardino-Balkaria,0
Karachay-Cherkessia,0
Krasnodar Krai,0
Kemerovo Oblast,0
Kaliningrad Oblast,0
Kurgan Oblast,0
Khabarovsk Krai,0
Khanty-Mansi Autonomous Okrug,0
Kirov Oblast,0
Republic of Khakassia,0
Kalmykia,0
Kaluga Oblast,0
Komi Republic,0
Kostroma Oblast,0
Republic of Karelia,0
Kursk Oblast,0
Krasnoyarsk Krai,0
Leningrad Oblast,0
Lipetsk Oblast,0
Magadan Oblast,0
Mari El Republic,0
Mordovia,0
Moskovskaya oblast,0
Murmansk Oblast,0
Nenets Autonomous Okrug,0
Novgorod Oblast,0
Nizhny Novgorod Oblast,0
Novosibirsk Oblast,0
Omsk Oblast,0
Orenburg Oblast,0
Oryol Oblast,0
Perm Krai,0
Penza Oblast,0
Primorsky Krai,0
Pskov Oblast,0
Rostov Oblast,0
Ryazan Oblast,0
Sakha,0
Sakhalin Oblast,0
Samara Oblast,0
Saratov Oblast,0
North Ossetia–Alania,0
Smolensk Oblast,0
Stavropol Krai,0
Sverdlovsk Oblast,0
