Web Search interest: ebola
United States; Italy
Past 90 days

Interest over time
Day,United States,Italy
2014-07-30,13,8
2014-07-31,16,15
2014-08-01,26,16
2014-08-02,31,16
2014-08-03,22,14
2014-08-04,21,9
2014-08-05,26,11
2014-08-06,20,15
2014-08-07,15,17
2014-08-08,15,24
2014-08-09,11,17
2014-08-10,8,13
2014-08-11,7,9
2014-08-12,6,12
2014-08-13,5,8
2014-08-14,5,6
2014-08-15,5,7
2014-08-16,4,6
2014-08-17,4,8
2014-08-18,5,8
2014-08-19,4,7
2014-08-20,7,7
2014-08-21,7,6
2014-08-22,5,6
2014-08-23,3,8
2014-08-24,3,6
2014-08-25,3,5
2014-08-26,3,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,3,3
2014-08-30,3,3
2014-08-31,2,3
2014-09-01,2,3
2014-09-02,3,3
2014-09-03,4,4
2014-09-04,3,3
2014-09-05,4,2
2014-09-06,3,2
2014-09-07,2,2
2014-09-08,3,2
2014-09-09,3,10
2014-09-10,3,5
2014-09-11,3,2
2014-09-12,3,2
2014-09-13,2,2
2014-09-14,2,2
2014-09-15,3,2
2014-09-16,5,2
2014-09-17,4,5
2014-09-18,3,3
2014-09-19,4,4
2014-09-20,3,3
2014-09-21,2,3
2014-09-22,3,2
2014-09-23,4,2
2014-09-24,4,3
2014-09-25,4,3
2014-09-26,3,3
2014-09-27,3,2
2014-09-28,5,2
2014-09-29,4,2
2014-09-30,29,2
2014-10-01,53,5
2014-10-02,66,6
2014-10-03,63,7
2014-10-04,48,6
2014-10-05,41,5
2014-10-06,41,8
2014-10-07,34,18
2014-10-08,55,19
2014-10-09,56,31
2014-10-10,40,30
2014-10-11,28,21
2014-10-12,45,21
2014-10-13,51,20
2014-10-14,55,26
2014-10-15,91,27
2014-10-16,100,29
2014-10-17,82,26
2014-10-18,51,18
2014-10-19,37,17
2014-10-20,34,14
2014-10-21,34,9
2014-10-22,26,9
2014-10-23,22,8
2014-10-24,51,12
2014-10-25,23,9
2014-10-26,19,6
2014-10-27,24,8
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Italy
Subregion,Italy
Lombardy,100
Friuli-Venezia Giulia,97
Lazio,97
Liguria,95
Marche,93
Umbria,93
Tuscany,90
Trentino-Alto Adige/Südtirol,89
Veneto,87
Emilia-Romagna,87
Abruzzo,85
Piedmont,83
Sicily,76
Calabria,75
Sardinia,74
Campania,74
Apulia,71
Aosta,0
Molise,0
Basilicata,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Italy
City,Italy
Lido di Iesolo,100
Milan,92
Rome,82
Pisa,82
Parma,80
Como,78
Florence,78
Padua,78
Novara,77
Vicenza,76
Genoa,76
Rimini,74
Monza,73
Modena,72
Udine,72



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Italy
ebola italia,100
virus,85
virus ebola,85
sintomi ebola,80
ebola in italia,45
ebola news,35
ebola 2014,30
africa,20
ebola africa,20
caso ebola,15
roma ebola,15
vaccino ebola,15
ebola notizie,15
casi ebola,15
contagio ebola,15
ansa ebola,10
ebola trasmissione,10
rischio ebola,10
spagna ebola,10
ultime ebola,10
wikipedia ebola,10
ebola milano,10
isis ebola,10
epidemia ebola,10
malattia ebola,10
ebola europa,10
ultime notizie ebola,10
cura ebola,5
casi di ebola,5
ebola lampedusa,5
l ebola,5
allarme ebola,5
sintomi di ebola,5
casi ebola italia,5
foto ebola,5
sintomi virus ebola,5
nigeria,5
ebola sicilia,5
ebola nigeria,5
ebola in africa,5



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Italy
casi ebola,Breakout
caso ebola,Breakout
vaccino ebola,Breakout
contagio ebola,+250%
roma ebola,+200%
sintomi ebola,+200%
ebola news,+130%
ebola notizie,+120%
ebola italia,+90%



