Web Search interest: ebola
United States; Senegal
Past 90 days

Interest over time
Day,United States,Senegal
2014-07-30,3,7
2014-07-31,4,3
2014-08-01,6,3
2014-08-02,8,3
2014-08-03,5,4
2014-08-04,5,5
2014-08-05,6,5
2014-08-06,5,5
2014-08-07,4,5
2014-08-08,4,8
2014-08-09,3,15
2014-08-10,2,22
2014-08-11,2,13
2014-08-12,1,10
2014-08-13,1,10
2014-08-14,1,9
2014-08-15,1,10
2014-08-16,1,6
2014-08-17,1,6
2014-08-18,1,8
2014-08-19,1,7
2014-08-20,2,7
2014-08-21,2,7
2014-08-22,1,8
2014-08-23,1,6
2014-08-24,1,6
2014-08-25,1,6
2014-08-26,1,6
2014-08-27,1,6
2014-08-28,1,7
2014-08-29,1,100
2014-08-30,1,81
2014-08-31,1,48
2014-09-01,1,36
2014-09-02,1,30
2014-09-03,1,29
2014-09-04,1,29
2014-09-05,1,21
2014-09-06,1,18
2014-09-07,1,13
2014-09-08,1,14
2014-09-09,1,19
2014-09-10,1,18
2014-09-11,1,13
2014-09-12,1,10
2014-09-13,1,11
2014-09-14,1,9
2014-09-15,1,7
2014-09-16,1,11
2014-09-17,1,8
2014-09-18,1,9
2014-09-19,1,7
2014-09-20,1,7
2014-09-21,1,6
2014-09-22,1,8
2014-09-23,1,7
2014-09-24,1,5
2014-09-25,1,4
2014-09-26,1,4
2014-09-27,1,4
2014-09-28,1,7
2014-09-29,1,5
2014-09-30,7,4
2014-10-01,13,7
2014-10-02,16,7
2014-10-03,15,5
2014-10-04,12,5
2014-10-05,10,5
2014-10-06,10,5
2014-10-07,8,7
2014-10-08,13,7
2014-10-09,14,8
2014-10-10,10,11
2014-10-11,7,5
2014-10-12,11,6
2014-10-13,12,10
2014-10-14,13,6
2014-10-15,22,8
2014-10-16,24,7
2014-10-17,20,9
2014-10-18,12,4
2014-10-19,9,7
2014-10-20,8,7
2014-10-21,8,5
2014-10-22,6,5
2014-10-23,5,6
2014-10-24,12,7
2014-10-25,6,9
2014-10-26,5,6
2014-10-27,6,5
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Senegal
Subregion,Senegal
Dakar,100
Central River,0
Upper River,0
Diourbel,0
Fatick,0
Kaffrine,0
Kolda,0
Kedougou,0
Kaolack,0
Louga,0
Matam,0
Sedhiou,0
Saint-Louis,0
Tambacounda,0
Thies,0
Ziguinchor,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Senegal
City,Senegal
Dakar,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Senegal
ebola senegal,100
ebola virus,50
ebola au senegal,30
ebola dakar,15



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Senegal
ebola au senegal,Breakout
ebola dakar,Breakout
ebola guinee,Breakout
ebola senegal,+250%



