Web Search interest: ebola
United States; Sierra Leone
Past 90 days

Interest over time
Day,United States,Sierra Leone
2014-07-30,2,77
2014-07-31,3,100
2014-08-01,4,93
2014-08-02,5,68
2014-08-03,4,73
2014-08-04,4,99
2014-08-05,4,83
2014-08-06,3,73
2014-08-07,3,72
2014-08-08,2,63
2014-08-09,2,95
2014-08-10,1,60
2014-08-11,1,77
2014-08-12,1,68
2014-08-13,1,63
2014-08-14,1,59
2014-08-15,1,45
2014-08-16,1,42
2014-08-17,1,36
2014-08-18,1,40
2014-08-19,1,40
2014-08-20,1,37
2014-08-21,1,39
2014-08-22,1,36
2014-08-23,1,24
2014-08-24,0,30
2014-08-25,0,35
2014-08-26,0,40
2014-08-27,0,28
2014-08-28,1,40
2014-08-29,1,45
2014-08-30,0,28
2014-08-31,0,25
2014-09-01,0,27
2014-09-02,1,23
2014-09-03,1,41
2014-09-04,1,32
2014-09-05,1,50
2014-09-06,1,52
2014-09-07,0,59
2014-09-08,1,49
2014-09-09,1,49
2014-09-10,1,38
2014-09-11,0,50
2014-09-12,0,40
2014-09-13,0,24
2014-09-14,0,35
2014-09-15,0,32
2014-09-16,1,30
2014-09-17,1,33
2014-09-18,1,46
2014-09-19,1,55
2014-09-20,0,35
2014-09-21,0,30
2014-09-22,0,49
2014-09-23,1,38
2014-09-24,1,28
2014-09-25,1,38
2014-09-26,1,46
2014-09-27,0,22
2014-09-28,1,27
2014-09-29,1,42
2014-09-30,5,32
2014-10-01,9,34
2014-10-02,11,28
2014-10-03,10,31
2014-10-04,8,17
2014-10-05,7,22
2014-10-06,7,25
2014-10-07,6,42
2014-10-08,9,44
2014-10-09,9,34
2014-10-10,7,33
2014-10-11,5,32
2014-10-12,8,33
2014-10-13,9,29
2014-10-14,9,40
2014-10-15,15,43
2014-10-16,17,41
2014-10-17,14,51
2014-10-18,9,25
2014-10-19,6,33
2014-10-20,6,33
2014-10-21,6,21
2014-10-22,4,23
2014-10-23,4,24
2014-10-24,9,37
2014-10-25,4,26
2014-10-26,3,19
2014-10-27,4,34
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Sierra Leone
Subregion,Sierra Leone
Western Area,100
Eastern Province,0
Northern Province,0
Southern Province,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Sierra Leone
City,Sierra Leone
Freetown,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Sierra Leone
sierra leone,100
ebola sierra leone,95
ebola news,50
ebola virus,30
about ebola,30
ebola update,25



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Sierra Leone
ebola update,+140%
ebola outbreak,+110%
ebola news,+100%
about ebola,+80%



