Web Search interest: ebola
United States; Hungary
Past 90 days

Interest over time
Day,United States,Hungary
2014-07-30,13,9
2014-07-31,16,7
2014-08-01,26,8
2014-08-02,31,7
2014-08-03,22,8
2014-08-04,21,7
2014-08-05,26,8
2014-08-06,20,6
2014-08-07,15,9
2014-08-08,15,10
2014-08-09,11,6
2014-08-10,8,21
2014-08-11,7,12
2014-08-12,6,11
2014-08-13,5,7
2014-08-14,5,6
2014-08-15,5,8
2014-08-16,4,4
2014-08-17,4,6
2014-08-18,5,5
2014-08-19,4,5
2014-08-20,7,4
2014-08-21,7,3
2014-08-22,5,4
2014-08-23,3,5
2014-08-24,3,4
2014-08-25,3,4
2014-08-26,3,3
2014-08-27,3,3
2014-08-28,3,3
2014-08-29,3,4
2014-08-30,3,3
2014-08-31,2,2
2014-09-01,2,2
2014-09-02,3,2
2014-09-03,4,2
2014-09-04,3,3
2014-09-05,4,2
2014-09-06,3,3
2014-09-07,2,1
2014-09-08,3,1
2014-09-09,3,2
2014-09-10,3,2
2014-09-11,3,1
2014-09-12,3,1
2014-09-13,2,1
2014-09-14,2,1
2014-09-15,3,2
2014-09-16,5,2
2014-09-17,4,2
2014-09-18,3,2
2014-09-19,4,2
2014-09-20,3,2
2014-09-21,2,1
2014-09-22,3,1
2014-09-23,4,5
2014-09-24,4,5
2014-09-25,4,3
2014-09-26,3,3
2014-09-27,3,2
2014-09-28,5,2
2014-09-29,4,2
2014-09-30,29,2
2014-10-01,53,4
2014-10-02,66,4
2014-10-03,63,6
2014-10-04,48,3
2014-10-05,41,3
2014-10-06,41,5
2014-10-07,34,7
2014-10-08,55,8
2014-10-09,56,12
2014-10-10,40,15
2014-10-11,28,9
2014-10-12,45,7
2014-10-13,51,8
2014-10-14,55,12
2014-10-15,91,17
2014-10-16,100,13
2014-10-17,82,12
2014-10-18,51,8
2014-10-19,37,6
2014-10-20,34,5
2014-10-21,34,4
2014-10-22,26,4
2014-10-23,22,5
2014-10-24,51,5
2014-10-25,23,5
2014-10-26,19,2
2014-10-27,24,3
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Hungary
Subregion,Hungary
Baranya,100
Csongrad,99
Hajdu-Bihar,89
Bacs-Kiskun,78
Zala County,78
Heves County,74
Borsod-Abauj-Zemplen,73
Budapest,72
Fejer,71
Gyõr-Moson-Sopron,68
Veszprem,66
Pest County,61
Szabolcs-Szatmar-Bereg,60
Bekes,0
Jasz-Nagykun-Szolnok,0
Komarom-Esztergom,0
Nograd,0
Somogy County,0
Tolna County,0
Vas County,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Hungary
City,Hungary
Szeged,100
Debrecen,94
Pécs,84
Budapest,78
Eger,77
Kecskemét,72
Veszprém,68
Zalaegerszeg,66
Nyíregyháza,61
Székesfehérvár,59



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Hungary
ebola tünetei,100
ebola 2014,90
ebola járvány,60
ebola vírus,45
ebola virus,30
ebola terjedése,30
ebola járvány 2014,30
ebola magyarország,30



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Hungary
ebola járvány 2014,Breakout
ebola magyarország,Breakout
ebola terjedése,Breakout
ebola tünetei,Breakout
ebola 2014,+40%



