Web Search interest: ebola
United States; Suriname
Past 90 days

Interest over time
Day,United States
2014-07-30,8
2014-07-31,10
2014-08-01,16
2014-08-02,20
2014-08-03,14
2014-08-04,14
2014-08-05,17
2014-08-06,13
2014-08-07,10
2014-08-08,10
2014-08-09,7
2014-08-10,5
2014-08-11,4
2014-08-12,4
2014-08-13,3
2014-08-14,3
2014-08-15,3
2014-08-16,2
2014-08-17,3
2014-08-18,3
2014-08-19,3
2014-08-20,4
2014-08-21,4
2014-08-22,3
2014-08-23,2
2014-08-24,2
2014-08-25,2
2014-08-26,2
2014-08-27,2
2014-08-28,2
2014-08-29,2
2014-08-30,2
2014-08-31,1
2014-09-01,1
2014-09-02,2
2014-09-03,3
2014-09-04,2
2014-09-05,3
2014-09-06,2
2014-09-07,2
2014-09-08,2
2014-09-09,2
2014-09-10,2
2014-09-11,2
2014-09-12,2
2014-09-13,1
2014-09-14,1
2014-09-15,2
2014-09-16,3
2014-09-17,3
2014-09-18,2
2014-09-19,3
2014-09-20,2
2014-09-21,1
2014-09-22,2
2014-09-23,3
2014-09-24,2
2014-09-25,3
2014-09-26,2
2014-09-27,2
2014-09-28,3
2014-09-29,3
2014-09-30,19
2014-10-01,34
2014-10-02,42
2014-10-03,40
2014-10-04,30
2014-10-05,26
2014-10-06,26
2014-10-07,21
2014-10-08,35
2014-10-09,36
2014-10-10,26
2014-10-11,18
2014-10-12,29
2014-10-13,33
2014-10-14,35
2014-10-15,58
2014-10-16,64
2014-10-17,52
2014-10-18,33
2014-10-19,23
2014-10-20,22
2014-10-21,22
2014-10-22,16
2014-10-23,14
2014-10-24,33
2014-10-25,15
2014-10-26,12
2014-10-27,15
2014-10-28, 
2014-10-29, 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for Suriname
Subregion,Suriname
Paramaribo District,100
Brokopondo,0
Commewijne,0
Coronie,0
Marowijne,0
Nickerie District,0
Para,0
Saramacca,0
Sipaliwini,0
Wanica,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Suriname
City,Suriname
Paramaribo,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Suriname
ebola virus,100



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Suriname
ebola virus,Breakout



