Web Search interest: ebola
United States; Sweden
Past 90 days

Interest over time
Day,United States,Sweden
2014-07-30,13,20
2014-07-31,16,19
2014-08-01,26,20
2014-08-02,31,15
2014-08-03,22,9
2014-08-04,21,8
2014-08-05,26,10
2014-08-06,20,6
2014-08-07,15,7
2014-08-08,15,9
2014-08-09,11,10
2014-08-10,8,5
2014-08-11,7,4
2014-08-12,6,6
2014-08-13,5,4
2014-08-14,5,3
2014-08-15,5,6
2014-08-16,4,5
2014-08-17,4,5
2014-08-18,5,3
2014-08-19,4,12
2014-08-20,7,4
2014-08-21,7,4
2014-08-22,5,4
2014-08-23,3,2
2014-08-24,3,3
2014-08-25,3,3
2014-08-26,3,3
2014-08-27,3,3
2014-08-28,3,4
2014-08-29,3,5
2014-08-30,3,2
2014-08-31,2,20
2014-09-01,2,14
2014-09-02,3,5
2014-09-03,4,5
2014-09-04,3,3
2014-09-05,4,3
2014-09-06,3,3
2014-09-07,2,2
2014-09-08,3,4
2014-09-09,3,2
2014-09-10,3,2
2014-09-11,3,2
2014-09-12,3,2
2014-09-13,2,3
2014-09-14,2,1
2014-09-15,3,2
2014-09-16,5,2
2014-09-17,4,3
2014-09-18,3,2
2014-09-19,4,2
2014-09-20,3,2
2014-09-21,2,2
2014-09-22,3,2
2014-09-23,4,3
2014-09-24,4,2
2014-09-25,4,5
2014-09-26,3,4
2014-09-27,3,2
2014-09-28,5,3
2014-09-29,4,3
2014-09-30,29,4
2014-10-01,53,8
2014-10-02,66,12
2014-10-03,63,9
2014-10-04,48,5
2014-10-05,41,8
2014-10-06,41,28
2014-10-07,34,33
2014-10-08,55,27
2014-10-09,56,22
2014-10-10,40,21
2014-10-11,28,18
2014-10-12,45,25
2014-10-13,51,21
2014-10-14,55,20
2014-10-15,91,33
2014-10-16,100,44
2014-10-17,82,29
2014-10-18,51,24
2014-10-19,37,50
2014-10-20,34,36
2014-10-21,34,16
2014-10-22,26,10
2014-10-23,22,10
2014-10-24,51,12
2014-10-25,23,8
2014-10-26,19,8
2014-10-27,24,5
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
