Web Search interest: ebola
United States; Thailand
Past 90 days

Interest over time
Day,United States,Thailand
2014-07-30,13,3
2014-07-31,16,6
2014-08-01,26,5
2014-08-02,31,3
2014-08-03,22,3
2014-08-04,21,2
2014-08-05,26,2
2014-08-06,20,2
2014-08-07,15,2
2014-08-08,15,3
2014-08-09,11,2
2014-08-10,8,2
2014-08-11,7,1
2014-08-12,6,1
2014-08-13,5,1
2014-08-14,5,1
2014-08-15,5,1
2014-08-16,4,1
2014-08-17,4,1
2014-08-18,5,1
2014-08-19,4,1
2014-08-20,7,1
2014-08-21,7,2
2014-08-22,5,1
2014-08-23,3,1
2014-08-24,3,1
2014-08-25,3,1
2014-08-26,3,1
2014-08-27,3,1
2014-08-28,3,1
2014-08-29,3,1
2014-08-30,3,1
2014-08-31,2,1
2014-09-01,2,1
2014-09-02,3,1
2014-09-03,4,1
2014-09-04,3,1
2014-09-05,4,1
2014-09-06,3,1
2014-09-07,2,1
2014-09-08,3,1
2014-09-09,3,1
2014-09-10,3,0
2014-09-11,3,0
2014-09-12,3,1
2014-09-13,2,0
2014-09-14,2,1
2014-09-15,3,1
2014-09-16,5,1
2014-09-17,4,0
2014-09-18,3,1
2014-09-19,4,0
2014-09-20,3,0
2014-09-21,2,0
2014-09-22,3,1
2014-09-23,4,0
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,0
2014-09-28,5,0
2014-09-29,4,1
2014-09-30,29,1
2014-10-01,53,1
2014-10-02,66,1
2014-10-03,63,1
2014-10-04,48,1
2014-10-05,41,1
2014-10-06,41,1
2014-10-07,34,1
2014-10-08,55,2
2014-10-09,56,1
2014-10-10,40,1
2014-10-11,28,1
2014-10-12,45,1
2014-10-13,51,1
2014-10-14,55,1
2014-10-15,91,1
2014-10-16,100,2
2014-10-17,82,1
2014-10-18,51,1
2014-10-19,37,1
2014-10-20,34,1
2014-10-21,34,1
2014-10-22,26,1
2014-10-23,22,0
2014-10-24,51,1
2014-10-25,23,1
2014-10-26,19,2
2014-10-27,24,1
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Thailand
Subregion,Thailand
Phuket,100
Chiang Mai,51
Bangkok,43
Chon Buri,38
Nonthaburi,36
Samut Prakan,0
Pathum Thani,0
Phra Nakhon Si Ayutthaya,0
Ang Thong,0
Lopburi,0
Sing Buri,0
Chai Nat,0
Saraburi,0
Rayong,0
Chanthaburi,0
Trat,0
Chachoengsao,0
Prachin Buri,0
Nakhon Nayok,0
Sa Kaeo,0
Nakhon Ratchasima,0
Buri Ram,0
Surin,0
Si Sa Ket,0
Ubon Ratchathani,0
Yasothon,0
Chaiyaphum,0
Amnat Charoen,0
Bueng Kan,0
Nong Bua Lam Phu,0
Khon Kaen,0
Udon Thani,0
Loei,0
Nong Khai,0
Maha Sarakham,0
Roi Et,0
Kalasin,0
Sakon Nakhon,0
Nakhon Phanom,0
Mukdahan,0
Lamphun,0
Lampang,0
Uttaradit,0
Phrae,0
Nan,0
Phayao,0
Chiang Rai,0
Mae Hong Son,0
Nakhon Sawan,0
Uthai Thani,0
Kamphaeng Phet,0
Tak,0
Sukhothai,0
Phitsanulok,0
Phichit,0
Phetchabun,0
Ratchaburi,0
Kanchanaburi,0
Suphan Buri,0
Nakhon Pathom,0
Samut Sakhon,0
Samut Songkhram,0
Phetchaburi,0
Prachuap Khiri Khan,0
Nakhon Si Thammarat,0
Krabi,0
Phang-nga,0
Surat Thani,0
Ranong,0
Chumphon,0
Songkhla,0
Satun,0
Trang,0
Phatthalung,0
Pattani,0
Yala,0
Narathiwat,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,70
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Chicago,48
Atlanta,48

Top cities for Thailand
City,Thailand
Chiang Mai,100
Bangkok,92
Pattaya,88
Nonthaburi,81
Khon Kaen,68



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Thailand
virus ebola,100
อี โบ ล่า,40
thailand ebola,35
ebola outbreak,30
ebola โรค,30
ebola news,30
ebola คือ,25
เชื้อ ebola,20



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Thailand
ebola news,Breakout
ebola โรค,Breakout
thailand ebola,Breakout
อี โบ ล่า,+80%
ebola outbreak,+70%
ebola คือ,+50%
virus ebola,+40%



