Web Search interest: ebola
United States; Trinidad and Tobago
Past 90 days

Interest over time
Day,United States,Trinidad and Tobago
2014-07-30,8,0
2014-07-31,10,12
2014-08-01,17,10
2014-08-02,20,13
2014-08-03,15,13
2014-08-04,14,15
2014-08-05,17,21
2014-08-06,13,23
2014-08-07,10,18
2014-08-08,10,25
2014-08-09,7,13
2014-08-10,5,11
2014-08-11,4,8
2014-08-12,4,9
2014-08-13,3,7
2014-08-14,3,7
2014-08-15,3,7
2014-08-16,3,8
2014-08-17,3,9
2014-08-18,3,0
2014-08-19,3,0
2014-08-20,4,0
2014-08-21,4,0
2014-08-22,3,0
2014-08-23,2,0
2014-08-24,2,0
2014-08-25,2,0
2014-08-26,2,0
2014-08-27,2,0
2014-08-28,2,0
2014-08-29,2,0
2014-08-30,2,0
2014-08-31,1,0
2014-09-01,1,0
2014-09-02,2,8
2014-09-03,3,10
2014-09-04,2,16
2014-09-05,3,10
2014-09-06,2,0
2014-09-07,2,0
2014-09-08,2,0
2014-09-09,2,0
2014-09-10,2,0
2014-09-11,2,0
2014-09-12,2,0
2014-09-13,2,0
2014-09-14,1,8
2014-09-15,2,9
2014-09-16,3,10
2014-09-17,3,12
2014-09-18,2,13
2014-09-19,3,8
2014-09-20,2,0
2014-09-21,2,0
2014-09-22,2,0
2014-09-23,3,0
2014-09-24,3,0
2014-09-25,3,7
2014-09-26,2,9
2014-09-27,2,10
2014-09-28,4,10
2014-09-29,3,13
2014-09-30,19,15
2014-10-01,34,20
2014-10-02,43,39
2014-10-03,41,44
2014-10-04,31,26
2014-10-05,27,25
2014-10-06,27,36
2014-10-07,22,31
2014-10-08,35,54
2014-10-09,37,61
2014-10-10,26,81
2014-10-11,18,77
2014-10-12,30,67
2014-10-13,33,88
2014-10-14,36,93
2014-10-15,59,100
2014-10-16,65,93
2014-10-17,53,92
2014-10-18,33,57
2014-10-19,24,51
2014-10-20,22,33
2014-10-21,22,34
2014-10-22,17,28
2014-10-23,14,27
2014-10-24,33,42
2014-10-25,15,32
2014-10-26,13,20
2014-10-27,15,24
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Trinidad and Tobago
Subregion,Trinidad and Tobago
Couva-Tabaquite-Talparo,100
San Juan-Laventille,100
Port of Spain,96
Tunapuna-Piarco,90
Arima,89
Chaguanas,84
San Fernando,79
Diego Martin,0
Eastern Tobago,0
Penal-Debe,0
Princes Town,0
Point Fortin,0
Rio Claro-Mayaro,0
Sangre Grande,0
Siparia,0
Western Tobago,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,70
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Chicago,48
Atlanta,48

Top cities for Trinidad and Tobago
City,Trinidad and Tobago
Port of Spain,100
Couva,87
San Juan,84
San Fernando,80
Chaguanas,76
Tunapuna,76
Arima,73



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5

Top searches for Trinidad and Tobago
ebola virus,100
ebola trinidad,35
what is ebola,25
ebola in trinidad,25
ebola symptoms,20
the ebola virus,20



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%

Rising searches for Trinidad and Tobago
ebola in trinidad,Breakout
ebola symptoms,Breakout
ebola trinidad,Breakout
the ebola virus,Breakout
what is ebola,Breakout



