Web Search interest: ebola
United States; Turkey
Past 90 days

Interest over time
Day,United States,Turkey
2014-07-30,13,1
2014-07-31,16,1
2014-08-01,26,1
2014-08-02,31,2
2014-08-03,22,2
2014-08-04,21,2
2014-08-05,26,3
2014-08-06,20,1
2014-08-07,15,2
2014-08-08,15,2
2014-08-09,11,1
2014-08-10,8,1
2014-08-11,7,1
2014-08-12,6,8
2014-08-13,5,6
2014-08-14,5,2
2014-08-15,5,2
2014-08-16,4,1
2014-08-17,4,1
2014-08-18,5,1
2014-08-19,4,1
2014-08-20,7,1
2014-08-21,7,1
2014-08-22,5,3
2014-08-23,3,2
2014-08-24,3,1
2014-08-25,3,1
2014-08-26,3,1
2014-08-27,3,1
2014-08-28,3,1
2014-08-29,3,1
2014-08-30,3,1
2014-08-31,2,0
2014-09-01,2,0
2014-09-02,3,1
2014-09-03,4,1
2014-09-04,3,1
2014-09-05,4,1
2014-09-06,3,1
2014-09-07,2,1
2014-09-08,3,0
2014-09-09,3,0
2014-09-10,3,0
2014-09-11,3,0
2014-09-12,3,0
2014-09-13,2,0
2014-09-14,2,0
2014-09-15,3,0
2014-09-16,5,0
2014-09-17,4,0
2014-09-18,3,0
2014-09-19,4,0
2014-09-20,3,0
2014-09-21,2,0
2014-09-22,3,0
2014-09-23,4,0
2014-09-24,4,0
2014-09-25,4,3
2014-09-26,3,1
2014-09-27,3,0
2014-09-28,5,0
2014-09-29,4,1
2014-09-30,29,1
2014-10-01,53,1
2014-10-02,66,2
2014-10-03,63,2
2014-10-04,48,1
2014-10-05,41,1
2014-10-06,41,2
2014-10-07,34,2
2014-10-08,55,2
2014-10-09,56,2
2014-10-10,40,2
2014-10-11,28,1
2014-10-12,45,2
2014-10-13,51,2
2014-10-14,55,2
2014-10-15,91,6
2014-10-16,100,8
2014-10-17,82,6
2014-10-18,51,5
2014-10-19,37,4
2014-10-20,34,4
2014-10-21,34,4
2014-10-22,26,4
2014-10-23,22,3
2014-10-24,51,3
2014-10-25,23,2
2014-10-26,19,2
2014-10-27,24,1
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34

Top subregions for Turkey
Subregion,Turkey
Muğla Province,100
Istanbul Province,89
Antalya Province,81
Ankara Province,72
Izmir Province,68
Samsun Province,64
Mersin Province,58
Bursa Province,56
Diyarbakır Province,56
Kayseri Province,55
Adana Province,53
Erzurum,51
Konya Province,47
Adıyaman Province,0
Afyonkarahisar Province,0
Ağrı Province,0
Amasya Province,0
Artvin Province,0
Aydın Province,0
Balıkesir Province,0
Bilecik Province,0
Bingöl Province,0
Bitlis Province,0
Bolu Province,0
Burdur Province,0
Çanakkale Province,0
Cankiri,0
Çorum Province,0
Denizli Province,0
Edirne Province,0
Elazig Province,0
Erzincan Province,0
Eskişehir Province,0
Gaziantep,0
Giresun Province,0
Gümüşhane Province,0
Hakkâri Province,0
Hatay Province,0
Isparta Province,0
Kars Province,0
Kastamonu Province,0
Kırklareli Province,0
Kırşehir Province,0
Kocaeli Province,0
Kütahya Province,0
Malatya Province,0
Manisa Province,0
Kahramanmaraş Province,0
Mardin Province,0
Muş Province,0
Nevşehir Province,0
Niğde Province,0
Ordu Province,0
Rize Province,0
Sakarya Province,0
Siirt,0
Sinop Province,0
Sivas Province,0
Tekirdağ Province,0
Tokat Province,0
Trabzon Province,0
Tunceli Province,0
Şanlıurfa Province,0
Uşak Province,0
Van Province,0
Yozgat Province,0
Zonguldak,0
Aksaray Province,0
Bayburt Province,0
Karaman Province,0
Kırıkkale Province,0
Batman Province,0
